,school,alias
1,Florida State,33
2,North Carolina,75
3,Clemson,22
4,Virginia,121
5,North Carolina State,69
6,Georgia Tech,38
7,Duke,27
8,Maryland,56
9,Wake Forest,125
10,Nebraska,71
11,Colorado,24
12,Kansas State,47
13,Oklahoma,81
14,Kansas,46
15,Missouri,66
16,Iowa State,45
17,Oklahoma State,82
18,West Virginia,128
19,Miami (FL),59
20,Boston College,14
21,Virginia Tech,122
22,Syracuse,100
23,Pitt,87
24,Rutgers,90
25,Temple,102
26,Ohio State,80
27,Wisconsin,129
28,Penn State,86
29,Indiana,43
30,Michigan,61
31,Illinois,42
32,Michigan State,62
33,Iowa,44
34,Minnesota,63
35,Northwestern,77
36,Purdue,88
37,Louisiana,51
38,Utah State,117
39,Nevada,72
40,New Mexico State,74
41,Northern Illinois,68
42,Nevada-Las Vegas,115
43,Pacific,150
44,Louisiana Tech,50
45,San Jose State,92
46,Arkansas State,8
47,Notre Dame,78
48,Cincinnati,21
49,Louisville,53
50,Army,9
51,Memphis,58
52,Tulsa,111
53,Navy,70
54,Southern Mississippi,98
55,Tulane,110
56,East Carolina,29
57,Ball State,11
58,Western Michigan,124
59,Bowling Green State,15
60,Akron,2
61,Central Michigan,18
62,Ohio,79
63,Eastern Michigan,28
64,Miami (OH),60
65,Toledo,108
66,Kent State,48
67,Arizona,5
68,UCLA,114
69,USC,97
70,Washington,126
71,California,19
72,Arizona State,6
73,Washington State,127
74,Oregon,84
75,Oregon State,85
76,Stanford,99
77,Florida,32
78,Tennessee,103
79,Kentucky,49
80,Georgia,35
81,South Carolina,95
82,Vanderbilt,120
83,Auburn,10
84,Alabama,3
85,Arkansas,7
86,LSU,54
87,Ole Miss,64
88,Mississippi State,65
89,Texas A&M,105
90,Texas,104
91,Texas Tech,107
92,Rice,89
93,Baylor,12
94,Texas Christian,101
95,SMU,93
96,Houston,40
97,Fresno State,34
98,Wyoming,130
99,Brigham Young,17
100,Utah,116
101,Colorado State,25
102,New Mexico,73
103,San Diego State,91
104,Hawaii,39
105,Air Force,1
106,UTEP,118
