,school,alias
1,Florida State,33
2,Georgia Tech,38
3,Clemson,22
4,Virginia,121
5,North Carolina State,69
6,Wake Forest,125
7,Duke,27
8,Maryland,56
9,North Carolina,75
10,Nebraska,71
11,Kansas State,47
12,Colorado,24
13,Kansas,46
14,Iowa State,45
15,Missouri,66
16,Texas,104
17,Texas A&M,105
18,Oklahoma,81
19,Texas Tech,107
20,Oklahoma State,82
21,Baylor,12
22,Virginia Tech,122
23,Miami (FL),59
24,Boston College,14
25,Syracuse,100
26,West Virginia,128
27,Pitt,87
28,Temple,102
29,Rutgers,90
30,Wisconsin,129
31,Michigan,61
32,Michigan State,62
33,Penn State,86
34,Minnesota,63
35,Illinois,42
36,Purdue,88
37,Ohio State,80
38,Indiana,43
39,Northwestern,77
40,Iowa,44
41,Boise State,13
42,Idaho,41
43,New Mexico State,74
44,Utah State,117
45,Arkansas State,8
46,Nevada,72
47,North Texas,76
48,Southern Mississippi,98
49,East Carolina,29
50,Louisville,53
51,Memphis,58
52,UAB,112
53,Houston,40
54,Army,9
55,Tulane,110
56,Cincinnati,21
57,Louisiana Tech,50
58,Louisiana-Monroe,52
59,Navy,70
60,Notre Dame,78
61,UCF,113
62,Middle Tennessee State,67
63,Louisiana,51
64,Marshall,55
65,Miami (OH),60
66,Akron,2
67,Ohio,79
68,Bowling Green State,15
69,Kent State,48
70,Buffalo,16
71,Western Michigan,124
72,Toledo,108
73,Northern Illinois,68
74,Eastern Michigan,28
75,Central Michigan,18
76,Ball State,11
77,Utah,116
78,Brigham Young,17
79,Colorado State,25
80,Wyoming,130
81,San Diego State,91
82,New Mexico,73
83,Air Force,1
84,Nevada-Las Vegas,115
85,Stanford,99
86,Oregon,84
87,Washington,126
88,Arizona State,6
89,Oregon State,85
90,Arizona,5
91,USC,97
92,California,19
93,UCLA,114
94,Washington State,127
95,Florida,32
96,Tennessee,103
97,Georgia,35
98,Kentucky,49
99,Vanderbilt,120
100,South Carolina,95
101,Alabama,3
102,Mississippi State,65
103,Arkansas,7
104,Ole Miss,64
105,Auburn,10
106,LSU,54
107,Fresno State,34
108,Hawaii,39
109,Texas Christian,101
110,Rice,89
111,SMU,93
112,UTEP,118
113,San Jose State,92
114,Tulsa,111
