,school,alias
1,Boston College,14
2,Florida State,33
3,Maryland,56
4,Wake Forest,125
5,Clemson,22
6,North Carolina State,69
7,Virginia Tech,122
8,Georgia Tech,38
9,North Carolina,75
10,Miami (FL),59
11,Virginia,121
12,Duke,27
13,Missouri,66
14,Nebraska,71
15,Kansas,46
16,Colorado,24
17,Kansas State,47
18,Iowa State,45
19,Oklahoma,81
20,Texas,104
21,Texas Tech,107
22,Oklahoma State,82
23,Baylor,12
24,Texas A&M,105
25,Cincinnati,21
26,Pitt,87
27,Rutgers,90
28,West Virginia,128
29,Connecticut,26
30,South Florida,96
31,Louisville,53
32,Syracuse,100
33,Penn State,86
34,Ohio State,80
35,Michigan State,62
36,Iowa,44
37,Northwestern,77
38,Minnesota,63
39,Wisconsin,129
40,Illinois,42
41,Purdue,88
42,Michigan,61
43,Indiana,43
44,East Carolina,29
45,Southern Mississippi,98
46,Memphis,58
47,Marshall,55
48,UAB,112
49,UCF,113
50,Rice,89
51,Tulsa,111
52,Houston,40
53,UTEP,118
54,Tulane,110
55,SMU,93
56,Western Kentucky,123
57,Navy,70
58,Notre Dame,78
59,Army,9
60,Buffalo,16
61,Bowling Green State,15
62,Temple,102
63,Akron,2
64,Kent State,48
65,Ohio,79
66,Miami (OH),60
67,Ball State,11
68,Central Michigan,18
69,Western Michigan,124
70,Northern Illinois,68
71,Eastern Michigan,28
72,Toledo,108
73,Utah,116
74,Texas Christian,101
75,Brigham Young,17
76,Air Force,1
77,Colorado State,25
78,Nevada-Las Vegas,115
79,New Mexico,73
80,Wyoming,130
81,San Diego State,91
82,USC,97
83,Oregon,84
84,Oregon State,85
85,California,19
86,Arizona,5
87,Arizona State,6
88,Stanford,99
89,UCLA,114
90,Washington State,127
91,Washington,126
92,Florida,32
93,Georgia,35
94,South Carolina,95
95,Vanderbilt,120
96,Tennessee,103
97,Kentucky,49
98,Alabama,3
99,Ole Miss,64
100,LSU,54
101,Arkansas,7
102,Auburn,10
103,Mississippi State,65
104,Troy,109
105,Louisiana,51
106,Florida Atlantic,30
107,Arkansas State,8
108,Florida International,31
109,Middle Tennessee State,67
110,Louisiana-Monroe,52
111,North Texas,76
112,Boise State,13
113,Louisiana Tech,50
114,Hawaii,39
115,Nevada,72
116,Fresno State,34
117,San Jose State,92
118,Utah State,117
119,New Mexico State,74
120,Idaho,41
