,school,alias
1,Maryland,56
2,Georgia Tech,38
3,Clemson,22
4,Virginia,121
5,North Carolina,75
6,Duke,27
7,North Carolina State,69
8,Wake Forest,125
9,Oklahoma,81
10,Nebraska,71
11,Oklahoma State,82
12,Colorado,24
13,Iowa State,45
14,Kansas,46
15,Kansas State,47
16,Missouri,66
17,Iowa,44
18,Michigan,61
19,Ohio State,80
20,Illinois,42
21,Michigan State,62
22,Minnesota,63
23,Purdue,88
24,Wisconsin,129
25,Indiana,43
26,Northwestern,77
27,Penn State,86
28,Miami (FL),59
29,Army,9
30,Florida State,33
31,Southern Mississippi,98
32,West Virginia,128
33,Pitt,87
34,Syracuse,100
35,Virginia Tech,122
36,Cincinnati,21
37,Notre Dame,78
38,South Carolina,95
39,Boston College,14
40,Louisiana,51
41,Navy,70
42,Temple,102
43,Memphis,58
44,Rutgers,90
45,East Carolina,29
46,Louisville,53
47,Tulane,110
48,Bowling Green State,15
49,Miami (OH),60
50,Central Michigan,18
51,Western Michigan,124
52,Northern Illinois,68
53,Ball State,11
54,Eastern Michigan,28
55,Toledo,108
56,Kent State,48
57,Ohio,79
58,Tulsa,111
59,Illinois State,144
60,West Texas A&M,158
61,Indiana State,145
62,Wichita State,160
63,Southern Illinois,154
64,Drake,139
65,UCLA,114
66,Arizona,5
67,Arizona State,6
68,USC,97
69,Washington,126
70,Oregon,84
71,Stanford,99
72,Washington State,127
73,California,19
74,Oregon State,85
75,Fresno State,34
76,Cal State Fullerton,132
77,Nevada-Las Vegas,115
78,Long Beach State,147
79,Utah State,117
80,San Jose State,92
81,Pacific,150
82,New Mexico State,74
83,Tennessee,103
84,Florida,32
85,Alabama,3
86,LSU,54
87,Auburn,10
88,Georgia,35
89,Ole Miss,64
90,Vanderbilt,120
91,Kentucky,49
92,Mississippi State,65
93,Texas A&M,105
94,Arkansas,7
95,Baylor,12
96,Texas,104
97,SMU,93
98,Houston,40
99,Rice,89
100,Texas Tech,107
101,Texas Christian,101
102,Air Force,1
103,Brigham Young,17
104,Utah,116
105,Colorado State,25
106,Hawaii,39
107,San Diego State,91
108,New Mexico,73
109,Wyoming,130
110,UTEP,118
