,school,alias
1,Clemson,22
2,Florida State,33
3,Louisville,53
4,North Carolina State,69
5,Syracuse,100
6,Wake Forest,125
7,Boston College,14
8,North Carolina,75
9,Pitt,87
10,Miami (FL),59
11,Duke,27
12,Virginia Tech,122
13,Virginia,121
14,Georgia Tech,38
15,Temple,102
16,South Florida,96
17,Cincinnati,21
18,Connecticut,26
19,East Carolina,29
20,UCF,113
21,Houston,40
22,Navy,70
23,Memphis,58
24,Tulsa,111
25,Tulane,110
26,SMU,93
27,Oklahoma,81
28,Texas Christian,101
29,Oklahoma State,82
30,Baylor,12
31,West Virginia,128
32,Texas Tech,107
33,Texas,104
34,Kansas State,47
35,Iowa State,45
36,Kansas,46
37,Michigan State,62
38,Ohio State,80
39,Michigan,61
40,Penn State,86
41,Indiana,43
42,Rutgers,90
43,Maryland,56
44,Iowa,44
45,Northwestern,77
46,Wisconsin,129
47,Nebraska,71
48,Illinois,42
49,Minnesota,63
50,Purdue,88
51,Western Kentucky,123
52,Marshall,55
53,Middle Tennessee State,67
54,Florida International,31
55,Old Dominion,83
56,Florida Atlantic,30
57,Charlotte,20
58,Southern Mississippi,98
59,Louisiana Tech,50
60,Rice,89
61,UTEP,118
62,UTSA,119
63,North Texas,76
64,Notre Dame,78
65,Brigham Young,17
66,Army,9
67,Bowling Green State,15
68,Akron,2
69,Ohio,79
70,Buffalo,16
71,Kent State,48
72,Massachusetts,57
73,Miami (OH),60
74,Toledo,108
75,Western Michigan,124
76,Central Michigan,18
77,Northern Illinois,68
78,Ball State,11
79,Eastern Michigan,28
80,Air Force,1
81,Boise State,13
82,Colorado State,25
83,New Mexico,73
84,Utah State,117
85,Wyoming,130
86,San Diego State,91
87,Nevada,72
88,San Jose State,92
89,Fresno State,34
90,Nevada-Las Vegas,115
91,Hawaii,39
92,Stanford,99
93,Oregon,84
94,Washington State,127
95,California,19
96,Washington,126
97,Oregon State,85
98,Utah,116
99,USC,97
100,UCLA,114
101,Arizona State,6
102,Arizona,5
103,Colorado,24
104,Florida,32
105,Georgia,35
106,Tennessee,103
107,Kentucky,49
108,Vanderbilt,120
109,Missouri,66
110,South Carolina,95
111,Alabama,3
112,Ole Miss,64
113,LSU,54
114,Arkansas,7
115,Mississippi State,65
116,Texas A&M,105
117,Auburn,10
118,Appalachian State,4
119,Georgia Southern,36
120,Arkansas State,8
121,Georgia State,37
122,South Alabama,94
123,Idaho,41
124,Louisiana,51
125,Troy,109
126,New Mexico State,74
127,Texas State,106
128,Louisiana-Monroe,52
