,school,alias
1,Clemson,22
2,North Carolina,75
3,Maryland,56
4,Duke,27
5,North Carolina State,69
6,Wake Forest,125
7,Virginia,121
8,Nebraska,71
9,Oklahoma,81
10,Kansas,46
11,Oklahoma State,82
12,Missouri,66
13,Iowa State,45
14,Colorado,24
15,Kansas State,47
16,Ohio State,80
17,Iowa,44
18,Michigan,61
19,Illinois,42
20,Wisconsin,129
21,Minnesota,63
22,Michigan State,62
23,Purdue,88
24,Indiana,43
25,Northwestern,77
26,Pitt,87
27,Miami (FL),59
28,Penn State,86
29,Colgate,135
30,Southern Mississippi,98
31,West Virginia,128
32,Navy,70
33,Virginia Tech,122
34,Cincinnati,21
35,Florida State,33
36,Holy Cross,143
37,Nevada-Las Vegas,115
38,South Carolina,95
39,Temple,102
40,Tulane,110
41,Boston College,14
42,East Carolina,29
43,Louisiana-Monroe,52
44,Louisville,53
45,Notre Dame,78
46,Rutgers,90
47,Syracuse,100
48,William & Mary,161
49,Army,9
50,Richmond,153
51,North Texas,76
52,Georgia Tech,38
53,Memphis,58
54,Yale,162
55,Dartmouth,138
56,Princeton,152
57,Harvard,142
58,Brown,131
59,Cornell,137
60,Columbia,136
61,Pennsylvania,151
62,Toledo,108
63,Miami (OH),60
64,Central Michigan,18
65,Bowling Green State,15
66,Western Michigan,124
67,Ohio,79
68,Kent State,48
69,Ball State,11
70,Northern Illinois,68
71,Eastern Michigan,28
72,Drake,139
73,Tulsa,111
74,Southern Illinois,154
75,West Texas A&M,158
76,Wichita State,160
77,Indiana State,145
78,New Mexico State,74
79,Illinois State,144
80,Washington,126
81,Arizona State,6
82,USC,97
83,Washington State,127
84,UCLA,114
85,Arizona,5
86,Stanford,99
87,California,19
88,Oregon,84
89,Oregon State,85
90,San Jose State,92
91,Utah State,117
92,Fresno State,34
93,Pacific,150
94,Cal State Fullerton,132
95,Long Beach State,147
96,Georgia,35
97,Alabama,3
98,Mississippi State,65
99,Tennessee,103
100,Florida,32
101,Auburn,10
102,Kentucky,49
103,Ole Miss,64
104,LSU,54
105,Vanderbilt,120
106,Furman,163
107,Virginia Military Institute,157
108,East Tennessee State,140
109,Chattanooga,133
110,Citadel,134
111,Western Carolina,159
112,Appalachian State,4
113,Marshall,55
114,Texas-Arlington,155
115,McNeese State,148
116,Arkansas State,8
117,Louisiana Tech,50
118,Lamar,146
119,Louisiana,51
120,SMU,93
121,Texas,104
122,Arkansas,7
123,Houston,40
124,Texas A&M,105
125,Baylor,12
126,Rice,89
127,Texas Christian,101
128,Texas Tech,107
129,Brigham Young,17
130,Hawaii,39
131,Utah,116
132,Wyoming,130
133,Air Force,1
134,New Mexico,73
135,San Diego State,91
136,UTEP,118
137,Colorado State,25
