,school,alias
1,Clemson,22
2,Boston College,14
3,Florida State,33
4,Wake Forest,125
5,North Carolina State,69
6,Maryland,56
7,Georgia Tech,38
8,Virginia Tech,122
9,Miami (FL),59
10,North Carolina,75
11,Duke,27
12,Virginia,121
13,Nebraska,71
14,Missouri,66
15,Kansas State,47
16,Iowa State,45
17,Colorado,24
18,Kansas,46
19,Texas,104
20,Oklahoma State,82
21,Oklahoma,81
22,Texas Tech,107
23,Texas A&M,105
24,Baylor,12
25,Cincinnati,21
26,Pitt,87
27,West Virginia,128
28,Connecticut,26
29,Rutgers,90
30,South Florida,96
31,Louisville,53
32,Syracuse,100
33,Ohio State,80
34,Iowa,44
35,Penn State,86
36,Wisconsin,129
37,Northwestern,77
38,Michigan State,62
39,Purdue,88
40,Minnesota,63
41,Illinois,42
42,Michigan,61
43,Indiana,43
44,East Carolina,29
45,UCF,113
46,Southern Mississippi,98
47,Marshall,55
48,UAB,112
49,Memphis,58
50,Houston,40
51,SMU,93
52,Tulsa,111
53,UTEP,118
54,Rice,89
55,Tulane,110
56,Navy,70
57,Notre Dame,78
58,Army,9
59,Ohio,79
60,Temple,102
61,Bowling Green State,15
62,Kent State,48
63,Buffalo,16
64,Akron,2
65,Miami (OH),60
66,Central Michigan,18
67,Northern Illinois,68
68,Western Michigan,124
69,Toledo,108
70,Ball State,11
71,Eastern Michigan,28
72,Texas Christian,101
73,Brigham Young,17
74,Utah,116
75,Air Force,1
76,Wyoming,130
77,Nevada-Las Vegas,115
78,San Diego State,91
79,New Mexico,73
80,Colorado State,25
81,Oregon,84
82,Arizona,5
83,Oregon State,85
84,Stanford,99
85,California,19
86,USC,97
87,Washington,126
88,UCLA,114
89,Arizona State,6
90,Washington State,127
91,Florida,32
92,Georgia,35
93,Tennessee,103
94,Kentucky,49
95,South Carolina,95
96,Vanderbilt,120
97,Alabama,3
98,LSU,54
99,Ole Miss,64
100,Arkansas,7
101,Auburn,10
102,Mississippi State,65
103,Troy,109
104,Middle Tennessee State,67
105,Louisiana-Monroe,52
106,Florida Atlantic,30
107,Louisiana,51
108,Arkansas State,8
109,Florida International,31
110,North Texas,76
111,Western Kentucky,123
112,Boise State,13
113,Nevada,72
114,Fresno State,34
115,Idaho,41
116,Hawaii,39
117,Louisiana Tech,50
118,Utah State,117
119,New Mexico State,74
120,San Jose State,92
