,school,alias
1,Florida State,33
2,Clemson,22
3,Georgia Tech,38
4,Virginia,121
5,North Carolina State,69
6,North Carolina,75
7,Maryland,56
8,Wake Forest,125
9,Duke,27
10,Nebraska,71
11,Kansas State,47
12,Iowa State,45
13,Colorado,24
14,Kansas,46
15,Missouri,66
16,Oklahoma,81
17,Texas,104
18,Texas A&M,105
19,Texas Tech,107
20,Oklahoma State,82
21,Baylor,12
22,Miami (FL),59
23,Virginia Tech,122
24,Pitt,87
25,Syracuse,100
26,Boston College,14
27,West Virginia,128
28,Temple,102
29,Rutgers,90
30,Michigan,61
31,Northwestern,77
32,Purdue,88
33,Ohio State,80
34,Wisconsin,129
35,Minnesota,63
36,Penn State,86
37,Iowa,44
38,Illinois,42
39,Michigan State,62
40,Indiana,43
41,Boise State,13
42,Utah State,117
43,Idaho,41
44,New Mexico State,74
45,North Texas,76
46,Arkansas State,8
47,Louisville,53
48,East Carolina,29
49,Cincinnati,21
50,Southern Mississippi,98
51,UAB,112
52,Tulane,110
53,Memphis,58
54,Houston,40
55,Army,9
56,Notre Dame,78
57,South Florida,96
58,UCF,113
59,Middle Tennessee State,67
60,Connecticut,26
61,Louisiana Tech,50
62,Louisiana,51
63,Louisiana-Monroe,52
64,Navy,70
65,Marshall,55
66,Ohio,79
67,Akron,2
68,Miami (OH),60
69,Bowling Green State,15
70,Buffalo,16
71,Kent State,48
72,Toledo,108
73,Western Michigan,124
74,Northern Illinois,68
75,Ball State,11
76,Eastern Michigan,28
77,Central Michigan,18
78,Colorado State,25
79,Air Force,1
80,Nevada-Las Vegas,115
81,Brigham Young,17
82,New Mexico,73
83,Utah,116
84,San Diego State,91
85,Wyoming,130
86,Oregon State,85
87,Washington,126
88,Oregon,84
89,Stanford,99
90,Arizona State,6
91,UCLA,114
92,Arizona,5
93,USC,97
94,Washington State,127
95,California,19
96,Florida,32
97,Georgia,35
98,South Carolina,95
99,Tennessee,103
100,Vanderbilt,120
101,Kentucky,49
102,Auburn,10
103,LSU,54
104,Mississippi State,65
105,Ole Miss,64
106,Arkansas,7
107,Alabama,3
108,Texas Christian,101
109,UTEP,118
110,Fresno State,34
111,San Jose State,92
112,Tulsa,111
113,Hawaii,39
114,Rice,89
115,SMU,93
116,Nevada,72
