,school,alias
1,Maryland,56
2,Clemson,22
3,Virginia,121
4,Georgia Tech,38
5,North Carolina,75
6,Wake Forest,125
7,North Carolina State,69
8,Duke,27
9,Nebraska,71
10,Oklahoma,81
11,Oklahoma State,82
12,Kansas,46
13,Kansas State,47
14,Missouri,66
15,Iowa State,45
16,Colorado,24
17,Ohio State,80
18,Illinois,42
19,Iowa,44
20,Wisconsin,129
21,Purdue,88
22,Michigan,61
23,Michigan State,62
24,Minnesota,63
25,Northwestern,77
26,Indiana,43
27,Boston College,14
28,South Carolina,95
29,Army,9
30,Rutgers,90
31,Florida State,33
32,Miami (FL),59
33,Virginia Tech,122
34,West Virginia,128
35,Louisiana,51
36,Memphis,58
37,Notre Dame,78
38,Penn State,86
39,Syracuse,100
40,Temple,102
41,Navy,70
42,Pitt,87
43,Southern Mississippi,98
44,Tulane,110
45,Cincinnati,21
46,East Carolina,29
47,Louisville,53
48,Toledo,108
49,Bowling Green State,15
50,Central Michigan,18
51,Ohio,79
52,Northern Illinois,68
53,Western Michigan,124
54,Kent State,48
55,Miami (OH),60
56,Ball State,11
57,Eastern Michigan,28
58,Tulsa,111
59,Indiana State,145
60,Illinois State,144
61,Wichita State,160
62,Drake,139
63,West Texas A&M,158
64,Southern Illinois,154
65,USC,97
66,Washington,126
67,UCLA,114
68,Arizona,5
69,Washington State,127
70,Arizona State,6
71,Oregon,84
72,Stanford,99
73,California,19
74,Oregon State,85
75,Cal State Fullerton,132
76,Nevada-Las Vegas,115
77,San Jose State,92
78,Fresno State,34
79,Long Beach State,147
80,Pacific,150
81,Utah State,117
82,New Mexico State,74
83,Florida,32
84,LSU,54
85,Auburn,10
86,Georgia,35
87,Kentucky,49
88,Tennessee,103
89,Alabama,3
90,Vanderbilt,120
91,Ole Miss,64
92,Mississippi State,65
93,SMU,93
94,Houston,40
95,Arkansas,7
96,Texas,104
97,Texas Christian,101
98,Baylor,12
99,Texas A&M,105
100,Texas Tech,107
101,Rice,89
102,Brigham Young,17
103,Hawaii,39
104,Air Force,1
105,Utah,116
106,Wyoming,130
107,San Diego State,91
108,Colorado State,25
109,New Mexico,73
110,UTEP,118
