,school,alias
1,Clemson,22
2,Louisville,53
3,Florida State,33
4,North Carolina State,69
5,Wake Forest,125
6,Boston College,14
7,Syracuse,100
8,Virginia Tech,122
9,Miami (FL),59
10,North Carolina,75
11,Pitt,87
12,Georgia Tech,38
13,Duke,27
14,Virginia,121
15,Temple,102
16,South Florida,96
17,UCF,113
18,Cincinnati,21
19,Connecticut,26
20,East Carolina,29
21,Navy,70
22,Tulsa,111
23,Houston,40
24,Memphis,58
25,SMU,93
26,Tulane,110
27,Oklahoma,81
28,Oklahoma State,82
29,West Virginia,128
30,Kansas State,47
31,Texas Christian,101
32,Baylor,12
33,Texas,104
34,Texas Tech,107
35,Iowa State,45
36,Kansas,46
37,Penn State,86
38,Ohio State,80
39,Michigan,61
40,Indiana,43
41,Maryland,56
42,Michigan State,62
43,Rutgers,90
44,Wisconsin,129
45,Iowa,44
46,Nebraska,71
47,Minnesota,63
48,Northwestern,77
49,Illinois,42
50,Purdue,88
51,Western Kentucky,123
52,Old Dominion,83
53,Middle Tennessee State,67
54,Florida International,31
55,Florida Atlantic,30
56,Marshall,55
57,Charlotte,20
58,Louisiana Tech,50
59,UTSA,119
60,Southern Mississippi,98
61,North Texas,76
62,UTEP,118
63,Rice,89
64,Massachusetts,57
65,Army,9
66,Brigham Young,17
67,Notre Dame,78
68,Ohio,79
69,Miami (OH),60
70,Akron,2
71,Bowling Green State,15
72,Kent State,48
73,Buffalo,16
74,Western Michigan,124
75,Toledo,108
76,Northern Illinois,68
77,Eastern Michigan,28
78,Central Michigan,18
79,Ball State,11
80,Boise State,13
81,New Mexico,73
82,Wyoming,130
83,Air Force,1
84,Colorado State,25
85,Utah State,117
86,San Diego State,91
87,Hawaii,39
88,Nevada,72
89,Nevada-Las Vegas,115
90,San Jose State,92
91,Fresno State,34
92,Washington,126
93,Washington State,127
94,Stanford,99
95,California,19
96,Oregon State,85
97,Oregon,84
98,Colorado,24
99,USC,97
100,Utah,116
101,Arizona State,6
102,UCLA,114
103,Arizona,5
104,Florida,32
105,Georgia,35
106,Tennessee,103
107,Kentucky,49
108,South Carolina,95
109,Vanderbilt,120
110,Missouri,66
111,Alabama,3
112,Auburn,10
113,LSU,54
114,Texas A&M,105
115,Arkansas,7
116,Mississippi State,65
117,Ole Miss,64
118,Appalachian State,4
119,Georgia Southern,36
120,Arkansas State,8
121,Troy,109
122,Idaho,41
123,Louisiana,51
124,Louisiana-Monroe,52
125,South Alabama,94
126,Georgia State,37
127,New Mexico State,74
128,Texas State,106
