,school,alias
1,Wake Forest,125
2,Boston College,14
3,Clemson,22
4,Maryland,56
5,Florida State,33
6,North Carolina State,69
7,Georgia Tech,38
8,Virginia Tech,122
9,Virginia,121
10,Miami (FL),59
11,North Carolina,75
12,Duke,27
13,Nebraska,71
14,Missouri,66
15,Kansas State,47
16,Kansas,46
17,Colorado,24
18,Iowa State,45
19,Oklahoma,81
20,Texas,104
21,Texas A&M,105
22,Texas Tech,107
23,Oklahoma State,82
24,Baylor,12
25,Louisville,53
26,Rutgers,90
27,West Virginia,128
28,Cincinnati,21
29,South Florida,96
30,Pitt,87
31,Connecticut,26
32,Syracuse,100
33,Ohio State,80
34,Wisconsin,129
35,Michigan,61
36,Penn State,86
37,Purdue,88
38,Indiana,43
39,Minnesota,63
40,Iowa,44
41,Northwestern,77
42,Michigan State,62
43,Illinois,42
44,Southern Mississippi,98
45,East Carolina,29
46,Marshall,55
47,UCF,113
48,UAB,112
49,Memphis,58
50,Houston,40
51,Rice,89
52,Tulsa,111
53,SMU,93
54,UTEP,118
55,Tulane,110
56,Notre Dame,78
57,Navy,70
58,Army,9
59,Temple,102
60,Ohio,79
61,Kent State,48
62,Akron,2
63,Bowling Green State,15
64,Miami (OH),60
65,Buffalo,16
66,Central Michigan,18
67,Western Michigan,124
68,Northern Illinois,68
69,Ball State,11
70,Toledo,108
71,Eastern Michigan,28
72,Brigham Young,17
73,Texas Christian,101
74,Utah,116
75,Wyoming,130
76,New Mexico,73
77,Air Force,1
78,San Diego State,91
79,Colorado State,25
80,Nevada-Las Vegas,115
81,USC,97
82,California,19
83,Oregon State,85
84,UCLA,114
85,Arizona,5
86,Arizona State,6
87,Oregon,84
88,Washington State,127
89,Washington,126
90,Stanford,99
91,Florida,32
92,Tennessee,103
93,Georgia,35
94,Kentucky,49
95,South Carolina,95
96,Vanderbilt,120
97,Arkansas,7
98,Auburn,10
99,LSU,54
100,Alabama,3
101,Ole Miss,64
102,Mississippi State,65
103,Troy,109
104,Middle Tennessee State,67
105,Arkansas State,8
106,Florida Atlantic,30
107,Louisiana,51
108,Louisiana-Monroe,52
109,North Texas,76
110,Florida International,31
111,Boise State,13
112,Hawaii,39
113,Nevada,72
114,San Jose State,92
115,Fresno State,34
116,Idaho,41
117,New Mexico State,74
118,Louisiana Tech,50
119,Utah State,117
