,school,alias
1,Clemson,22
2,North Carolina State,69
3,Louisville,53
4,Wake Forest,125
5,Boston College,14
6,Florida State,33
7,Syracuse,100
8,Miami (FL),59
9,Virginia Tech,122
10,Georgia Tech,38
11,Duke,27
12,Pitt,87
13,Virginia,121
14,North Carolina,75
15,UCF,113
16,South Florida,96
17,Temple,102
18,Cincinnati,21
19,Connecticut,26
20,East Carolina,29
21,Memphis,58
22,Houston,40
23,Navy,70
24,SMU,93
25,Tulane,110
26,Tulsa,111
27,Oklahoma,81
28,Texas Christian,101
29,Oklahoma State,82
30,Iowa State,45
31,Kansas State,47
32,Texas,104
33,West Virginia,128
34,Texas Tech,107
35,Baylor,12
36,Kansas,46
37,Ohio State,80
38,Penn State,86
39,Michigan State,62
40,Michigan,61
41,Rutgers,90
42,Indiana,43
43,Maryland,56
44,Wisconsin,129
45,Northwestern,77
46,Iowa,44
47,Purdue,88
48,Nebraska,71
49,Minnesota,63
50,Illinois,42
51,Florida Atlantic,30
52,Florida International,31
53,Marshall,55
54,Middle Tennessee State,67
55,Western Kentucky,123
56,Old Dominion,83
57,Charlotte,20
58,North Texas,76
59,Southern Mississippi,98
60,UAB,112
61,Louisiana Tech,50
62,UTSA,119
63,Rice,89
64,UTEP,118
65,Massachusetts,57
66,Army,9
67,Notre Dame,78
68,Brigham Young,17
69,Akron,2
70,Ohio,79
71,Buffalo,16
72,Miami (OH),60
73,Bowling Green State,15
74,Kent State,48
75,Toledo,108
76,Central Michigan,18
77,Northern Illinois,68
78,Western Michigan,124
79,Eastern Michigan,28
80,Ball State,11
81,Boise State,13
82,Colorado State,25
83,Air Force,1
84,Utah State,117
85,Wyoming,130
86,New Mexico,73
87,Fresno State,34
88,San Diego State,91
89,Nevada-Las Vegas,115
90,San Jose State,92
91,Hawaii,39
92,Nevada,72
93,Washington,126
94,Stanford,99
95,Washington State,127
96,Oregon,84
97,California,19
98,Oregon State,85
99,USC,97
100,Arizona State,6
101,Arizona,5
102,UCLA,114
103,Utah,116
104,Colorado,24
105,Georgia,35
106,South Carolina,95
107,Kentucky,49
108,Missouri,66
109,Florida,32
110,Vanderbilt,120
111,Tennessee,103
112,Alabama,3
113,Auburn,10
114,LSU,54
115,Mississippi State,65
116,Texas A&M,105
117,Ole Miss,64
118,Arkansas,7
119,Appalachian State,4
120,Coastal Carolina,23
121,Georgia Southern,36
122,Troy,109
123,Arkansas State,8
124,Georgia State,37
125,New Mexico State,74
126,Louisiana,51
127,Louisiana-Monroe,52
128,Idaho,41
129,South Alabama,94
130,Texas State,106
