,school,alias
1,Florida State,33
2,Clemson,22
3,North Carolina State,69
4,Wake Forest,125
5,Maryland,56
6,Boston College,14
7,North Carolina,75
8,Georgia Tech,38
9,Miami (FL),59
10,Virginia Tech,122
11,Duke,27
12,Virginia,121
13,Kansas State,47
14,Oklahoma,81
15,Oklahoma State,82
16,Texas,104
17,Baylor,12
18,Texas Tech,107
19,Texas Christian,101
20,West Virginia,128
21,Iowa State,45
22,Kansas,46
23,Louisville,53
24,Cincinnati,21
25,Rutgers,90
26,Syracuse,100
27,Pitt,87
28,Connecticut,26
29,Temple,102
30,South Florida,96
31,Wisconsin,129
32,Ohio State,80
33,Penn State,86
34,Purdue,88
35,Indiana,43
36,Illinois,42
37,Nebraska,71
38,Michigan,61
39,Northwestern,77
40,Michigan State,62
41,Minnesota,63
42,Iowa,44
43,UCF,113
44,East Carolina,29
45,Marshall,55
46,Memphis,58
47,UAB,112
48,Southern Mississippi,98
49,Tulsa,111
50,SMU,93
51,Rice,89
52,Houston,40
53,UTEP,118
54,Tulane,110
55,Notre Dame,78
56,Brigham Young,17
57,Navy,70
58,Army,9
59,Kent State,48
60,Bowling Green State,15
61,Ohio,79
62,Buffalo,16
63,Miami (OH),60
64,Massachusetts,57
65,Akron,2
66,Northern Illinois,68
67,Ball State,11
68,Toledo,108
69,Central Michigan,18
70,Western Michigan,124
71,Eastern Michigan,28
72,Boise State,13
73,Fresno State,34
74,San Diego State,91
75,Air Force,1
76,Nevada,72
77,Colorado State,25
78,Wyoming,130
79,Nevada-Las Vegas,115
80,New Mexico,73
81,Hawaii,39
82,Stanford,99
83,Oregon,84
84,Oregon State,85
85,Washington,126
86,California,19
87,Washington State,127
88,UCLA,114
89,Arizona State,6
90,USC,97
91,Arizona,5
92,Utah,116
93,Colorado,24
94,Georgia,35
95,Florida,32
96,South Carolina,95
97,Vanderbilt,120
98,Missouri,66
99,Tennessee,103
100,Kentucky,49
101,Alabama,3
102,Texas A&M,105
103,LSU,54
104,Mississippi State,65
105,Ole Miss,64
106,Arkansas,7
107,Auburn,10
108,Arkansas State,8
109,Louisiana,51
110,Louisiana-Monroe,52
111,Middle Tennessee State,67
112,Western Kentucky,123
113,Troy,109
114,North Texas,76
115,Florida Atlantic,30
116,Florida International,31
117,South Alabama,94
118,Utah State,117
119,San Jose State,92
120,Louisiana Tech,50
121,UTSA,119
122,Texas State,106
123,Idaho,41
124,New Mexico State,74
