,school,alias
1,North Carolina,75
2,Maryland,56
3,North Carolina State,69
4,Clemson,22
5,Wake Forest,125
6,Virginia,121
7,Duke,27
8,Oklahoma,81
9,Nebraska,71
10,Missouri,66
11,Kansas,46
12,Oklahoma State,82
13,Iowa State,45
14,Kansas State,47
15,Colorado,24
16,Michigan,61
17,Ohio State,80
18,Purdue,88
19,Iowa,44
20,Minnesota,63
21,Indiana,43
22,Illinois,42
23,Wisconsin,129
24,Michigan State,62
25,Northwestern,77
26,Pitt,87
27,Florida State,33
28,Penn State,86
29,Miami (FL),59
30,Notre Dame,78
31,Southern Mississippi,98
32,Boston College,14
33,Louisiana-Monroe,52
34,Navy,70
35,Nevada-Las Vegas,115
36,Rutgers,90
37,South Carolina,95
38,Virginia Tech,122
39,Colgate,135
40,North Texas,76
41,Tulane,110
42,Villanova,156
43,West Virginia,128
44,Louisville,53
45,Richmond,153
46,Syracuse,100
47,Army,9
48,East Carolina,29
49,Illinois State,144
50,Temple,102
51,Holy Cross,143
52,Cincinnati,21
53,Georgia Tech,38
54,Memphis,58
55,William & Mary,161
56,Yale,162
57,Cornell,137
58,Harvard,142
59,Brown,131
60,Princeton,152
61,Dartmouth,138
62,Pennsylvania,151
63,Columbia,136
64,Central Michigan,18
65,Western Michigan,124
66,Northern Illinois,68
67,Ball State,11
68,Ohio,79
69,Miami (OH),60
70,Bowling Green State,15
71,Toledo,108
72,Kent State,48
73,Eastern Michigan,28
74,Tulsa,111
75,Wichita State,160
76,Drake,139
77,Indiana State,145
78,West Texas A&M,158
79,New Mexico State,74
80,Southern Illinois,154
81,Washington,126
82,UCLA,114
83,USC,97
84,Arizona State,6
85,Oregon,84
86,Stanford,99
87,Arizona,5
88,Washington State,127
89,California,19
90,Oregon State,85
91,Long Beach State,147
92,Utah State,117
93,San Jose State,92
94,Fresno State,34
95,Cal State Fullerton,132
96,Pacific,150
97,Georgia,35
98,Alabama,3
99,Mississippi State,65
100,Florida,32
101,LSU,54
102,Tennessee,103
103,Ole Miss,64
104,Kentucky,49
105,Auburn,10
106,Vanderbilt,120
107,Furman,163
108,Chattanooga,133
109,Citadel,134
110,Appalachian State,4
111,Western Carolina,159
112,Virginia Military Institute,157
113,East Tennessee State,140
114,Marshall,55
115,McNeese State,148
116,Louisiana,51
117,Texas-Arlington,155
118,Louisiana Tech,50
119,Lamar,146
120,Arkansas State,8
121,Baylor,12
122,SMU,93
123,Houston,40
124,Texas,104
125,Rice,89
126,Arkansas,7
127,Texas Tech,107
128,Texas A&M,105
129,Texas Christian,101
130,Brigham Young,17
131,Colorado State,25
132,Hawaii,39
133,Wyoming,130
134,San Diego State,91
135,Utah,116
136,New Mexico,73
137,Air Force,1
138,UTEP,118
