,school,alias
1,Virginia Tech,122
2,Florida State,33
3,Miami (FL),59
4,Virginia,121
5,North Carolina,75
6,Clemson,22
7,Georgia Tech,38
8,Maryland,56
9,North Carolina State,69
10,Wake Forest,125
11,Duke,27
12,Colorado,24
13,Iowa State,45
14,Missouri,66
15,Nebraska,71
16,Kansas,46
17,Kansas State,47
18,Oklahoma,81
19,Texas,104
20,Texas Tech,107
21,Texas A&M,105
22,Oklahoma State,82
23,Baylor,12
24,Boston College,14
25,Pitt,87
26,West Virginia,128
27,Syracuse,100
28,Connecticut,26
29,Rutgers,90
30,Temple,102
31,Iowa,44
32,Michigan,61
33,Wisconsin,129
34,Northwestern,77
35,Ohio State,80
36,Purdue,88
37,Michigan State,62
38,Minnesota,63
39,Penn State,86
40,Illinois,42
41,Indiana,43
42,Louisville,53
43,Memphis,58
44,Cincinnati,21
45,Southern Mississippi,98
46,UAB,112
47,Texas Christian,101
48,Tulane,110
49,South Florida,96
50,Houston,40
51,Army,9
52,East Carolina,29
53,Navy,70
54,Notre Dame,78
55,Florida A&M,141
56,Miami (OH),60
57,Akron,2
58,Marshall,55
59,Kent State,48
60,Ohio,79
61,Buffalo,16
62,UCF,113
63,Toledo,108
64,Northern Illinois,68
65,Bowling Green State,15
66,Eastern Michigan,28
67,Central Michigan,18
68,Ball State,11
69,Western Michigan,124
70,Utah,116
71,New Mexico,73
72,Brigham Young,17
73,Wyoming,130
74,Air Force,1
75,Colorado State,25
76,San Diego State,91
77,Nevada-Las Vegas,115
78,USC,97
79,California,19
80,Arizona State,6
81,Oregon State,85
82,UCLA,114
83,Oregon,84
84,Washington State,127
85,Stanford,99
86,Arizona,5
87,Washington,126
88,Tennessee,103
89,Georgia,35
90,Florida,32
91,South Carolina,95
92,Kentucky,49
93,Vanderbilt,120
94,Auburn,10
95,LSU,54
96,Alabama,3
97,Arkansas,7
98,Ole Miss,64
99,Mississippi State,65
100,North Texas,76
101,Troy,109
102,New Mexico State,74
103,Louisiana-Monroe,52
104,Florida Atlantic,30
105,Middle Tennessee State,67
106,Arkansas State,8
107,Louisiana,51
108,Idaho,41
109,Utah State,117
110,Florida International,31
111,Boise State,13
112,UTEP,118
113,Fresno State,34
114,Louisiana Tech,50
115,Hawaii,39
116,Nevada,72
117,Tulsa,111
118,SMU,93
119,Rice,89
120,San Jose State,92
