,school,alias
1,Maryland,56
2,Florida State,33
3,North Carolina,75
4,Georgia Tech,38
5,Clemson,22
6,North Carolina State,69
7,Wake Forest,125
8,Virginia,121
9,Duke,27
10,Colorado,24
11,Nebraska,71
12,Iowa State,45
13,Kansas State,47
14,Missouri,66
15,Kansas,46
16,Texas,104
17,Oklahoma,81
18,Texas A&M,105
19,Texas Tech,107
20,Oklahoma State,82
21,Baylor,12
22,Miami (FL),59
23,Syracuse,100
24,Boston College,14
25,Virginia Tech,122
26,Pitt,87
27,Temple,102
28,West Virginia,128
29,Rutgers,90
30,Illinois,42
31,Michigan,61
32,Ohio State,80
33,Iowa,44
34,Purdue,88
35,Indiana,43
36,Penn State,86
37,Michigan State,62
38,Wisconsin,129
39,Minnesota,63
40,Northwestern,77
41,Louisville,53
42,Cincinnati,21
43,East Carolina,29
44,UAB,112
45,Southern Mississippi,98
46,Texas Christian,101
47,Memphis,58
48,Army,9
49,Tulane,110
50,Houston,40
51,South Florida,96
52,Troy,109
53,UCF,113
54,Notre Dame,78
55,Utah State,117
56,Connecticut,26
57,Navy,70
58,Marshall,55
59,Miami (OH),60
60,Bowling Green State,15
61,Kent State,48
62,Akron,2
63,Buffalo,16
64,Ohio,79
65,Toledo,108
66,Northern Illinois,68
67,Ball State,11
68,Western Michigan,124
69,Central Michigan,18
70,Eastern Michigan,28
71,Brigham Young,17
72,Colorado State,25
73,Utah,116
74,New Mexico,73
75,Air Force,1
76,Nevada-Las Vegas,115
77,San Diego State,91
78,Wyoming,130
79,Oregon,84
80,Washington State,127
81,Stanford,99
82,Washington,126
83,USC,97
84,UCLA,114
85,Oregon State,85
86,Arizona,5
87,Arizona State,6
88,California,19
89,Tennessee,103
90,Florida,32
91,South Carolina,95
92,Georgia,35
93,Kentucky,49
94,Vanderbilt,120
95,LSU,54
96,Auburn,10
97,Ole Miss,64
98,Alabama,3
99,Arkansas,7
100,Mississippi State,65
101,Middle Tennessee State,67
102,North Texas,76
103,New Mexico State,74
104,Louisiana,51
105,Arkansas State,8
106,Louisiana-Monroe,52
107,Idaho,41
108,Louisiana Tech,50
109,Fresno State,34
110,Boise State,13
111,Hawaii,39
112,Rice,89
113,SMU,93
114,Nevada,72
115,San Jose State,92
116,UTEP,118
117,Tulsa,111
