,school,alias
1,Maryland,56
2,Clemson,22
3,North Carolina,75
4,Georgia Tech,38
5,Virginia,121
6,Duke,27
7,Wake Forest,125
8,North Carolina State,69
9,Nebraska,71
10,Oklahoma,81
11,Missouri,66
12,Oklahoma State,82
13,Iowa State,45
14,Kansas,46
15,Colorado,24
16,Kansas State,47
17,Illinois,42
18,Michigan,61
19,Iowa,44
20,Ohio State,80
21,Wisconsin,129
22,Purdue,88
23,Michigan State,62
24,Indiana,43
25,Northwestern,77
26,Minnesota,63
27,Miami (FL),59
28,Virginia Tech,122
29,Boston College,14
30,East Carolina,29
31,Pitt,87
32,West Virginia,128
33,Penn State,86
34,Southern Mississippi,98
35,Florida State,33
36,Memphis,58
37,Notre Dame,78
38,Syracuse,100
39,William & Mary,161
40,Cincinnati,21
41,Louisiana,51
42,South Carolina,95
43,Temple,102
44,Tulane,110
45,Louisville,53
46,Navy,70
47,Richmond,153
48,Rutgers,90
49,Army,9
50,Northern Illinois,68
51,Toledo,108
52,Bowling Green State,15
53,Central Michigan,18
54,Ball State,11
55,Western Michigan,124
56,Miami (OH),60
57,Ohio,79
58,Kent State,48
59,Eastern Michigan,28
60,Tulsa,111
61,Southern Illinois,154
62,New Mexico State,74
63,Indiana State,145
64,Illinois State,144
65,Wichita State,160
66,Drake,139
67,West Texas A&M,158
68,UCLA,114
69,Washington,126
70,Washington State,127
71,Arizona,5
72,Arizona State,6
73,Oregon,84
74,USC,97
75,California,19
76,Oregon State,85
77,Stanford,99
78,Cal State Fullerton,132
79,Nevada-Las Vegas,115
80,Long Beach State,147
81,San Jose State,92
82,Utah State,117
83,Fresno State,34
84,Pacific,150
85,Auburn,10
86,Georgia,35
87,Florida,32
88,Tennessee,103
89,Alabama,3
90,Ole Miss,64
91,Kentucky,49
92,Mississippi State,65
93,LSU,54
94,Vanderbilt,120
95,Texas,104
96,SMU,93
97,Baylor,12
98,Arkansas,7
99,Texas A&M,105
100,Texas Tech,107
101,Houston,40
102,Texas Christian,101
103,Rice,89
104,Brigham Young,17
105,Air Force,1
106,Wyoming,130
107,Hawaii,39
108,New Mexico,73
109,Colorado State,25
110,Utah,116
111,San Diego State,91
112,UTEP,118
