,school,alias
1,Florida State,33
2,North Carolina,75
3,Clemson,22
4,Virginia,121
5,Georgia Tech,38
6,Maryland,56
7,North Carolina State,69
8,Wake Forest,125
9,Duke,27
10,Nebraska,71
11,Colorado,24
12,Kansas State,47
13,Missouri,66
14,Kansas,46
15,Iowa State,45
16,Texas,104
17,Texas Tech,107
18,Texas A&M,105
19,Oklahoma,81
20,Oklahoma State,82
21,Baylor,12
22,Virginia Tech,122
23,Miami (FL),59
24,Syracuse,100
25,West Virginia,128
26,Pitt,87
27,Boston College,14
28,Rutgers,90
29,Temple,102
30,Ohio State,80
31,Northwestern,77
32,Penn State,86
33,Iowa,44
34,Michigan,61
35,Michigan State,62
36,Wisconsin,129
37,Purdue,88
38,Minnesota,63
39,Indiana,43
40,Illinois,42
41,Nevada,72
42,Utah State,117
43,Idaho,41
44,North Texas,76
45,Boise State,13
46,New Mexico State,74
47,Southern Mississippi,98
48,Houston,40
49,Cincinnati,21
50,Louisville,53
51,Memphis,58
52,Tulane,110
53,Army,9
54,East Carolina,29
55,Navy,70
56,Notre Dame,78
57,Louisiana Tech,50
58,Louisiana,51
59,Louisiana-Monroe,52
60,UAB,112
61,UCF,113
62,Arkansas State,8
63,Northern Illinois,68
64,Ball State,11
65,Toledo,108
66,Miami (OH),60
67,Ohio,79
68,Central Michigan,18
69,Akron,2
70,Bowling Green State,15
71,Eastern Michigan,28
72,Western Michigan,124
73,Kent State,48
74,Arizona State,6
75,Washington,126
76,Stanford,99
77,UCLA,114
78,California,19
79,Oregon,84
80,USC,97
81,Arizona,5
82,Washington State,127
83,Oregon State,85
84,Florida,32
85,Tennessee,103
86,South Carolina,95
87,Georgia,35
88,Kentucky,49
89,Vanderbilt,120
90,LSU,54
91,Alabama,3
92,Auburn,10
93,Mississippi State,65
94,Ole Miss,64
95,Arkansas,7
96,Brigham Young,17
97,Rice,89
98,Utah,116
99,SMU,93
100,New Mexico,73
101,Texas Christian,101
102,Tulsa,111
103,UTEP,118
104,Wyoming,130
105,San Diego State,91
106,Colorado State,25
107,Air Force,1
108,Fresno State,34
109,San Jose State,92
110,Hawaii,39
111,Nevada-Las Vegas,115
