,school,alias
1,Florida State,33
2,Virginia,121
3,Clemson,22
4,Georgia Tech,38
5,Maryland,56
6,North Carolina,75
7,North Carolina State,69
8,Duke,27
9,Wake Forest,125
10,Nebraska,71
11,Colorado,24
12,Kansas,46
13,Kansas State,47
14,Oklahoma,81
15,Oklahoma State,82
16,Iowa State,45
17,Missouri,66
18,Virginia Tech,122
19,Miami (FL),59
20,Syracuse,100
21,West Virginia,128
22,Boston College,14
23,Rutgers,90
24,Temple,102
25,Pitt,87
26,Northwestern,77
27,Ohio State,80
28,Penn State,86
29,Michigan,61
30,Iowa,44
31,Michigan State,62
32,Illinois,42
33,Wisconsin,129
34,Purdue,88
35,Minnesota,63
36,Indiana,43
37,Nevada,72
38,Louisiana,51
39,Arkansas State,8
40,Utah State,117
41,Northern Illinois,68
42,New Mexico State,74
43,San Jose State,92
44,Louisiana Tech,50
45,Pacific,150
46,Nevada-Las Vegas,115
47,East Carolina,29
48,Notre Dame,78
49,Louisville,53
50,Army,9
51,Cincinnati,21
52,Southern Mississippi,98
53,Navy,70
54,Tulsa,111
55,Memphis,58
56,Louisiana-Monroe,52
57,North Texas,76
58,Tulane,110
59,Toledo,108
60,Miami (OH),60
61,Ball State,11
62,Western Michigan,124
63,Eastern Michigan,28
64,Bowling Green State,15
65,Central Michigan,18
66,Akron,2
67,Ohio,79
68,Kent State,48
69,USC,97
70,Washington,126
71,Oregon,84
72,Stanford,99
73,Arizona,5
74,Arizona State,6
75,UCLA,114
76,California,19
77,Washington State,127
78,Oregon State,85
79,Florida,32
80,Tennessee,103
81,Georgia,35
82,South Carolina,95
83,Kentucky,49
84,Vanderbilt,120
85,Arkansas,7
86,Alabama,3
87,Auburn,10
88,LSU,54
89,Ole Miss,64
90,Mississippi State,65
91,Texas,104
92,Texas A&M,105
93,Texas Tech,107
94,Baylor,12
95,Texas Christian,101
96,Houston,40
97,Rice,89
98,SMU,93
99,Air Force,1
100,Brigham Young,17
101,Colorado State,25
102,Utah,116
103,San Diego State,91
104,Wyoming,130
105,Fresno State,34
106,Hawaii,39
107,New Mexico,73
108,UTEP,118
