,school,alias
1,Clemson,22
2,Virginia,121
3,Wake Forest,125
4,Maryland,56
5,North Carolina State,69
6,North Carolina,75
7,Duke,27
8,Georgia Tech,38
9,Oklahoma,81
10,Nebraska,71
11,Oklahoma State,82
12,Colorado,24
13,Missouri,66
14,Iowa State,45
15,Kansas,46
16,Kansas State,47
17,Michigan State,62
18,Iowa,44
19,Indiana,43
20,Michigan,61
21,Ohio State,80
22,Minnesota,63
23,Illinois,42
24,Purdue,88
25,Northwestern,77
26,Wisconsin,129
27,Miami (FL),59
28,Florida State,33
29,Syracuse,100
30,Notre Dame,78
31,Penn State,86
32,Pitt,87
33,South Carolina,95
34,Louisiana,51
35,Memphis,58
36,Northern Illinois,68
37,Rutgers,90
38,Southern Mississippi,98
39,Tulane,110
40,West Virginia,128
41,Army,9
42,Boston College,14
43,East Carolina,29
44,Akron,2
45,Cincinnati,21
46,Louisville,53
47,Temple,102
48,Tulsa,111
49,Navy,70
50,Virginia Tech,122
51,Eastern Michigan,28
52,Kent State,48
53,Bowling Green State,15
54,Miami (OH),60
55,Western Michigan,124
56,Central Michigan,18
57,Toledo,108
58,Ball State,11
59,Ohio,79
60,UCLA,114
61,USC,97
62,Arizona State,6
63,Washington,126
64,Oregon,84
65,Stanford,99
66,Arizona,5
67,California,19
68,Washington State,127
69,Oregon State,85
70,San Jose State,92
71,Cal State Fullerton,132
72,Fresno State,34
73,Nevada-Las Vegas,115
74,Utah State,117
75,Pacific,150
76,Long Beach State,147
77,New Mexico State,74
78,Auburn,10
79,LSU,54
80,Tennessee,103
81,Georgia,35
82,Alabama,3
83,Florida,32
84,Kentucky,49
85,Mississippi State,65
86,Vanderbilt,120
87,Ole Miss,64
88,Texas A&M,105
89,Arkansas,7
90,Texas,104
91,Texas Tech,107
92,Baylor,12
93,Texas Christian,101
94,Houston,40
95,Rice,89
96,Wyoming,130
97,Brigham Young,17
98,Air Force,1
99,UTEP,118
100,San Diego State,91
101,Hawaii,39
102,Utah,116
103,Colorado State,25
104,New Mexico,73
