,school,alias
1,Boston College,14
2,Clemson,22
3,Wake Forest,125
4,Florida State,33
5,Maryland,56
6,North Carolina State,69
7,Virginia Tech,122
8,Virginia,121
9,Georgia Tech,38
10,North Carolina,75
11,Miami (FL),59
12,Duke,27
13,Kansas,46
14,Missouri,66
15,Colorado,24
16,Kansas State,47
17,Nebraska,71
18,Iowa State,45
19,Oklahoma,81
20,Texas,104
21,Texas Tech,107
22,Oklahoma State,82
23,Texas A&M,105
24,Baylor,12
25,West Virginia,128
26,Connecticut,26
27,Cincinnati,21
28,South Florida,96
29,Rutgers,90
30,Louisville,53
31,Pitt,87
32,Syracuse,100
33,Ohio State,80
34,Illinois,42
35,Michigan,61
36,Wisconsin,129
37,Penn State,86
38,Iowa,44
39,Purdue,88
40,Indiana,43
41,Michigan State,62
42,Northwestern,77
43,Minnesota,63
44,UCF,113
45,East Carolina,29
46,Memphis,58
47,Southern Mississippi,98
48,Marshall,55
49,UAB,112
50,Tulsa,111
51,Houston,40
52,Tulane,110
53,Rice,89
54,UTEP,118
55,SMU,93
56,Navy,70
57,Western Kentucky,123
58,Army,9
59,Notre Dame,78
60,Bowling Green State,15
61,Miami (OH),60
62,Buffalo,16
63,Ohio,79
64,Temple,102
65,Akron,2
66,Kent State,48
67,Central Michigan,18
68,Ball State,11
69,Western Michigan,124
70,Eastern Michigan,28
71,Toledo,108
72,Northern Illinois,68
73,Brigham Young,17
74,Air Force,1
75,New Mexico,73
76,Utah,116
77,Texas Christian,101
78,San Diego State,91
79,Wyoming,130
80,Colorado State,25
81,Nevada-Las Vegas,115
82,USC,97
83,Arizona State,6
84,Oregon State,85
85,Oregon,84
86,UCLA,114
87,Arizona,5
88,California,19
89,Washington State,127
90,Stanford,99
91,Washington,126
92,Georgia,35
93,Tennessee,103
94,Florida,32
95,Kentucky,49
96,South Carolina,95
97,Vanderbilt,120
98,LSU,54
99,Auburn,10
100,Arkansas,7
101,Mississippi State,65
102,Alabama,3
103,Ole Miss,64
104,Florida Atlantic,30
105,Troy,109
106,Louisiana-Monroe,52
107,Middle Tennessee State,67
108,Arkansas State,8
109,Louisiana,51
110,North Texas,76
111,Florida International,31
112,Hawaii,39
113,Boise State,13
114,Fresno State,34
115,Louisiana Tech,50
116,Nevada,72
117,San Jose State,92
118,Utah State,117
119,New Mexico State,74
120,Idaho,41
