,school,alias
1,Clemson,22
2,Maryland,56
3,North Carolina,75
4,Duke,27
5,North Carolina State,69
6,Virginia,121
7,Wake Forest,125
8,Nebraska,71
9,Oklahoma,81
10,Kansas State,47
11,Oklahoma State,82
12,Missouri,66
13,Iowa State,45
14,Colorado,24
15,Kansas,46
16,Michigan,61
17,Ohio State,80
18,Iowa,44
19,Illinois,42
20,Wisconsin,129
21,Indiana,43
22,Purdue,88
23,Northwestern,77
24,Michigan State,62
25,Minnesota,63
26,Penn State,86
27,Boston College,14
28,Florida State,33
29,Pitt,87
30,West Virginia,128
31,East Carolina,29
32,Louisiana,51
33,Miami (FL),59
34,Southern Mississippi,98
35,Virginia Tech,122
36,Cincinnati,21
37,Georgia Tech,38
38,Navy,70
39,Notre Dame,78
40,Louisville,53
41,Rutgers,90
42,Army,9
43,South Carolina,95
44,Temple,102
45,Tulane,110
46,William & Mary,161
47,North Texas,76
48,Syracuse,100
49,Memphis,58
50,Richmond,153
51,Bowling Green State,15
52,Western Michigan,124
53,Miami (OH),60
54,Central Michigan,18
55,Northern Illinois,68
56,Ohio,79
57,Toledo,108
58,Ball State,11
59,Eastern Michigan,28
60,Kent State,48
61,Tulsa,111
62,Wichita State,160
63,Southern Illinois,154
64,Indiana State,145
65,Drake,139
66,New Mexico State,74
67,West Texas A&M,158
68,Illinois State,144
69,UCLA,114
70,Arizona State,6
71,Washington,126
72,USC,97
73,California,19
74,Arizona,5
75,Stanford,99
76,Washington State,127
77,Oregon,84
78,Oregon State,85
79,Fresno State,34
80,Long Beach State,147
81,San Jose State,92
82,Utah State,117
83,Pacific,150
84,Nevada-Las Vegas,115
85,Cal State Fullerton,132
86,Georgia,35
87,LSU,54
88,Auburn,10
89,Vanderbilt,120
90,Alabama,3
91,Florida,32
92,Tennessee,103
93,Mississippi State,65
94,Ole Miss,64
95,Kentucky,49
96,SMU,93
97,Texas,104
98,Arkansas,7
99,Houston,40
100,Baylor,12
101,Texas A&M,105
102,Texas Tech,107
103,Texas Christian,101
104,Rice,89
105,Brigham Young,17
106,New Mexico,73
107,Air Force,1
108,Hawaii,39
109,San Diego State,91
110,Utah,116
111,Colorado State,25
112,Wyoming,130
113,UTEP,118
