,school,alias
1,Clemson,22
2,Virginia,121
3,North Carolina State,69
4,Duke,27
5,Wake Forest,125
6,Maryland,56
7,North Carolina,75
8,Georgia Tech,38
9,Nebraska,71
10,Oklahoma,81
11,Oklahoma State,82
12,Colorado,24
13,Iowa State,45
14,Missouri,66
15,Kansas,46
16,Kansas State,47
17,Michigan,61
18,Michigan State,62
19,Indiana,43
20,Illinois,42
21,Iowa,44
22,Ohio State,80
23,Purdue,88
24,Northwestern,77
25,Minnesota,63
26,Wisconsin,129
27,Fresno State,34
28,Cal State Fullerton,132
29,San Jose State,92
30,Utah State,117
31,Nevada-Las Vegas,115
32,Long Beach State,147
33,Pacific,150
34,New Mexico State,74
35,Notre Dame,78
36,Florida State,33
37,Miami (FL),59
38,West Virginia,128
39,Southern Mississippi,98
40,Syracuse,100
41,Army,9
42,Louisville,53
43,Northern Illinois,68
44,South Carolina,95
45,Louisiana,51
46,Memphis,58
47,Pitt,87
48,Akron,2
49,Penn State,86
50,Rutgers,90
51,Tulane,110
52,Louisiana Tech,50
53,Temple,102
54,Tulsa,111
55,Boston College,14
56,Cincinnati,21
57,East Carolina,29
58,Navy,70
59,Virginia Tech,122
60,Western Michigan,124
61,Ball State,11
62,Central Michigan,18
63,Eastern Michigan,28
64,Toledo,108
65,Ohio,79
66,Kent State,48
67,Bowling Green State,15
68,Miami (OH),60
69,USC,97
70,UCLA,114
71,Washington State,127
72,Arizona,5
73,Arizona State,6
74,Oregon,84
75,Washington,126
76,Oregon State,85
77,California,19
78,Stanford,99
79,Auburn,10
80,LSU,54
81,Georgia,35
82,Alabama,3
83,Florida,32
84,Ole Miss,64
85,Tennessee,103
86,Kentucky,49
87,Vanderbilt,120
88,Mississippi State,65
89,Arkansas,7
90,Texas A&M,105
91,Houston,40
92,Texas Tech,107
93,Baylor,12
94,Texas,104
95,Texas Christian,101
96,Rice,89
97,Wyoming,130
98,UTEP,118
99,Hawaii,39
100,Brigham Young,17
101,Utah,116
102,Air Force,1
103,San Diego State,91
104,New Mexico,73
105,Colorado State,25
