,school,alias
1,Florida State,33
2,Clemson,22
3,Louisville,53
4,Boston College,14
5,North Carolina State,69
6,Syracuse,100
7,Wake Forest,125
8,Georgia Tech,38
9,Duke,27
10,North Carolina,75
11,Pitt,87
12,Virginia Tech,122
13,Miami (FL),59
14,Virginia,121
15,Memphis,58
16,Cincinnati,21
17,UCF,113
18,East Carolina,29
19,Houston,40
20,Temple,102
21,South Florida,96
22,Tulane,110
23,Tulsa,111
24,Connecticut,26
25,SMU,93
26,Texas Christian,101
27,Baylor,12
28,Kansas State,47
29,Oklahoma,81
30,West Virginia,128
31,Texas,104
32,Oklahoma State,82
33,Texas Tech,107
34,Kansas,46
35,Iowa State,45
36,Ohio State,80
37,Michigan State,62
38,Maryland,56
39,Rutgers,90
40,Michigan,61
41,Penn State,86
42,Indiana,43
43,Wisconsin,129
44,Minnesota,63
45,Nebraska,71
46,Iowa,44
47,Illinois,42
48,Northwestern,77
49,Purdue,88
50,Marshall,55
51,Middle Tennessee State,67
52,Western Kentucky,123
53,Old Dominion,83
54,UAB,112
55,Florida International,31
56,Florida Atlantic,30
57,Louisiana Tech,50
58,Rice,89
59,UTEP,118
60,UTSA,119
61,North Texas,76
62,Southern Mississippi,98
63,Notre Dame,78
64,Navy,70
65,Army,9
66,Brigham Young,17
67,Bowling Green State,15
68,Ohio,79
69,Buffalo,16
70,Akron,2
71,Massachusetts,57
72,Miami (OH),60
73,Kent State,48
74,Northern Illinois,68
75,Toledo,108
76,Western Michigan,124
77,Central Michigan,18
78,Ball State,11
79,Eastern Michigan,28
80,Boise State,13
81,Colorado State,25
82,Utah State,117
83,Air Force,1
84,New Mexico,73
85,Wyoming,130
86,San Diego State,91
87,Fresno State,34
88,Nevada,72
89,Hawaii,39
90,San Jose State,92
91,Nevada-Las Vegas,115
92,Oregon,84
93,Stanford,99
94,Washington,126
95,California,19
96,Oregon State,85
97,Washington State,127
98,Arizona,5
99,Arizona State,6
100,UCLA,114
101,USC,97
102,Utah,116
103,Colorado,24
104,Missouri,66
105,Georgia,35
106,Florida,32
107,South Carolina,95
108,Tennessee,103
109,Kentucky,49
110,Vanderbilt,120
111,Alabama,3
112,Mississippi State,65
113,Ole Miss,64
114,Auburn,10
115,LSU,54
116,Texas A&M,105
117,Arkansas,7
118,Georgia Southern,36
119,Appalachian State,4
120,Louisiana,51
121,Arkansas State,8
122,Texas State,106
123,South Alabama,94
124,Louisiana-Monroe,52
125,Troy,109
126,New Mexico State,74
127,Idaho,41
128,Georgia State,37
