,school,alias
1,North Carolina State,69
2,Clemson,22
3,Maryland,56
4,Wake Forest,125
5,North Carolina,75
6,Virginia,121
7,Duke,27
8,Oklahoma,81
9,Nebraska,71
10,Oklahoma State,82
11,Missouri,66
12,Colorado,24
13,Iowa State,45
14,Kansas,46
15,Kansas State,47
16,Ohio State,80
17,Purdue,88
18,Michigan,61
19,Indiana,43
20,Iowa,44
21,Michigan State,62
22,Minnesota,63
23,Wisconsin,129
24,Illinois,42
25,Northwestern,77
26,Florida State,33
27,Pitt,87
28,Nevada-Las Vegas,115
29,Temple,102
30,Rutgers,90
31,Tulane,110
32,East Carolina,29
33,Navy,70
34,Notre Dame,78
35,Penn State,86
36,South Carolina,95
37,Colgate,135
38,Southern Mississippi,98
39,Syracuse,100
40,Boston College,14
41,Georgia Tech,38
42,Holy Cross,143
43,Louisville,53
44,Memphis,58
45,Miami (FL),59
46,North Texas,76
47,Villanova,156
48,Virginia Tech,122
49,West Virginia,128
50,Connecticut,26
51,Northwestern State,149
52,William & Mary,161
53,Army,9
54,Illinois State,144
55,Louisiana-Monroe,52
56,Air Force,1
57,Cincinnati,21
58,Richmond,153
59,Yale,162
60,Brown,131
61,Princeton,152
62,Cornell,137
63,Dartmouth,138
64,Harvard,142
65,Columbia,136
66,Pennsylvania,151
67,Central Michigan,18
68,Toledo,108
69,Ball State,11
70,Northern Illinois,68
71,Ohio,79
72,Western Michigan,124
73,Miami (OH),60
74,Bowling Green State,15
75,Eastern Michigan,28
76,Kent State,48
77,West Texas A&M,158
78,Tulsa,111
79,Southern Illinois,154
80,Indiana State,145
81,Drake,139
82,New Mexico State,74
83,Wichita State,160
84,USC,97
85,Washington,126
86,Arizona,5
87,California,19
88,Oregon,84
89,Stanford,99
90,Arizona State,6
91,UCLA,114
92,Washington State,127
93,Oregon State,85
94,Utah State,117
95,San Jose State,92
96,Long Beach State,147
97,Fresno State,34
98,Cal State Fullerton,132
99,Pacific,150
100,Alabama,3
101,Georgia,35
102,Auburn,10
103,LSU,54
104,Tennessee,103
105,Kentucky,49
106,Ole Miss,64
107,Mississippi State,65
108,Florida,32
109,Vanderbilt,120
110,Chattanooga,133
111,Virginia Military Institute,157
112,Citadel,134
113,Furman,163
114,East Tennessee State,140
115,Appalachian State,4
116,Western Carolina,159
117,Marshall,55
118,McNeese State,148
119,Texas-Arlington,155
120,Lamar,146
121,Arkansas State,8
122,Louisiana,51
123,Louisiana Tech,50
124,Houston,40
125,Arkansas,7
126,Texas,104
127,Baylor,12
128,Texas A&M,105
129,SMU,93
130,Texas Tech,107
131,Texas Christian,101
132,Rice,89
133,Brigham Young,17
134,Utah,116
135,San Diego State,91
136,Hawaii,39
137,New Mexico,73
138,Colorado State,25
139,Wyoming,130
140,UTEP,118
