,school,alias
1,Georgia Tech,38
2,Clemson,22
3,Virginia,121
4,Maryland,56
5,North Carolina,75
6,North Carolina State,69
7,Duke,27
8,Wake Forest,125
9,Colorado,24
10,Nebraska,71
11,Oklahoma,81
12,Iowa State,45
13,Kansas,46
14,Kansas State,47
15,Missouri,66
16,Oklahoma State,82
17,Michigan,61
18,Michigan State,62
19,Illinois,42
20,Iowa,44
21,Ohio State,80
22,Minnesota,63
23,Indiana,43
24,Northwestern,77
25,Purdue,88
26,Wisconsin,129
27,San Jose State,92
28,Fresno State,34
29,Utah State,117
30,Long Beach State,147
31,Nevada-Las Vegas,115
32,Pacific,150
33,New Mexico State,74
34,Cal State Fullerton,132
35,Florida State,33
36,Louisville,53
37,Miami (FL),59
38,Louisiana Tech,50
39,Notre Dame,78
40,Penn State,86
41,Southern Mississippi,98
42,Syracuse,100
43,Temple,102
44,Army,9
45,Northern Illinois,68
46,South Carolina,95
47,Virginia Tech,122
48,East Carolina,29
49,Louisiana,51
50,Memphis,58
51,Navy,70
52,Akron,2
53,Arkansas State,8
54,Boston College,14
55,Pitt,87
56,Tulane,110
57,West Virginia,128
58,Rutgers,90
59,Tulsa,111
60,Cincinnati,21
61,Toledo,108
62,Central Michigan,18
63,Ball State,11
64,Western Michigan,124
65,Miami (OH),60
66,Bowling Green State,15
67,Eastern Michigan,28
68,Kent State,48
69,Ohio,79
70,Washington,126
71,USC,97
72,California,19
73,Oregon,84
74,Arizona,5
75,Stanford,99
76,UCLA,114
77,Arizona State,6
78,Washington State,127
79,Oregon State,85
80,Tennessee,103
81,Florida,32
82,Ole Miss,64
83,Alabama,3
84,Auburn,10
85,Kentucky,49
86,LSU,54
87,Georgia,35
88,Mississippi State,65
89,Vanderbilt,120
90,Texas,104
91,Houston,40
92,Texas A&M,105
93,Baylor,12
94,Rice,89
95,Texas Christian,101
96,Texas Tech,107
97,Arkansas,7
98,SMU,93
99,Brigham Young,17
100,Colorado State,25
101,San Diego State,91
102,Wyoming,130
103,Hawaii,39
104,Air Force,1
105,Utah,116
106,UTEP,118
107,New Mexico,73
