,school,alias
1,Clemson,22
2,North Carolina State,69
3,Georgia Tech,38
4,Virginia,121
5,North Carolina,75
6,Maryland,56
7,Duke,27
8,Wake Forest,125
9,Colorado,24
10,Nebraska,71
11,Oklahoma,81
12,Kansas State,47
13,Kansas,46
14,Iowa State,45
15,Missouri,66
16,Oklahoma State,82
17,Miami (FL),59
18,Syracuse,100
19,Virginia Tech,122
20,Pitt,87
21,Rutgers,90
22,West Virginia,128
23,Boston College,14
24,Temple,102
25,Michigan,61
26,Iowa,44
27,Indiana,43
28,Ohio State,80
29,Illinois,42
30,Purdue,88
31,Michigan State,62
32,Wisconsin,129
33,Northwestern,77
34,Minnesota,63
35,Fresno State,34
36,San Jose State,92
37,Utah State,117
38,Pacific,150
39,Nevada-Las Vegas,115
40,Long Beach State,147
41,New Mexico State,74
42,Cal State Fullerton,132
43,East Carolina,29
44,Florida State,33
45,Louisiana Tech,50
46,Penn State,86
47,Tulsa,111
48,Notre Dame,78
49,Akron,2
50,Memphis,58
51,Army,9
52,Cincinnati,21
53,South Carolina,95
54,Southern Mississippi,98
55,Louisiana,51
56,Louisville,53
57,Northern Illinois,68
58,Arkansas State,8
59,Navy,70
60,Tulane,110
61,Bowling Green State,15
62,Central Michigan,18
63,Ball State,11
64,Miami (OH),60
65,Toledo,108
66,Western Michigan,124
67,Eastern Michigan,28
68,Ohio,79
69,Kent State,48
70,Washington,126
71,California,19
72,UCLA,114
73,Stanford,99
74,Arizona State,6
75,Arizona,5
76,Washington State,127
77,USC,97
78,Oregon,84
79,Oregon State,85
80,Florida,32
81,Alabama,3
82,Tennessee,103
83,Georgia,35
84,Mississippi State,65
85,LSU,54
86,Vanderbilt,120
87,Auburn,10
88,Ole Miss,64
89,Kentucky,49
90,Texas A&M,105
91,Baylor,12
92,Arkansas,7
93,Texas Tech,107
94,Texas Christian,101
95,Texas,104
96,Houston,40
97,Rice,89
98,SMU,93
99,Brigham Young,17
100,San Diego State,91
101,Air Force,1
102,Utah,116
103,Wyoming,130
104,Hawaii,39
105,UTEP,118
106,Colorado State,25
107,New Mexico,73
