,school,alias
1,Florida State,33
2,Maryland,56
3,North Carolina State,69
4,Boston College,14
5,Clemson,22
6,Wake Forest,125
7,Virginia Tech,122
8,Miami (FL),59
9,North Carolina,75
10,Georgia Tech,38
11,Virginia,121
12,Duke,27
13,Missouri,66
14,Nebraska,71
15,Kansas State,47
16,Iowa State,45
17,Colorado,24
18,Kansas,46
19,Oklahoma,81
20,Oklahoma State,82
21,Texas A&M,105
22,Baylor,12
23,Texas Tech,107
24,Texas,104
25,Connecticut,26
26,Pitt,87
27,West Virginia,128
28,Syracuse,100
29,South Florida,96
30,Louisville,53
31,Cincinnati,21
32,Rutgers,90
33,Ohio State,80
34,Michigan State,62
35,Wisconsin,129
36,Iowa,44
37,Illinois,42
38,Penn State,86
39,Michigan,61
40,Northwestern,77
41,Purdue,88
42,Minnesota,63
43,Indiana,43
44,UCF,113
45,Southern Mississippi,98
46,East Carolina,29
47,Marshall,55
48,UAB,112
49,Memphis,58
50,Tulsa,111
51,SMU,93
52,Houston,40
53,UTEP,118
54,Rice,89
55,Tulane,110
56,Navy,70
57,Notre Dame,78
58,Army,9
59,Miami (OH),60
60,Ohio,79
61,Temple,102
62,Kent State,48
63,Bowling Green State,15
64,Buffalo,16
65,Akron,2
66,Northern Illinois,68
67,Toledo,108
68,Western Michigan,124
69,Ball State,11
70,Central Michigan,18
71,Eastern Michigan,28
72,Texas Christian,101
73,Utah,116
74,Air Force,1
75,San Diego State,91
76,Brigham Young,17
77,Colorado State,25
78,Nevada-Las Vegas,115
79,Wyoming,130
80,New Mexico,73
81,Oregon,84
82,Stanford,99
83,USC,97
84,Washington,126
85,Arizona,5
86,Arizona State,6
87,Oregon State,85
88,California,19
89,UCLA,114
90,Washington State,127
91,South Carolina,95
92,Florida,32
93,Georgia,35
94,Tennessee,103
95,Kentucky,49
96,Vanderbilt,120
97,Auburn,10
98,LSU,54
99,Arkansas,7
100,Alabama,3
101,Mississippi State,65
102,Ole Miss,64
103,Troy,109
104,Florida International,31
105,Middle Tennessee State,67
106,Louisiana-Monroe,52
107,Arkansas State,8
108,Florida Atlantic,30
109,Louisiana,51
110,North Texas,76
111,Western Kentucky,123
112,Boise State,13
113,Nevada,72
114,Hawaii,39
115,Fresno State,34
116,Louisiana Tech,50
117,Idaho,41
118,Utah State,117
119,New Mexico State,74
120,San Jose State,92
