,school,alias
1,Florida State,33
2,North Carolina State,69
3,North Carolina,75
4,Virginia,121
5,Wake Forest,125
6,Georgia Tech,38
7,Clemson,22
8,Maryland,56
9,Duke,27
10,Nebraska,71
11,Colorado,24
12,Kansas,46
13,Oklahoma,81
14,Oklahoma State,82
15,Kansas State,47
16,Iowa State,45
17,Missouri,66
18,Miami (FL),59
19,Syracuse,100
20,Boston College,14
21,Rutgers,90
22,West Virginia,128
23,Pitt,87
24,Virginia Tech,122
25,Temple,102
26,Michigan,61
27,Ohio State,80
28,Michigan State,62
29,Illinois,42
30,Iowa,44
31,Indiana,43
32,Wisconsin,129
33,Purdue,88
34,Northwestern,77
35,Minnesota,63
36,Nevada,72
37,San Jose State,92
38,Utah State,117
39,Nevada-Las Vegas,115
40,New Mexico State,74
41,Pacific,150
42,Cal State Fullerton,132
43,Notre Dame,78
44,Southern Mississippi,98
45,Memphis,58
46,Penn State,86
47,Army,9
48,East Carolina,29
49,Louisiana Tech,50
50,Louisville,53
51,Northern Illinois,68
52,Tulsa,111
53,Cincinnati,21
54,Arkansas State,8
55,Louisiana,51
56,Tulane,110
57,Navy,70
58,Bowling Green State,15
59,Toledo,108
60,Akron,2
61,Western Michigan,124
62,Miami (OH),60
63,Ball State,11
64,Central Michigan,18
65,Kent State,48
66,Eastern Michigan,28
67,Ohio,79
68,Stanford,99
69,Washington,126
70,Washington State,127
71,USC,97
72,Arizona,5
73,Arizona State,6
74,Oregon,84
75,UCLA,114
76,California,19
77,Oregon State,85
78,Georgia,35
79,Florida,32
80,Tennessee,103
81,South Carolina,95
82,Kentucky,49
83,Vanderbilt,120
84,Alabama,3
85,Ole Miss,64
86,Mississippi State,65
87,Arkansas,7
88,Auburn,10
89,LSU,54
90,Texas A&M,105
91,Baylor,12
92,Rice,89
93,Texas,104
94,Texas Tech,107
95,SMU,93
96,Houston,40
97,Texas Christian,101
98,Hawaii,39
99,Brigham Young,17
100,Fresno State,34
101,San Diego State,91
102,Air Force,1
103,Utah,116
104,Colorado State,25
105,Wyoming,130
106,New Mexico,73
107,UTEP,118
