,school,alias
1,Florida State,33
2,Clemson,22
3,Boston College,14
4,Syracuse,100
5,Maryland,56
6,Wake Forest,125
7,North Carolina State,69
8,Duke,27
9,Miami (FL),59
10,Virginia Tech,122
11,Georgia Tech,38
12,North Carolina,75
13,Pitt,87
14,Virginia,121
15,UCF,113
16,Louisville,53
17,Cincinnati,21
18,Houston,40
19,SMU,93
20,Rutgers,90
21,Connecticut,26
22,South Florida,96
23,Memphis,58
24,Temple,102
25,Baylor,12
26,Oklahoma,81
27,Oklahoma State,82
28,Texas,104
29,Kansas State,47
30,Texas Tech,107
31,Texas Christian,101
32,West Virginia,128
33,Iowa State,45
34,Kansas,46
35,Ohio State,80
36,Wisconsin,129
37,Penn State,86
38,Indiana,43
39,Illinois,42
40,Purdue,88
41,Michigan State,62
42,Iowa,44
43,Nebraska,71
44,Minnesota,63
45,Michigan,61
46,Northwestern,77
47,Marshall,55
48,East Carolina,29
49,Middle Tennessee State,67
50,Florida Atlantic,30
51,UAB,112
52,Florida International,31
53,Southern Mississippi,98
54,Rice,89
55,North Texas,76
56,UTSA,119
57,Tulane,110
58,Louisiana Tech,50
59,Tulsa,111
60,UTEP,118
61,Notre Dame,78
62,New Mexico State,74
63,Navy,70
64,Brigham Young,17
65,Army,9
66,Idaho,41
67,Bowling Green State,15
68,Buffalo,16
69,Ohio,79
70,Akron,2
71,Kent State,48
72,Massachusetts,57
73,Miami (OH),60
74,Northern Illinois,68
75,Ball State,11
76,Central Michigan,18
77,Toledo,108
78,Eastern Michigan,28
79,Western Michigan,124
80,Utah State,117
81,Boise State,13
82,Colorado State,25
83,Wyoming,130
84,New Mexico,73
85,Air Force,1
86,Fresno State,34
87,San Diego State,91
88,Nevada-Las Vegas,115
89,San Jose State,92
90,Nevada,72
91,Hawaii,39
92,Stanford,99
93,Oregon,84
94,Washington,126
95,Oregon State,85
96,Washington State,127
97,California,19
98,Arizona State,6
99,UCLA,114
100,USC,97
101,Arizona,5
102,Utah,116
103,Colorado,24
104,Missouri,66
105,South Carolina,95
106,Georgia,35
107,Vanderbilt,120
108,Florida,32
109,Tennessee,103
110,Kentucky,49
111,Auburn,10
112,Alabama,3
113,LSU,54
114,Texas A&M,105
115,Ole Miss,64
116,Mississippi State,65
117,Arkansas,7
118,Arkansas State,8
119,Louisiana,51
120,Western Kentucky,123
121,Louisiana-Monroe,52
122,South Alabama,94
123,Troy,109
124,Texas State,106
125,Georgia State,37
