,school,alias
1,Florida State,33
2,North Carolina State,69
3,Virginia,121
4,Duke,27
5,North Carolina,75
6,Clemson,22
7,Maryland,56
8,Wake Forest,125
9,Georgia Tech,38
10,Nebraska,71
11,Colorado,24
12,Kansas State,47
13,Oklahoma,81
14,Kansas,46
15,Missouri,66
16,Oklahoma State,82
17,Iowa State,45
18,Miami (FL),59
19,Virginia Tech,122
20,Boston College,14
21,Syracuse,100
22,West Virginia,128
23,Rutgers,90
24,Pitt,87
25,Temple,102
26,Penn State,86
27,Ohio State,80
28,Michigan,61
29,Wisconsin,129
30,Illinois,42
31,Michigan State,62
32,Iowa,44
33,Indiana,43
34,Purdue,88
35,Northwestern,77
36,Minnesota,63
37,Nevada,72
38,Louisiana,51
39,Nevada-Las Vegas,115
40,Pacific,150
41,Northern Illinois,68
42,San Jose State,92
43,Utah State,117
44,New Mexico State,74
45,Louisiana Tech,50
46,Arkansas State,8
47,East Carolina,29
48,Louisville,53
49,Memphis,58
50,Notre Dame,78
51,Southern Mississippi,98
52,Army,9
53,Cincinnati,21
54,Louisiana-Monroe,52
55,Navy,70
56,Tulsa,111
57,Tulane,110
58,Central Michigan,18
59,Bowling Green State,15
60,Western Michigan,124
61,Ball State,11
62,Miami (OH),60
63,Toledo,108
64,Eastern Michigan,28
65,Kent State,48
66,Akron,2
67,Ohio,79
68,Oregon,84
69,USC,97
70,Arizona,5
71,Washington State,127
72,Washington,126
73,UCLA,114
74,California,19
75,Oregon State,85
76,Stanford,99
77,Arizona State,6
78,Florida,32
79,Tennessee,103
80,South Carolina,95
81,Georgia,35
82,Vanderbilt,120
83,Kentucky,49
84,Alabama,3
85,Auburn,10
86,Mississippi State,65
87,LSU,54
88,Arkansas,7
89,Ole Miss,64
90,Texas,104
91,Baylor,12
92,Texas Christian,101
93,Texas Tech,107
94,Rice,89
95,Texas A&M,105
96,Houston,40
97,SMU,93
98,Colorado State,25
99,Utah,116
100,Brigham Young,17
101,Air Force,1
102,Wyoming,130
103,New Mexico,73
104,Fresno State,34
105,San Diego State,91
106,UTEP,118
107,Hawaii,39
