,school,alias
1,Clemson,22
2,North Carolina State,69
3,North Carolina,75
4,Georgia Tech,38
5,Maryland,56
6,Wake Forest,125
7,Duke,27
8,Virginia,121
9,Oklahoma,81
10,Colorado,24
11,Nebraska,71
12,Oklahoma State,82
13,Iowa State,45
14,Missouri,66
15,Kansas State,47
16,Kansas,46
17,Michigan,61
18,Ohio State,80
19,Iowa,44
20,Minnesota,63
21,Michigan State,62
22,Indiana,43
23,Illinois,42
24,Northwestern,77
25,Purdue,88
26,Wisconsin,129
27,Penn State,86
28,Miami (FL),59
29,Boston College,14
30,Virginia Tech,122
31,Florida State,33
32,Tulsa,111
33,Army,9
34,Louisiana,51
35,Pitt,87
36,Rutgers,90
37,Southern Mississippi,98
38,Temple,102
39,Cincinnati,21
40,Notre Dame,78
41,Syracuse,100
42,South Carolina,95
43,Tulane,110
44,West Virginia,128
45,Louisville,53
46,Navy,70
47,Wichita State,160
48,East Carolina,29
49,Northern Illinois,68
50,Memphis,58
51,Miami (OH),60
52,Toledo,108
53,Bowling Green State,15
54,Kent State,48
55,Ball State,11
56,Central Michigan,18
57,Eastern Michigan,28
58,Western Michigan,124
59,Ohio,79
60,Arizona State,6
61,Arizona,5
62,UCLA,114
63,Washington,126
64,Stanford,99
65,USC,97
66,Oregon,84
67,Washington State,127
68,California,19
69,Oregon State,85
70,San Jose State,92
71,Fresno State,34
72,Long Beach State,147
73,Nevada-Las Vegas,115
74,Utah State,117
75,Pacific,150
76,Cal State Fullerton,132
77,New Mexico State,74
78,LSU,54
79,Auburn,10
80,Alabama,3
81,Ole Miss,64
82,Georgia,35
83,Tennessee,103
84,Florida,32
85,Kentucky,49
86,Mississippi State,65
87,Vanderbilt,120
88,Texas A&M,105
89,Arkansas,7
90,Baylor,12
91,SMU,93
92,Texas Tech,107
93,Texas,104
94,Rice,89
95,Texas Christian,101
96,Houston,40
97,San Diego State,91
98,Brigham Young,17
99,Air Force,1
100,Colorado State,25
101,Hawaii,39
102,Wyoming,130
103,New Mexico,73
104,UTEP,118
105,Utah,116
