,school,alias
1,Florida State,33
2,Boston College,14
3,Clemson,22
4,North Carolina State,69
5,Maryland,56
6,Wake Forest,125
7,Virginia Tech,122
8,Miami (FL),59
9,Georgia Tech,38
10,North Carolina,75
11,Virginia,121
12,Duke,27
13,Colorado,24
14,Nebraska,71
15,Iowa State,45
16,Missouri,66
17,Kansas,46
18,Kansas State,47
19,Texas,104
20,Texas Tech,107
21,Oklahoma,81
22,Texas A&M,105
23,Baylor,12
24,Oklahoma State,82
25,West Virginia,128
26,Louisville,53
27,Rutgers,90
28,South Florida,96
29,Pitt,87
30,Connecticut,26
31,Cincinnati,21
32,Syracuse,100
33,Penn State,86
34,Ohio State,80
35,Wisconsin,129
36,Iowa,44
37,Michigan,61
38,Northwestern,77
39,Minnesota,63
40,Purdue,88
41,Michigan State,62
42,Indiana,43
43,Illinois,42
44,UCF,113
45,Memphis,58
46,Southern Mississippi,98
47,East Carolina,29
48,UAB,112
49,Marshall,55
50,Tulsa,111
51,UTEP,118
52,Houston,40
53,SMU,93
54,Tulane,110
55,Rice,89
56,Notre Dame,78
57,Navy,70
58,Army,9
59,Temple,102
60,Akron,2
61,Miami (OH),60
62,Bowling Green State,15
63,Ohio,79
64,Buffalo,16
65,Kent State,48
66,Toledo,108
67,Northern Illinois,68
68,Western Michigan,124
69,Central Michigan,18
70,Ball State,11
71,Eastern Michigan,28
72,Texas Christian,101
73,Brigham Young,17
74,Colorado State,25
75,New Mexico,73
76,Utah,116
77,San Diego State,91
78,Air Force,1
79,Wyoming,130
80,Nevada-Las Vegas,115
81,USC,97
82,Oregon,84
83,UCLA,114
84,California,19
85,Arizona State,6
86,Stanford,99
87,Oregon State,85
88,Arizona,5
89,Washington State,127
90,Washington,126
91,Georgia,35
92,Florida,32
93,South Carolina,95
94,Tennessee,103
95,Vanderbilt,120
96,Kentucky,49
97,LSU,54
98,Auburn,10
99,Alabama,3
100,Arkansas,7
101,Mississippi State,65
102,Ole Miss,64
103,Arkansas State,8
104,Louisiana,51
105,Louisiana-Monroe,52
106,Florida International,31
107,Middle Tennessee State,67
108,Troy,109
109,Florida Atlantic,30
110,North Texas,76
111,Nevada,72
112,Boise State,13
113,Fresno State,34
114,Louisiana Tech,50
115,Hawaii,39
116,San Jose State,92
117,Utah State,117
118,Idaho,41
119,New Mexico State,74
