,W,W Pts,L,L Pts,Hash
0,19,51,39,31,19051039031
1,43,34,31,13,43034031013
2,53,70,20,14,53070020014
3,63,30,85,23,63030085023
4,95,13,120,10,95013120010
5,103,20,4,13,103020004013
6,125,7,110,3,125007110003
7,123,46,89,14,123046089014
8,9,28,102,13,9028102013
9,11,31,37,21,11031037021
10,24,44,25,7,24044025007
11,99,26,47,13,99026047013
12,108,31,8,10,108031008010
13,3,52,97,6,3052097006
14,7,21,50,20,7021050020
15,13,45,51,10,13045051010
16,17,18,5,16,17018005016
17,22,19,10,13,22019010013
18,32,24,57,7,32024057007
19,35,33,75,24,35033075024
20,38,17,14,14,38017014014
21,40,33,81,23,40033081023
22,44,45,60,21,44045060021
23,61,63,39,3,61063039003
24,71,43,34,10,71043034010
25,80,77,15,10,80077015010
26,86,33,48,13,86033048013
27,94,21,65,20,94021065020
28,93,34,76,21,93034076021
29,98,44,49,35,98044049035
30,105,31,114,24,105031114024
31,106,56,79,54,106056079054
32,118,38,74,22,118038074022
33,111,45,92,10,111045092010
34,126,48,90,13,126048090013
35,128,26,66,11,128026066011
36,124,22,77,21,124022077021
37,129,16,54,14,129016054014
38,130,40,68,34,130040068034
39,104,50,78,47,104050078047
40,33,45,64,34,33045064034
41,53,62,100,28,53062100028
42,56,41,31,14,56041031014
43,1,48,37,14,1048037014
44,3,38,123,10,3038123010
45,4,31,83,7,4031083007
46,6,68,107,55,6068107055
47,7,41,101,38,7041101038
48,9,31,89,14,9031089014
49,10,51,8,14,10051008014
50,12,40,93,13,12040093013
51,13,31,127,28,13031127028
52,14,26,57,7,14026057007
53,18,30,82,27,18030082027
54,21,38,88,20,21038088020
55,22,30,109,24,22030109024
56,25,23,119,14,25023119014
57,29,33,69,30,29033069030
58,32,45,49,7,32045049007
59,36,24,94,9,36024094009
60,43,30,11,20,43030011020
61,44,42,45,3,44042045003
62,59,38,30,10,59038030010
63,61,51,113,14,61051113014
64,65,27,95,14,65027095014
65,66,61,28,21,66061028021
66,70,28,26,24,70028026024
67,71,52,130,17,71052130017
68,74,32,73,31,74032073031
69,75,48,42,23,75048042023
70,78,39,72,10,78039072010
71,79,37,46,21,79037046021
72,80,48,111,3,80048111003
73,81,59,52,17,81059052017
74,84,44,121,26,84044121026
75,87,42,86,39,87042086039
76,91,45,19,40,91045019040
77,96,48,68,17,96048068017
78,97,45,117,7,97045117007
79,103,45,122,24,103045122024
80,104,41,118,7,104041118007
81,114,42,115,21,114042115021
82,116,20,17,19,116020017019
83,120,47,67,24,120047067024
84,125,24,27,14,125024027014
85,126,59,41,14,126059041014
86,129,54,2,10,129054002010
87,40,40,21,16,40040021016
88,6,32,119,28,6032119028
89,12,38,89,10,12038089010
90,117,34,8,20,117034008020
91,2,65,55,38,2065055038
92,3,48,64,43,3048064043
93,5,47,39,28,5047039028
94,7,42,106,3,7042106003
95,9,66,118,14,9066118014
96,19,50,104,43,19050104043
97,18,44,115,21,18044115021
98,26,13,121,10,26013121010
99,28,37,20,19,28037020019
100,32,32,76,0,32032076000
101,35,28,66,27,35028066027
102,36,23,52,21,36023052021
103,38,38,120,7,38038120007
104,47,63,30,7,47063030007
105,49,62,74,42,49062074042
106,51,28,94,23,51028094023
107,54,23,65,20,54023065020
108,53,63,33,20,53063033020
109,56,30,113,24,56030113024
110,57,21,31,13,57021031013
111,58,43,46,7,58043046007
112,59,45,4,10,59045004010
113,61,45,24,28,61045024028
114,62,36,78,28,62036078028
115,67,41,15,21,67041015021
116,70,21,110,14,70021110014
117,71,35,84,32,71035084032
118,72,38,16,14,72038016014
119,69,49,83,22,69049083022
120,77,24,27,13,77024027013
121,80,45,81,24,80045081024
122,82,45,87,38,82045087038
123,86,34,102,27,86034102027
124,90,37,73,28,90037073028
125,91,42,68,28,91042068028
126,95,20,29,15,95020029015
