,W,W Pts,L,L Pts,Hash
0,5,42,119,32,5042119032
1,27,37,110,7,27037110007
2,31,15,113,14,31015113014
3,39,28,24,20,39028024020
4,79,45,41,28,79045041028
5,82,24,18,13,82024018013
6,95,17,75,13,95017075013
7,101,23,63,17,101023063017
8,116,24,61,17,116024061017
9,123,14,120,12,123014120012
10,12,56,93,21,12056093021
11,13,16,126,13,13016126013
12,20,23,37,20,20023037020
13,62,37,124,24,62037124024
14,3,35,129,17,3035129017
15,7,48,118,13,7048118013
16,10,31,53,24,10031053024
17,17,33,71,28,17033071028
18,32,61,74,13,32061074013
19,33,59,106,16,33059106016
20,35,51,52,14,35051052014
21,42,52,48,3,42052048003
22,49,40,51,33,49040051033
23,65,34,98,16,65034098016
24,69,49,109,21,69049109021
25,68,38,115,30,68038115030
26,77,16,99,6,77016099006
27,78,38,104,3,78038104003
28,81,41,2,3,81041002003
29,83,38,28,34,83038028034
30,97,55,8,6,97055008006
31,102,27,86,10,102027086010
32,103,59,15,30,103059015030
33,105,38,6,17,105038006017
34,111,47,30,44,111047030044
35,114,34,121,16,114034121016
36,128,44,36,0,128044036000
37,55,41,88,31,55041088031
38,80,42,122,24,80042122024
39,123,41,50,38,123041050038
40,59,44,30,20,59044030020
41,116,24,117,14,116024117014
42,1,37,92,16,1037092016
43,3,37,67,10,3037067010
44,5,44,72,20,5044072020
45,15,48,56,27,15048056027
46,17,35,13,24,17035013024
47,19,35,91,7,19035091007
48,22,41,4,10,22041004010
49,24,48,57,14,24048057014
50,26,22,9,17,26022009017
51,28,48,130,29,28048130029
52,32,31,29,24,32031029024
53,33,34,96,14,33034096014
54,35,31,120,14,35031120014
55,36,43,124,17,36043124017
56,37,34,74,32,37034074032
57,38,65,110,10,38065110010
58,40,34,53,31,40034053031
59,43,36,31,22,43036031022
60,44,31,45,17,44031045017
61,47,30,119,3,47030119003
62,49,26,95,22,49026095022
63,54,21,65,19,54021065019
64,58,55,46,23,58055046023
65,61,35,85,7,61035085007
66,62,31,84,28,62031084028
67,63,23,25,20,63023025020
68,64,73,34,21,64073034021
69,66,27,8,20,66027008020
70,71,48,94,9,71048094009
71,78,34,121,27,78034121027
72,79,21,55,10,79021055010
73,80,38,39,0,80038039000
74,81,31,103,24,81031103024
75,86,27,16,14,86027016014
76,87,24,2,7,87024002007
77,97,59,41,9,97059041009
78,93,31,76,13,93031076013
79,99,31,113,7,99031113007
80,100,30,125,17,100030125017
81,102,34,21,26,102034021026
82,104,42,89,28,104042089028
83,105,56,11,23,105056011023
84,107,69,118,20,107069118020
85,108,16,7,12,108016007012
86,111,40,73,21,111040073021
87,114,37,115,3,114037115003
88,127,37,90,34,127037090034
89,129,58,60,0,129058060000
90,22,20,53,17,22020053017
91,6,34,73,10,6034073010
92,33,14,14,0,33014014000
93,11,28,28,17,11028028017
94,16,33,30,15,16033030015
95,19,45,104,44,19045104044
96,21,37,60,33,21037060033
97,24,27,25,24,24027025024
98,32,14,49,9,32014049009
99,35,52,95,20,35052095020
100,43,38,123,35,43038123035
101,44,27,87,24,44027087024
102,47,39,50,33,47039050033
103,54,45,10,21,54045010021
104,56,35,96,17,56035096017
105,58,44,15,41,58044015041
106,59,36,71,33,59036071033
107,61,28,115,7,61028115007
108,62,35,1,21,62035001021
109,67,73,20,14,67073020014
110,63,10,48,7,63010048007
111,64,43,3,37,64043003037
112,66,9,26,6,66009026006
113,70,45,29,21,70045029021
114,75,48,42,14,75048042014
115,69,38,83,14,69038083014
116,77,19,27,10,77019027010
117,78,30,38,22,78030038022
118,80,20,68,13,80020068013
119,81,52,111,38,81052111038
120,82,69,119,14,82069119014
121,84,61,37,28,84061037028
122,85,35,92,21,85035092021
123,86,28,90,3,86028090003
124,89,38,76,24,89038076024
125,94,34,91,27,94034091027
126,98,56,106,50,98056106050
127,99,41,97,31,99041097031
128,100,30,18,27,100030018027
129,102,25,57,23,102025057023
130,105,44,72,27,105044072027
131,101,56,93,37,101056093037
132,107,35,7,24,107035007024
133,118,50,74,47,118050074047
134,108,30,45,23,108030045023
135,114,24,17,23,114024017023
136,116,45,34,24,116045034024
137,122,51,88,24,122051088024
138,125,17,9,14,125017009014
139,126,31,117,17,126031117017
140,127,31,130,14,127031130014
141,129,28,109,3,129028109003
142,58,53,21,46,58053021046
143,13,56,121,14,13056121014
144,99,42,85,24,99042085024
145,2,35,51,14,2035051014
146,3,34,52,0,3034052000
147,4,49,83,0,4049083000
148,9,58,28,36,9058028036
149,12,70,89,17,12070089017
150,14,17,68,14,14017068014
151,15,35,88,28,15035088028
152,19,30,126,24,19030126024
153,25,33,119,31,25033119031
154,27,34,38,20,27034038020
155,29,35,122,28,29035122028
156,32,28,103,27,32028103027
157,30,17,20,7,30017020007
158,36,44,41,20,36044041020
159,40,59,106,14,40059106014
160,42,27,67,25,42027067025
161,43,31,125,24,43031125024
162,44,62,76,16,44062076016
163,49,21,66,13,49021066013
164,54,34,100,24,54034100024
165,50,27,31,17,50027031017
166,55,36,48,29,55036048029
167,61,31,17,0,61031017000
168,62,30,18,10,62030018010
169,63,27,79,24,63027079024
170,64,27,120,16,64027120016
171,65,17,10,9,65017010009
172,70,28,26,18,70028026018
173,71,36,98,28,71036098028
174,72,24,16,21,72024016021
175,73,38,130,28,73038130028
176,69,63,94,13,69063094013
177,77,24,11,19,77024011019
178,78,62,57,27,78062057027
179,80,38,124,12,80038124012
180,82,30,104,27,82030104027
181,86,37,91,21,86037091021
182,90,27,46,14,90027046014
183,92,49,34,23,92049034023
184,95,31,113,14,95031113014
185,97,42,6,14,97042006014
186,105,28,7,21,105028007021
187,101,55,107,52,101055107052
188,108,37,8,7,108037008007
