,W,W Pts,L,L Pts,Hash
189,114,56,5,30,114056005030
190,116,62,84,20,116062084020
191,128,45,56,6,128045056006
192,123,56,60,14,123056060014
193,129,28,39,0,129028039000
194,21,34,59,23,21034059023
195,17,30,26,13,17030026013
196,58,24,96,17,58024096017
197,102,37,20,3,102037020003
198,3,38,35,10,3038035010
199,4,31,130,13,4031130013
200,6,38,114,23,6038114023
201,7,24,103,20,7024103020
202,8,49,41,35,8049041035
203,10,35,92,21,10035092021
204,12,63,107,35,12063107035
205,13,55,39,0,13055039000
206,15,28,16,22,15028016022
207,19,34,127,28,19034127028
208,18,29,68,19,18029068019
209,22,24,78,22,22024078022
210,27,9,14,7,27009014007
211,29,49,93,23,29049093023
212,32,38,64,10,32038064010
213,33,24,125,16,33024125016
214,36,51,52,31,36051052031
215,40,38,111,24,40038111024
216,42,14,71,13,42014071013
217,44,10,129,6,44010129006
218,45,38,46,13,45038046013
219,48,20,60,14,48020060014
220,54,44,28,22,54044028022
221,50,43,51,14,50043051014
222,53,20,69,13,53020069013
223,55,27,83,7,55027083007
224,57,24,31,14,57024031014
225,61,28,56,0,61028056000
226,62,24,88,21,62024088021
227,66,24,95,10,66024095010
228,70,33,1,11,70033001011
229,115,23,72,17,115023072017
230,73,38,74,29,73038074029
231,75,38,38,31,75038038031
232,77,27,63,0,77027063000
233,79,14,2,12,79014002012
234,80,34,43,27,80034043027
235,81,44,128,24,81044128024
236,82,36,47,34,82036047034
237,84,41,24,24,84041024024
238,86,20,9,14,86020009014
239,87,17,122,13,87017122013
240,91,21,34,7,91021034007
241,94,24,109,18,94024109018
242,98,49,76,14,98049076014
243,99,55,5,17,99055005017
244,105,30,65,17,105030065017
245,101,50,104,7,101050104007
246,119,25,118,6,119025118006
247,108,24,11,10,108024011010
248,110,45,113,31,110045113031
249,117,33,25,18,117033025018
250,120,17,67,13,120017067013
251,123,49,89,10,123049089010
252,40,49,93,28,40049093028
253,126,17,97,12,126017097012
254,55,31,98,10,55031098010
255,122,28,69,13,122028069013
256,1,31,130,17,1031130017
257,2,47,28,21,2047028021
258,3,27,7,14,3027007014
259,4,37,37,3,4037037003
260,5,44,85,7,5044085007
261,6,48,24,23,6048024023
262,12,66,46,7,12066046007
263,13,41,25,10,13041025010
264,15,62,57,38,15062057038
265,17,45,29,38,17045029038
266,22,43,38,24,22043038024
267,26,40,113,13,26040113013
268,27,44,9,3,27044009003
269,32,21,66,3,32021066003
270,31,52,118,12,31052118012
271,33,29,59,24,33029059024
272,44,29,42,20,44029042020
273,51,49,106,27,51049106027
274,54,45,95,24,54045095024
275,50,34,119,31,50034119031
276,61,38,77,0,61038077000
277,62,31,90,24,62031090024
278,63,41,88,13,63041088013
279,64,52,74,3,64052074003
280,65,45,109,17,65045109017
281,72,35,73,17,72035073017
282,68,59,11,41,68059011041
283,78,41,70,24,78041070024
284,79,34,60,3,79034060003
285,80,49,56,28,80049056028
286,82,33,128,26,82033128026
287,86,29,43,7,86029043007
288,87,26,121,19,87026121019
289,89,27,30,26,89027030026
290,91,28,39,14,91028039014
291,92,33,115,27,92033115027
292,96,45,100,24,96045100024
293,102,49,110,10,102049110010
294,103,38,35,31,103038035031
295,104,24,81,17,104024081017
296,101,52,47,45,101052047045
297,107,66,45,31,107066045031
298,108,38,48,7,108038048007
299,111,34,52,24,111034052024
300,116,30,19,24,116030019024
301,117,56,34,14,117056034014
302,125,3,14,0,125003014000
303,127,45,84,38,127045084038
304,123,58,67,28,123058067028
305,124,41,18,39,124041018039
306,129,23,71,21,129023071021
307,8,49,94,31,8049094031
308,10,30,49,27,10030049027
309,99,56,114,35,99056114035
310,123,55,76,28,123055076028
311,17,38,21,24,17038021024
312,34,31,115,28,34031115028
313,40,42,110,7,40042110007
314,117,52,13,26,117052013026
315,3,41,105,23,3041105023
316,4,59,52,14,4059052014
317,5,38,24,31,5038024031
318,12,62,128,38,12062128038
319,15,59,2,10,15059002010
320,18,51,16,14,18051016014
321,22,34,14,17,22034014017
322,25,38,1,23,25038001023
323,29,30,111,17,29030111017
324,33,41,53,21,33041053021
325,35,9,66,6,35009066006
326,36,56,74,26,36056074026
327,37,31,11,19,37031011019
328,41,19,109,16,41019109016
329,44,40,77,10,44040077010
330,48,15,57,10,48015057010
331,54,35,32,28,54035032028
332,55,33,30,17,55033030017
333,58,37,64,24,58037064024
334,59,30,122,20,59030122020
335,62,27,61,23,62027061023
336,67,42,31,34,67042031034
337,65,45,50,20,65045050020
338,71,48,63,25,71048063025
339,73,28,39,27,73028039027
340,75,50,125,14,75050125014
341,68,45,60,12,68045060012
342,78,41,97,31,78041097031
343,80,38,86,10,80038086010
344,81,55,47,0,81055047000
345,83,37,20,34,83037020034
346,84,26,126,20,84026126020
347,87,31,38,28,87031038028
348,90,55,43,52,90055043052
349,91,30,92,7,91030092007
350,95,19,120,10,95019120010
351,96,28,26,20,96028026020
352,98,32,119,10,98032119010
353,102,30,113,16,102030113016
354,101,45,45,21,101045045021
355,107,30,46,20,107030046020
356,108,63,28,20,108063028020
357,116,34,6,18,116034006018
358,121,44,100,38,121044100038
359,127,52,85,31,127052085031
360,124,49,79,14,124049079014
361,129,24,88,7,129024088007
362,130,28,72,21,130028072021
363,8,37,51,27,8037051027
364,4,31,36,13,4031036013
365,102,24,29,14,102024029014
366,114,40,19,24,114040019024
367,58,66,111,42,58066111042
368,91,48,117,14,91048117014
369,1,42,34,14,1042034014
370,3,19,103,14,3019103014
371,7,54,10,46,7054010046
372,12,45,45,27,12045045027
373,13,34,130,14,13034130014
374,15,48,48,0,15048048000
375,16,41,79,17,16041079017
376,18,23,11,21,18023011021
377,21,37,26,13,21037026013
378,22,58,59,0,22058059000
379,24,17,85,13,24017085013
380,27,45,122,43,27045122043
381,31,41,83,12,31041083012
382,38,22,33,16,38022033016
383,40,59,113,10,40059113010
384,41,27,52,13,41027052013
385,54,48,123,20,54048123020
386,50,45,67,16,50045067016
387,53,17,14,14,53017014014
388,55,30,76,13,55030076013
389,62,52,43,26,62052043026
390,64,23,105,3,64023105003
391,65,42,49,16,65042049016
392,70,31,110,14,70031110014
393,72,30,39,20,72030039020
394,75,26,121,13,75026121013
395,69,35,125,17,69035125017
396,68,49,28,21,68049028021
397,77,30,71,28,77030071028
398,80,49,90,7,80049090007
399,81,63,107,27,81063107027
400,82,58,46,10,82058046010
401,86,31,56,30,86031056030
402,87,23,100,20,87023100020
403,89,38,9,31,89038009031
404,92,31,73,21,92031073021
405,96,38,93,14,96038093014
406,97,42,116,24,97042116024
407,98,44,20,10,98044020010
408,99,31,126,14,99031126014
409,104,23,47,9,104023047009
410,106,36,94,18,106036094018
411,118,27,30,17,118027030017
412,108,51,57,35,108051057035
413,109,52,74,7,109052074007
414,120,10,66,3,120010066003
415,127,45,5,42,127045005042
416,124,35,60,13,124035060013
417,129,24,42,13,129024042013
418,16,29,60,24,16029060024
419,36,37,106,13,36037106013
420,75,26,87,19,75026087019
421,84,61,6,55,84061006055
422,101,40,128,10,101040128010
423,124,58,28,28,124058028028
424,26,31,29,13,26031029013
425,50,42,89,17,50042089017
426,53,20,125,19,53020125019
427,117,58,130,27,117058130027
428,1,58,39,7,1058039007
429,4,44,109,41,4044109041
430,8,48,37,34,8048037034
431,11,20,57,10,11020057010
432,13,55,115,27,13055115027
433,18,14,2,6,18014002006
434,21,52,113,7,21052113007
435,22,56,69,41,22056069041
436,32,27,35,3,32027035003
437,30,31,31,17,30031031017
438,33,45,100,21,33045100021
439,40,34,120,0,40034120000
440,44,31,56,15,44031056015
441,45,24,104,0,45024104000
442,51,30,52,24,51030052024
443,55,34,20,10,55034020010
444,58,41,110,13,58041110013
445,59,30,27,27,59030027027
446,61,29,63,26,61029063026
447,64,27,10,19,64027010019
448,70,29,96,17,70029096017
449,74,55,41,48,74055041048
450,76,30,119,23,76030119023
451,78,24,102,20,78024102020
452,81,62,46,7,81062046007
453,82,70,107,53,82070107053
454,86,39,42,0,86039042000
455,88,55,71,45,88055071045
456,91,41,25,17,91041025017
457,97,27,19,21,97027019021
458,98,34,118,13,98034118013
459,99,30,127,28,99030127028
460,103,52,49,21,103052049021
461,105,35,95,28,105035095028
462,111,40,93,31,111040093031
463,114,35,24,31,114035024031
464,116,27,85,12,116027085012
465,121,27,38,21,121027038021
466,122,26,14,10,122026014010
467,126,49,5,3,126049005003
468,123,55,83,30,123055083030
469,129,48,90,10,129048090010
470,68,32,108,27,68032108027
471,15,62,79,24,15062079024
472,8,40,4,27,8040004027
473,12,31,47,24,12031047024
474,16,18,48,17,16018048017
475,65,31,66,13,65031066013
476,72,30,34,16,72030034016
477,124,54,11,7,124054011007
478,17,17,92,16,17017092016
479,102,60,93,40,102060093040
480,118,24,89,21,118024089021
481,1,20,9,3,1020009003
482,2,17,57,13,2017057013
483,3,30,54,16,3030054016
484,7,53,64,52,7053064052
485,10,26,105,10,10026105010
486,22,23,33,13,22023033013
487,25,26,130,7,25026130007
488,26,7,110,3,26007110003
489,32,9,120,7,32009120007
490,31,48,20,31,31048020031
491,35,27,49,3,35027049003
492,40,33,21,30,40033021030
493,42,48,88,14,42048088014
494,44,35,43,27,44035043027
495,51,23,37,21,51023037021
496,50,56,76,13,50056076013
497,53,41,100,17,53041100017
498,59,27,121,21,59027121021
499,60,28,28,13,60028028013
500,61,49,90,16,61049090016
501,67,27,55,24,67027055024
502,70,45,58,20,70045058020
503,71,39,62,38,71039062038
504,115,41,39,21,115041039021
505,73,14,117,13,73014117013
506,74,31,106,21,74031106021
507,75,66,27,31,75066027031
508,69,24,14,8,69024014008
509,77,23,86,21,77023086021
510,78,42,87,30,78042087030
511,80,28,63,14,80028063014
512,81,52,45,16,81052045016
513,82,49,101,29,82049101029
514,83,36,119,31,83036119031
515,84,44,19,28,84044019028
516,94,52,41,45,94052041045
517,96,22,29,17,96022029017
518,97,38,5,30,97038005030
519,99,42,24,10,99042024010
520,103,27,95,24,103027095024
521,104,59,46,20,104059046020
522,109,51,52,14,109051052014
523,111,45,113,30,111045113030
524,114,41,85,0,114041085000
525,116,34,126,23,116034126023
526,127,38,6,24,127038006024
527,128,31,107,26,128031107026
528,123,35,30,19,123035030019
529,129,31,56,24,129031056024
530,79,27,48,0,79027048000
531,108,28,18,23,108028018023
532,15,41,124,27,15041124027
533,68,41,16,30,68041016030
534,94,32,51,25,94032051025
535,122,23,38,21,122023038021
536,97,27,24,24,97027024024
537,1,35,117,28,1035117028
538,2,37,60,28,2037060028
539,3,31,65,6,3031065006
540,4,47,41,20,4047041020
541,5,37,116,30,5037116030
542,6,27,126,17,6027126017
543,7,31,54,14,7031054014
544,8,59,52,21,8059052021
545,19,54,85,24,19054085024
546,21,49,111,38,21049111038
547,22,37,100,27,22037100027
548,25,49,115,35,25049115035
549,32,24,95,14,32024095014
550,33,34,69,17,33034069017
551,34,42,39,14,34042039014
552,35,20,10,13,35020010013
553,36,45,109,10,36045109010
554,37,41,106,19,37041106019
555,40,35,58,34,40035058034
556,44,40,63,35,44040063035
557,53,38,121,31,53038121031
558,55,52,31,0,55052031000
559,57,28,28,17,57028028017
560,61,48,43,41,61048043041
561,62,24,56,7,62024056007
562,67,24,30,17,67024030017
563,66,20,17,16,66020017016
564,70,55,93,14,70055093014
565,71,31,90,14,71031090014
566,72,37,92,34,72037092034
567,73,31,13,24,73031013024
568,75,59,59,21,75059059021
569,77,21,88,14,77021088014
570,78,28,125,7,78028125007
571,80,28,42,3,80028042003
572,81,44,12,34,81044012034
573,82,35,45,31,82035045031
574,83,31,118,21,83031118021
575,84,38,99,36,84038099036
576,87,31,27,13,87031027013
577,91,38,130,3,91038130003
578,96,44,102,23,96044102023
579,98,65,89,10,98065089010
580,103,24,76,0,103024076000
581,101,23,46,17,101023046017
582,107,59,47,44,107059047044
583,119,30,20,27,119030020027
584,110,34,9,31,110034009031
585,120,21,49,17,120021049017
586,127,31,114,27,127031114027
587,128,38,104,20,128038104020
588,79,48,11,31,79048011031
589,108,44,15,28,108044015028
590,18,27,48,14,18027048014
591,68,27,124,19,68027124019
592,29,44,113,7,29044113007
593,106,16,52,3,106016052003
594,1,37,13,30,1037013030
595,96,65,21,27,96065021027
596,2,42,16,21,2042016021
597,6,52,5,37,6052005037
598,10,56,41,34,10056041034
599,12,45,82,35,12045082035
600,17,52,34,10,17052034010
601,22,33,125,13,22033125013
602,25,28,73,21,25028073021
603,26,20,40,17,26020040017
604,32,20,30,14,32020030014
605,35,23,36,17,35023036017
606,37,24,94,10,37024094010
607,43,47,56,28,43047056028
608,44,40,88,20,44040088020
609,47,38,45,35,47038045035
610,49,58,20,10,49058020010
611,50,17,118,15,50017118015
612,59,38,38,21,59038038021
613,60,20,57,13,60020057013
614,61,28,86,16,61028086016
615,62,17,80,14,62017080014
616,67,41,76,7,67041076007
617,63,32,42,23,63032042023
618,64,38,54,17,64038054017
619,65,51,7,50,65051007050
620,70,44,111,21,70044111021
621,74,37,51,34,74037051034
622,75,30,122,27,75030122027
623,69,42,100,29,69042100029
624,77,13,129,7,77013129007
625,78,19,14,16,78019014016
626,81,30,101,29,81030101029
627,84,48,97,28,84048097028
628,87,45,53,34,87045053034
629,90,31,9,21,90031009021
630,91,52,115,14,91052115014
631,92,42,39,23,92042039023
632,93,49,110,21,93049110021
633,98,56,83,31,98056083031
634,99,35,19,22,99035019022
635,102,31,58,12,102031058012
636,103,19,66,8,103019066008
637,105,25,120,0,105025120000
638,119,34,89,24,119034089024
639,114,17,116,9,114017116009
640,117,31,72,27,117031072027
641,121,42,27,34,121042027034
642,126,52,85,7,126052085007
643,127,27,24,3,127027024003
644,128,49,46,0,128049046000
645,123,63,31,7,123063031007
646,15,48,11,10,15048011010
647,79,26,68,21,79026068021
648,96,44,113,3,96044113003
649,107,48,104,45,107048104045
650,2,20,48,0,2020048000
651,7,28,66,3,7028066003
652,13,40,92,23,13040092023
653,18,35,28,28,18035028028
654,37,31,109,21,37031109021
655,40,52,70,31,40052070031
656,44,28,71,20,44028071020
657,57,31,16,26,57031016026
658,59,29,87,24,59029087024
659,84,52,85,42,84052085042
660,101,28,12,21,101028012021
661,111,45,110,34,111045110034
662,126,45,127,10,126045127010
663,123,49,55,28,123049055028
664,124,35,108,30,124035108030
665,3,29,10,13,3029010013
666,4,28,51,7,4028051007
667,8,52,74,28,8052074028
668,17,51,117,28,17051117028
669,19,48,6,46,19048006046
670,21,19,29,16,21019029016
671,22,37,95,32,22037095032
672,25,34,34,31,25034034031
673,27,27,125,21,27027125021
674,30,33,83,31,30033083031
675,33,27,32,2,33027032002
676,35,13,38,7,35013038007
677,36,55,94,17,36055094017
678,39,28,52,26,39028052026
679,41,38,106,31,41038106031
680,43,54,88,36,43054088036
681,47,45,46,14,47045046014
682,54,19,105,7,54019105007
683,53,38,49,24,53038049024
684,56,46,90,41,56046090041
685,58,63,93,0,58063093000
686,62,55,86,16,62055086016
687,67,42,119,7,67042119007
688,64,38,65,27,64038065027
689,73,47,1,35,73047001035
690,75,45,69,34,75045069034
691,77,24,42,14,77024042014
692,80,42,61,13,80042061013
693,81,58,82,23,81058082023
694,89,27,20,7,89027020007
695,91,31,72,14,91031072014
696,97,40,114,21,97040114021
697,98,58,50,24,98058050024
698,99,38,78,36,99038078036
699,100,20,14,17,100020014017
700,102,27,26,3,102027026003
701,103,53,120,28,103053120028
702,118,20,76,17,118020076017
703,116,20,24,14,116020024014
704,122,23,121,20,122023121020
705,128,30,45,6,128030045006
706,129,31,63,21,129031063021
707,130,35,115,28,130035115028
708,15,34,68,14,15034068014
709,3,29,32,15,3029032015
710,4,34,94,27,4034094027
711,8,55,106,17,8055106017
712,22,45,75,37,22045075037
713,37,34,36,7,37034036007
714,40,24,102,13,40024102013
715,47,24,128,23,47024128023
716,52,42,74,35,52042074035
717,62,16,44,13,62016044013
718,91,27,1,24,91027001024
719,99,41,97,22,99041097022
720,104,23,12,17,104023012017
721,109,41,51,17,109041051017
722,123,45,98,28,123045098028
723,70,21,9,17,70021009017
724,4,31,79,29,4031079029
725,5,45,73,37,5045073037
726,50,47,8,28,50047008028
727,92,27,37,16,92027037016
728,116,35,17,28,116035017028
729,123,45,96,35,123045096035
730,2,23,117,21,2023117021
731,108,32,102,17,108032102017
732,13,55,68,7,13055068007
733,36,58,15,27,36058015027
734,91,42,21,7,91042021007
735,124,45,67,31,124045067031
736,27,44,43,41,27044043041
737,55,16,26,10,55016026010
738,71,37,114,29,71037114029
739,122,55,111,52,122055111052
740,126,44,98,31,126044098031
741,127,20,59,14,127020059014
742,63,21,18,14,63021018014
743,70,44,87,28,70044087028
744,12,49,75,38,12049075038
745,19,55,1,36,19055001036
746,54,56,107,27,54056107027
747,72,28,25,23,72028025023
748,10,31,58,10,10031058010
749,53,27,105,21,53027105021
750,65,51,69,28,65051069028
751,129,23,97,21,129023097021
752,3,38,62,0,3038062000
753,22,37,81,17,22037081017
754,40,38,33,24,40038033024
755,61,41,32,7,61041032007
756,64,48,82,20,64048082020
757,80,44,78,28,80044078028
758,99,45,44,16,99045044016
759,103,45,77,6,103045077006
760,7,45,47,23,7045047023
761,35,24,86,17,35024086017
762,101,47,84,41,101047084041
763,128,43,6,42,128043006042
764,3,45,22,40,3045022040
