,W,W Pts,L,L Pts,Hash
212,77,29,86,6,77029086006
213,78,31,100,15,78031100015
214,80,50,21,28,80050021028
215,89,41,98,23,89041098023
216,90,31,110,6,90031110006
217,91,34,115,17,91034115017
218,94,34,41,10,94034041010
219,97,35,85,10,97035085010
220,99,20,126,13,99020126013
221,102,36,26,10,102036026010
222,104,23,46,0,104023046000
223,105,35,7,28,105035007028
224,101,56,93,0,101056093000
225,106,37,111,34,106037111034
226,108,42,18,28,108042018028
227,121,45,48,13,121045048013
228,122,35,124,17,122035124017
229,127,28,116,27,127028116027
230,123,36,70,27,123036070027
231,129,27,96,10,129027096010
232,5,31,84,24,5031084024
233,113,17,40,12,113017040012
234,31,38,30,10,31038030010
235,34,24,91,13,34024091013
236,53,28,100,6,53028100006
237,117,35,17,20,117035017020
238,1,30,70,21,1030070021
239,2,31,28,6,2031028006
240,112,42,123,39,112042123039
241,6,38,97,34,6038097034
242,8,28,52,14,8028052014
243,9,33,11,24,9033011024
244,10,41,54,7,10041054007
245,12,28,104,7,12028104007
246,13,51,72,46,13051072046
247,15,36,16,35,15036016035
248,19,60,127,59,19060127059
249,18,28,79,10,18028079010
250,22,41,69,0,22041069000
251,25,42,111,17,25042111017
252,29,45,93,24,29045093024
253,32,10,103,9,32010103009
254,33,43,125,3,33043125003
255,35,44,120,17,35044120017
256,36,36,74,28,36036074028
257,38,28,59,17,38028059017
258,43,49,76,24,43049076024
259,47,45,107,13,47045107013
260,49,45,95,38,49045095038
261,51,34,37,31,51034037031
262,50,55,118,3,50055118003
263,55,56,83,14,55056083014
264,58,41,21,14,58041021014
265,60,42,57,41,60042057041
266,62,27,71,22,62027071022
267,67,37,98,31,67037098031
268,64,23,3,17,64023003017
269,65,48,105,31,65048105031
270,73,21,119,9,73021119009
271,68,17,48,14,68017048014
272,77,20,129,14,77020129014
273,78,17,99,14,78017099014
274,80,52,56,24,80052056024
275,82,37,45,20,82037045020
276,85,36,24,31,85036024031
277,88,38,42,27,88038042027
278,89,28,39,14,89028039014
279,90,26,61,24,90026061024
280,92,33,115,10,92033115010
281,94,47,4,21,94047004021
282,101,37,81,33,101037081033
283,106,35,41,30,106035041030
284,108,20,124,19,108020124019
285,116,30,114,28,116030114028
286,121,24,87,19,121024087019
287,122,34,75,17,122034075017
288,128,33,46,14,128033046014
289,113,31,17,24,113031017024
290,115,30,34,27,115030034027
291,91,24,73,14,91024073014
292,99,34,127,17,99034127017
293,2,29,60,19,2029060019
294,3,14,7,13,3014007013
295,112,56,76,21,112056076021
296,8,52,37,10,8052037010
297,12,61,101,58,12061101058
298,14,30,69,14,14030069014
299,15,31,79,13,15031079013
300,18,34,68,17,18034068017
301,22,23,53,17,22023053017
302,25,31,72,24,25031072024
303,27,31,38,25,27031038025
304,29,28,96,17,29028096017
305,28,37,16,27,28037016027
306,33,38,100,20,33038100020
307,35,34,66,0,35034066000
308,36,47,41,24,36047041024
309,39,38,130,28,39038130028
310,40,28,58,24,40028058024
311,44,45,43,29,44045043029
312,45,37,108,30,45037108030
313,49,48,52,14,49048052014
314,54,30,32,27,54030032027
315,55,49,67,24,55049067024
316,57,40,48,17,57040048017
317,59,55,21,34,59055021034
318,61,18,86,13,61018086013
319,62,45,88,31,62045088031
320,63,24,77,17,63024077017
321,64,35,105,20,64035105020
322,65,38,10,23,65038010023
323,78,50,75,43,78050075043
324,81,31,104,26,81031104026
325,82,27,46,20,82027046020
326,84,42,114,30,84042114030
327,89,41,9,21,89041009021
328,97,28,5,26,97028005026
329,102,35,111,24,102035111024
330,118,42,83,35,118042083035
331,119,16,31,13,119016031013
332,109,41,74,24,109041074024
333,110,12,26,3,110012026003
334,117,34,1,16,117034001016
335,126,31,19,7,126031019007
336,128,37,107,34,128037107034
337,124,42,11,38,124042011038
338,129,38,42,28,129038042028
339,51,34,106,10,51034106010
340,87,21,122,16,87021122016
341,116,29,85,23,116029085023
342,13,37,34,27,13037034027
343,40,31,102,10,40031102010
344,1,35,73,31,1035073031
345,3,59,105,0,3059105000
346,4,53,109,14,4053109014
347,6,26,99,10,6026099010
348,11,32,18,29,11032018029
349,113,20,110,13,113020110013
350,21,41,93,3,21041093003
351,22,17,14,13,22017014013
352,25,16,117,13,25016117013
353,27,20,121,13,27020121013
354,30,45,123,38,30045123038
355,33,31,78,27,33031078027
356,35,45,7,32,35045007032
357,41,29,74,17,41029074017
358,47,31,81,30,47031081030
359,48,39,9,17,48039009017
360,54,41,49,3,54041049003
361,50,27,119,20,50027119020
362,53,30,69,18,53030069018
363,55,45,31,13,55045031013
364,56,38,44,31,56038044031
365,57,36,28,14,57036028014
366,62,56,43,17,62056043017
367,67,34,112,22,67034112022
368,63,39,88,38,63039088038
369,64,34,103,3,64034103003
370,66,42,32,13,66042032013
371,71,38,77,17,71038077017
372,72,42,17,35,72042017035
373,75,48,38,43,75048038043
374,68,51,60,41,68051060041
375,79,23,2,20,79023002020
376,80,56,90,17,80056090017
377,84,45,126,20,84045126020
378,91,20,39,10,91020039010
379,92,27,130,20,92027130020
380,94,30,37,27,94030037027
381,96,38,111,30,96038111030
382,97,56,24,28,97056024028
383,98,30,76,20,98030076020
384,100,30,125,7,100030125007
385,104,48,45,45,104048045045
386,101,42,82,9,101042082009
387,107,34,46,21,107034046021
388,114,36,19,34,114036019034
389,128,41,12,27,128041012027
390,124,26,15,14,124026015014
391,51,55,8,40,51055008040
392,29,31,26,21,29031026021
393,59,30,122,6,59030122006
394,13,55,17,30,13055017030
395,21,34,96,17,21034096017
396,84,59,19,41,84059019041
397,94,27,109,13,94027109013
398,3,34,103,20,3034103020
399,5,59,127,37,5059127037
400,6,24,126,10,6024126010
401,7,45,112,17,7045112017
402,10,42,95,35,10042095035
403,11,35,2,21,11035002021
404,14,23,125,17,14023125017
405,113,34,102,14,113034102014
406,18,20,16,14,18020016014
407,22,16,100,6,22016100006
408,25,45,130,31,25045130031
409,36,69,37,31,36069037031
410,38,56,87,28,38056087028
411,42,28,63,24,42028063024
412,47,23,104,0,47023104000
413,54,10,64,7,54010064007
414,50,31,98,20,50031098020
415,55,35,30,16,55035030016
416,58,48,93,10,58048093010
417,60,10,48,3,60010048003
418,62,35,61,11,62035061011
419,65,45,49,31,65045049031
420,66,24,120,14,66024120014
421,70,41,92,31,70041092031
422,71,42,90,24,71042090024
423,72,26,39,18,72026039018
424,75,28,121,27,75028121027
425,68,28,28,17,68028028017
426,80,31,86,24,80031086024
427,89,41,76,21,89041076021
428,99,38,85,14,99038085014
429,101,82,107,27,101082107027
430,106,22,52,18,106022052018
431,118,34,119,0,118034119000
432,108,42,57,35,108042057035
433,114,40,24,37,114040024037
434,116,24,97,21,116024097021
435,117,34,115,20,117034115020
436,128,34,82,10,128034082010
437,123,66,83,51,123066083051
438,124,42,79,21,124042079021
439,129,52,56,7,129052056007
440,33,42,53,31,33042053031
441,36,42,109,10,36042109010
442,21,38,110,14,21038110014
443,58,40,111,20,58040111020
444,1,23,9,6,1023009006
445,112,31,30,28,112031030028
446,4,44,37,0,4044037000
447,6,19,116,16,6019116016
448,8,44,41,28,8044041028
449,10,35,64,31,10035064031
450,12,60,46,14,12060046014
451,14,33,122,31,14033122031
452,17,27,67,7,17027067007
453,19,45,85,31,19045085031
454,18,38,28,7,18038028007
455,25,38,92,31,25038092031
456,26,37,113,29,26037113029
457,27,51,87,48,27051087048
458,32,38,35,20,32038035020
459,38,35,121,10,38035121010
460,40,27,96,3,40027096003
461,44,48,77,7,44048077007
462,47,48,82,14,47048082014
463,51,19,94,9,51019094009
464,50,59,123,10,50059123010
465,56,20,86,19,56020086019
466,59,47,75,20,59047075020
467,61,34,43,10,61034043010
468,65,17,7,10,65017007010
469,66,20,49,10,66020049010
470,71,35,88,14,71035088014
471,72,30,91,14,72030091014
472,73,31,115,28,73031115028
473,69,24,100,17,69024100017
474,78,49,70,39,78049070039
475,80,55,42,14,80055042014
476,81,59,45,14,81059045014
477,84,45,99,16,84045099016
478,89,31,31,17,89031031017
479,97,44,127,17,97044127017
480,102,20,29,10,102020029010
481,103,45,95,42,103045095042
482,104,34,107,13,104034107013
483,105,21,52,16,105021052016
484,101,31,128,30,101031128030
485,106,37,74,29,106037074029
486,118,35,98,14,118035098014
487,114,17,5,7,114017005007
488,117,35,39,14,117035039014
489,120,42,83,28,120042083028
490,126,38,24,23,126038024023
491,124,41,60,10,124041060010
492,129,37,90,0,129037090000
493,130,45,34,17,130045034017
494,15,27,2,10,15027002010
495,108,30,48,20,108030048020
496,68,35,11,21,68035011021
497,79,37,16,14,79037016014
498,22,34,125,20,22034125020
499,58,16,102,13,58016102013
500,117,20,130,3,117020130003
501,1,48,115,21,1048115021
502,3,20,54,13,3020054013
503,4,31,52,29,4031052029
504,5,38,24,20,5038024020
505,6,55,78,31,6055078031
506,8,45,94,10,8045094010
507,9,35,26,21,9035026021
508,12,48,81,14,12048081014
509,13,60,73,49,13060073049
510,25,49,39,22,25049039022
511,27,27,100,10,27027100010
512,32,34,120,10,32034120010
513,33,34,121,20,33034121020
514,34,38,92,24,34038092024
515,35,63,49,31,35063049031
516,36,28,106,25,36028106025
517,38,56,69,23,38056069023
518,46,34,45,14,46034045014
519,51,44,74,16,51044074016
520,50,40,112,24,50040112024
521,53,38,14,19,53038014019
