,W,W Pts,L,L Pts,Hash
0,25,58,85,27,25058085027
1,39,38,57,35,39038057035
2,96,42,92,22,96042092022
3,99,62,89,7,99062089007
4,6,37,74,31,6037074031
5,113,61,31,17,113061031017
6,58,37,52,29,58037052029
7,63,17,16,7,63017016007
8,80,49,43,21,80049043021
9,82,59,111,24,82059111024
10,14,23,68,20,14023068020
11,24,17,25,3,24017025003
12,28,24,20,7,28024020007
13,70,42,30,19,70042030019
14,126,30,90,14,126030090014
15,129,59,117,10,129059117010
16,3,24,33,7,3024033007
17,10,41,36,7,10041036007
18,13,24,109,13,13024109013
19,19,35,75,30,19035075030
20,22,56,48,3,22056048003
21,23,38,57,28,23038057028
22,35,31,4,10,35031004010
23,42,24,11,21,42024011021
24,44,24,130,3,44024130003
25,49,24,98,17,49024098017
26,54,27,17,0,54027017000
27,53,35,88,28,53035088028
28,55,31,60,26,55031060026
29,56,51,104,41,56051104041
30,61,33,32,17,61033032017
31,62,35,15,10,62035015010
32,64,47,94,27,64047094027
33,71,43,8,36,71043008036
34,77,31,72,20,77031072020
35,78,49,102,16,78049102016
36,81,56,118,7,81056118007
37,86,52,2,0,86052002000
38,95,35,69,28,95035069028
39,97,49,124,31,97049124031
40,120,28,67,6,120028067006
41,114,45,105,44,114045105044
42,122,31,128,24,122031128024
43,103,42,38,41,103042038041
44,82,44,94,7,82044094007
45,88,44,79,21,88044079021
46,3,41,34,10,3041034010
47,9,21,16,17,9021016017
48,11,51,112,31,11051112031
49,18,45,46,27,18045046027
50,22,14,10,6,22014010006
51,24,37,106,3,24037106003
52,27,41,77,17,27041077017
53,28,16,90,13,28016090013
54,35,20,78,19,35020078019
55,40,19,5,16,40019005016
56,42,20,123,7,42020123007
57,43,34,121,17,43034121017
58,44,44,45,41,44044045041
59,47,55,20,7,47055020007
60,53,47,75,35,53047075035
61,61,36,21,14,61036021014
62,62,28,124,14,62028124014
63,67,30,100,23,67030100023
64,63,48,85,14,63048085014
65,65,57,50,21,65057050021
66,70,23,110,21,70023110021
67,115,44,41,16,115044041016
68,74,30,73,28,74030073028
69,69,37,55,20,69037055020
70,81,31,80,16,81031080016
71,83,17,57,7,83017057007
72,84,42,71,35,84042071035
73,86,33,87,14,86033087014
74,89,31,118,14,89031118014
75,91,30,6,20,91030006020
76,95,31,66,13,95031066013
77,97,42,99,24,97042099024
78,93,54,76,32,93054076032
79,104,56,92,0,104056092000
80,101,28,7,7,101028007007
81,119,17,12,10,119017012010
82,108,37,72,24,108037072024
83,111,66,51,42,111066051042
84,114,56,39,23,114056039023
85,116,19,17,13,116019017013
86,125,34,14,10,125034014010
87,127,47,13,44,127047013044
88,128,56,29,20,128056029020
89,129,31,30,14,129031030014
90,13,28,73,14,13028073014
