,Hash,W,W Pts,L,L Pts,Line
0,17041105037,17,41,105,37,6.0
1,86024097007,86,24,97,7,-2.0
2,79044002014,79,44,2,14,-5.0
3,46035011010,46,35,11,10,-21.0
4,73028074007,73,28,74,7,-9.0
5,110034021014,110,34,21,14,13.0
6,1045092000,1,45,92,0,-22.5
7,59030058007,59,30,58,7,-14.5
8,62052088014,62,52,88,14,-3.0
9,98011035007,98,11,35,7,10.5
10,60064048006,60,64,48,6,-25.0
11,3021015007,3,21,15,7,-25.0
12,130040041038,130,40,41,38,-16.0
13,75045022000,75,45,22,0,-2.0
14,61020042008,61,20,42,8,-12.5
15,47021107014,47,21,107,14,-7.0
16,24037127019,24,37,127,19,-19.5
17,32055051021,32,55,51,21,-42.0
18,53038049014,53,38,49,14,1.0
19,104040066010,104,40,66,10,-22.5
20,56030068006,56,30,68,6,-23.0
21,102028028024,102,28,28,24,-2.0
22,10029112000,10,29,112,0,
23,103062115003,103,62,115,3,-53.5
24,128034087000,128,34,87,0,-4.5
25,93017111010,93,17,111,10,2.0
26,17058008009,17,58,8,9,-33.0
27,18042013021,18,42,13,21,1.0
28,117020116017,117,20,116,17,12.5
29,14024039021,14,24,39,21,-10.0
30,84030034027,84,30,34,27,-7.0
31,5023118003,5,23,118,3,-26.5
32,78014120007,78,14,120,7,-22.0
33,38028069016,38,28,69,16,-2.0
34,71055062014,71,55,62,14,-28.5
35,128034124009,128,34,124,9,-25.0
36,80070089007,80,70,89,7,-25.5
37,3020098010,3,20,98,10,-10.0
38,44021005020,44,21,5,20,-6.5
39,107031082003,107,31,82,3,-15.5
40,101020081007,101,20,81,7,7.0
41,129024028003,129,24,28,3,-23.5
42,60016011006,60,16,11,6,-5.5
43,93023007010,93,23,7,10,14.0
44,33044027007,33,44,27,7,-37.5
45,21024049003,21,24,49,3,-4.0
46,86024053007,86,24,53,7,-19.5
47,97055042003,97,55,42,3,-3.5
48,84044072030,84,44,72,30,
49,19045092025,19,45,92,25,-23.0
50,70010090006,70,10,90,6,-1.5
51,127038102034,127,38,102,34,-10.0
52,75027100010,75,27,100,10,4.0
53,125028077027,125,28,77,27,17.0
54,95033113014,95,33,113,14,
55,121055018021,121,55,18,21,-27.0
56,10062034000,10,62,34,0,-16.5
57,54035040034,54,35,40,34,-23.5
58,43040108006,43,40,108,6,0.0
59,87052048014,87,52,48,14,-32.0
60,63030052003,63,30,52,3,-12.5
61,65031058010,65,31,58,10,-4.0
62,104041074007,104,41,74,7,-38.5
63,56039112015,56,39,112,15,
64,116017099010,116,17,99,10,7.0
65,122021002018,122,21,2,18,-39.0
66,130041045038,130,41,45,38,-5.5
67,12024050016,12,24,50,16,-19.0
68,103035114020,103,35,114,20,-16.5
69,24048025034,24,48,25,34,-17.5
70,91040041021,91,40,41,21,-13.0
