,Hash,W,W Pts,L,L Pts,Line
0,17027115000,17,27,115,0,
1,111035001017,111,35,1,17,
2,6034084003,6,34,84,3,-10.0
3,14038105016,14,38,105,16,16.0
4,33038021031,33,38,21,31,-14.0
5,66028025014,66,28,25,14,
6,27025103024,27,25,103,24,3.0
7,18035145010,18,35,145,10,
8,64027058010,64,27,58,10,-9.0
9,32017059014,32,17,59,14,-4.0
10,65030110021,65,30,110,21,-4.0
11,108009068003,108,9,68,3,
12,73041130020,73,41,130,20,
13,12021076017,12,21,76,17,
14,42049077013,42,49,77,13,-33.0
15,15040079000,15,40,79,0,
16,95041150006,95,41,150,6,
17,100031090008,100,31,90,8,1.0
18,86031102014,86,31,102,14,-24.0
19,118020074017,118,20,74,17,
20,122020153009,122,20,153,9,-15.0
21,35013022007,35,13,22,7,-1.0
22,87007075006,87,7,75,6,-7.0
23,3045038007,3,45,38,7,-21.0
24,66023009010,66,23,9,10,-23.0
25,80021012014,80,21,12,14,-11.0
26,22017014017,22,17,14,17,-13.0
27,35017017014,35,17,17,14,-8.0
28,19031024017,19,31,24,17,-3.0
29,69033029026,69,33,29,26,-16.0
30,59031040012,59,31,40,12,-4.0
31,103023045021,103,23,45,21,-3.0
32,71042044007,71,42,44,7,-18.0
33,47023049009,47,23,49,9,-2.0
34,114041147010,114,41,147,10,
35,21038053016,21,38,53,16,
36,42023062016,42,23,62,16,-8.0
37,86039056031,86,39,56,31,-15.0
38,145014074010,145,14,74,10,
39,82027076006,82,27,76,6,
40,43030077000,43,30,77,0,-23.0
41,63057079007,63,57,79,7,
42,5038085012,5,38,85,12,-27.0
43,95030153010,95,30,153,10,
44,32017097009,32,17,97,9,2.0
45,1044091032,1,44,91,32,7.0
46,154016144000,154,16,144,0,
47,92018084013,92,18,84,13,
48,64028098019,64,28,98,19,6.5
49,99035088014,99,35,88,14,-1.0
50,51021089014,51,21,89,14,
51,102023100018,102,23,100,18,4.0
52,108031011014,108,31,11,14,
53,73014107000,73,14,107,0,-1.0
54,93051110007,93,51,110,7,-16.0
55,7038111000,7,38,111,0,-15.0
56,6023116010,6,23,116,10,-21.0
57,126055118000,126,55,118,0,-37.0
58,101024117009,101,24,117,9,
59,120024058014,120,24,58,14,-3.0
60,70030121016,70,30,121,16,-10.0
61,10028125010,10,28,125,10,-14.0
62,160013046010,160,13,46,10,
63,61020129009,61,20,129,9,-14.0
64,60035161017,60,35,161,17,
65,128041081027,128,41,81,27,15.0
66,25009130003,25,9,130,3,
67,107031001030,107,31,1,30,-7.0
68,3042064014,3,42,64,14,-14.0
69,6024040010,6,24,40,10,-1.0
70,160033011020,160,33,11,20,
71,15034018030,15,34,18,30,
72,24012127000,24,12,127,0,13.0
73,154024139017,154,24,139,17,
74,27030095017,27,30,95,17,-4.0
75,34010084004,34,10,84,4,
76,39023025013,39,23,25,13,
77,45019044007,45,19,44,7,-1.0
78,42047100010,42,47,100,10,-7.0
79,97028043007,97,28,43,7,-20.0
80,68023048015,68,23,48,15,
81,130036147027,130,36,147,27,
82,128019056018,128,19,56,18,-7.0
83,59014122008,59,14,122,8,-7.0
84,60027077013,60,27,77,13,
85,78023061017,78,23,61,17,1.0
86,63036088010,63,36,88,10,-1.0
87,65041058017,65,41,58,17,-11.0
88,7029070017,7,29,70,17,-19.0
89,71068074000,71,68,74,0,
90,80031062010,80,31,62,10,-6.0
91,81029049008,81,29,49,8,-12.0
92,54045085007,54,45,85,7,-27.0
93,87037033017,87,37,33,17,-8.0
94,110030089006,110,30,89,6,-6.0
95,79023153014,79,23,153,14,
96,86049090014,86,49,90,14,-25.0
97,19028091000,19,28,91,0,-12.0
98,92035099031,92,35,99,31,
99,10021098019,10,21,98,19,-7.0
100,93031118010,93,31,118,10,
101,46030101019,46,30,101,19,-6.0
102,114051129026,114,51,129,26,-7.0
103,73049115021,73,49,115,21,
104,104021116012,104,21,116,12,-15.0
105,75034120010,75,34,120,10,-21.0
106,126023005013,126,23,5,13,-9.0
107,69030125000,69,30,125,0,-7.0
108,51031158018,51,31,158,18,
109,111025082015,111,25,82,15,6.0
110,1039017038,1,39,17,38,19.0
111,75062009008,75,62,9,8,-24.0
112,6015019000,6,15,19,0,-7.0
113,12024107023,12,24,107,23,-6.0
114,14031070000,14,31,70,0,-6.0
115,29024018006,29,24,18,6,
116,45035139010,45,35,139,10,
117,60035028000,60,35,28,0,
118,33024098017,33,24,98,17,5.0
119,35034095018,35,34,95,18,-9.0
120,38024058020,38,24,58,20,-3.0
121,145017011000,145,17,11,0,
122,44017005014,44,17,5,14,9.0
123,49013046013,49,13,46,13,3.0
124,124024048014,124,24,48,14,
125,59025062022,59,25,62,22,-8.0
126,7014064012,7,14,64,12,-14.0
127,104021066000,104,21,66,0,-7.0
128,32027065017,32,27,65,17,-5.0
129,56023069006,56,23,69,6,-3.0
130,86027071024,86,27,71,24,6.0
131,77031068006,77,31,68,6,
132,25028074017,25,28,74,17,
133,53028082022,53,28,82,22,
134,126037084021,126,37,84,21,-24.0
135,87020042003,87,20,42,3,-7.0
136,78028088014,78,28,88,14,-15.0
137,54052089013,54,52,89,13,-17.0
138,128043153010,128,43,153,10,
139,90010102007,90,10,102,7,15.0
140,97012081000,97,12,81,0,2.0
141,92017085013,92,17,85,13,
142,99023080020,99,23,80,20,6.0
143,51031076014,51,31,76,14,
144,43017100010,43,17,100,10,-4.0
145,93016101013,93,16,101,13,-22.0
146,10024103014,10,24,103,14,-7.0
147,129036108027,129,36,108,27,
