,Hash,W,W Pts,L,L Pts,Line
0,3016080010,3,16,80,10,-4.5
1,11020068010,11,20,68,10,
2,1024039017,1,24,39,17,-11.5
3,59034095014,59,34,95,14,-14.0
4,33024108000,33,24,108,0,
5,56010087007,56,10,87,7,-2.5
6,1023118021,1,23,118,21,-15.0
7,60045011007,60,45,11,7,
8,12031130028,12,31,130,28,-19.5
9,21024122020,21,24,122,20,8.0
10,25023024007,25,23,24,7,14.5
11,27017077006,27,17,77,6,-6.0
12,69038029010,69,38,29,10,-5.0
13,71034033017,71,34,33,17,-6.5
14,74024132021,74,24,132,21,
15,5037040003,5,37,40,3,-17.0
16,107041047007,107,41,47,7,-15.0
17,91027147024,91,27,147,24,
18,42023053000,42,23,53,0,-20.5
19,64028058006,64,28,58,6,-7.0
20,59023032015,59,23,32,15,-4.0
21,65024100017,65,24,100,17,10.0
22,128047068014,128,47,68,14,
23,103035073021,103,35,73,21,-21.0
24,15021079016,15,21,79,16,
25,82021051020,82,21,51,20,
26,84021092014,84,21,92,14,-10.0
27,90011014009,90,11,14,9,12.5
28,121030095020,121,30,95,20,-4.0
29,86045102015,86,45,102,15,-12.5
30,48018108016,48,18,108,16,
31,81038114003,81,38,114,3,-7.0
32,127034115014,127,34,115,14,
33,17052117000,17,52,117,0,
34,3042120010,3,42,120,10,-22.0
35,39020129017,39,20,129,17,5.5
36,28021124014,28,21,124,14,
37,88020011003,88,20,11,3,
38,63031015007,63,31,15,7,
39,14021019015,14,21,19,15,-3.0
40,84032024030,84,32,24,30,-1.0
41,5037025010,5,37,25,10,-18.0
42,35031027007,35,31,27,7,-22.0
43,44043045007,44,43,45,7,-16.5
44,97031042016,97,31,42,16,-11.0
45,43021053000,43,21,53,0,-12.5
46,6020062017,6,20,62,17,-4.5
47,21045060038,21,45,60,38,
48,61024078023,61,24,78,23,-7.0
49,7021064000,7,21,64,0,-10.0
50,65027103023,65,27,103,23,11.5
51,75020046000,75,20,46,0,-7.0
52,129035068020,129,35,68,20,
53,17031073030,17,31,73,30,-22.0
54,126040080007,126,40,80,7,2.5
55,111027082023,111,27,82,23,5.5
56,34027085000,34,27,85,0,-17.5
57,130023150020,130,23,150,20,
58,69014087014,69,14,87,14,8.5
59,49016090016,49,16,90,16,-9.5
60,91037116030,91,37,116,30,6.5
61,92020127013,92,20,127,13,
62,3031098017,3,31,98,17,-17.0
63,93045089003,93,45,89,3,-12.5
64,99031104020,99,31,104,20,9.0
65,9033100028,9,33,100,28,7.0
66,101048110031,101,48,110,31,4.0
67,102049124017,102,49,124,17,
68,59061107011,59,61,107,11,-21.0
69,54035105017,54,35,105,17,3.5
70,118047074033,118,47,74,33,-3.0
71,66024117010,66,24,117,10,
72,56035120021,56,35,120,21,-16.0
73,70020121010,70,20,121,10,6.0
74,122020022014,122,20,22,14,12.5
75,108030160013,108,30,160,13,
76,128024029021,128,24,29,21,-13.0
77,3021032007,3,21,32,7,1.5
78,5041084017,5,41,84,17,-8.5
79,77025009018,77,25,9,18,13.5
80,18020015010,18,20,15,10,
81,126052017021,126,52,17,21,-7.5
82,90048021028,90,48,21,28,-5.5
83,22031035028,22,31,35,28,8.5
84,80013024010,80,13,24,10,-17.0
85,10045029000,10,45,29,0,-23.5
86,38028121014,38,28,121,14,3.5
87,40028082012,40,28,82,12,11.0
88,49037048012,49,37,48,12,
89,101035047022,101,35,47,22,-22.0
90,147014124013,147,14,124,13,
91,56024128003,56,24,128,3,-4.0
92,60021054012,60,21,54,12,
93,81063063000,81,63,63,0,-30.0
94,98028065024,98,28,65,24,7.0
95,43052070029,43,52,70,29,3.0
96,33010075010,33,10,75,10,-9.5
97,62020078015,62,20,78,15,1.0
98,71059042014,71,59,42,14,-20.0
99,44057068003,44,57,68,3,
100,107014073007,107,14,73,7,-6.0
101,150041074014,150,41,74,14,
102,27022079007,27,22,79,7,
103,61031085012,61,31,85,12,-37.5
104,86026014014,86,26,14,14,-15.0
105,87041088026,87,41,88,26,-3.5
106,97017012014,97,17,12,14,5.0
107,99028092010,99,28,92,10,
108,6030093000,6,30,93,0,-3.5
109,51026058010,51,26,58,10,
110,104027066025,104,27,66,25,-7.5
111,110035120017,110,35,120,17,7.0
112,7034111017,7,34,111,17,-16.5
113,114045091014,114,45,91,14,-14.0
