,Hash,W,W Pts,L,L Pts,Line
0,3024054007,3,24,54,7,-7.0
1,17031147008,17,31,147,8,
2,150010018003,150,10,18,3,
3,59021032020,59,21,32,20,-2.0
4,130038132013,130,38,132,13,
5,87026042006,87,26,42,6,-17.0
6,52038145008,52,38,145,8,
7,46015111011,46,15,111,11,-4.0
8,146018012017,146,18,12,17,
9,33017053000,33,17,53,0,-22.0
10,158017050010,158,17,50,10,
11,65020058003,65,20,58,3,-23.0
12,64019110018,64,19,110,18,-1.0
13,40021073010,40,21,73,10,-31.0
14,74014118007,74,14,118,7,
15,49028076006,49,28,76,6,
16,34023084016,34,23,84,16,
17,69027153021,69,27,153,21,
18,90029100027,90,29,100,27,6.0
19,95023125006,95,23,125,6,-3.0
20,148027154012,148,27,154,12,
21,98033051007,98,33,51,7,
22,93048155000,93,48,155,0,
23,10024101016,10,24,101,16,-8.0
24,35044103000,35,44,103,0,-6.0
25,105029019028,105,29,19,28,-4.0
26,115016092006,115,16,92,6,
27,116010117000,116,10,117,0,
28,29042159006,29,42,159,6,
29,102042161000,102,42,161,0,
30,17045001021,17,45,1,21,-26.0
31,8035052013,8,35,52,13,
32,66024009010,66,24,9,10,-21.0
33,12038015000,12,38,15,0,
34,35027019013,35,27,19,13,-17.0
35,86052021000,86,52,21,0,-31.0
36,70017134007,70,17,134,7,
37,22013110005,22,13,110,5,-6.0
38,90013135005,90,13,135,5,-13.5
39,80034027013,80,34,27,13,-20.0
40,75056029000,75,56,29,0,
41,50031140003,50,31,140,3,
42,85031034028,85,31,34,28,
43,117014132009,117,14,132,9,
44,32035163007,32,35,163,7,
45,38024003021,38,24,3,21,24.0
46,42027062017,42,27,62,17,3.0
47,43021077020,43,21,77,20,-14.0
48,139017145014,139,17,145,14,
49,147017068007,147,17,68,7,
50,78027054009,78,27,54,9,-14.0
51,11024148021,11,24,148,21,
52,120023056017,120,23,56,17,13.0
53,33010058005,33,10,58,5,-20.0
54,60033161014,60,33,161,14,
55,129021061014,129,21,61,14,19.0
56,64020095013,64,20,95,13,6.0
57,69028125023,69,28,125,23,-5.0
58,44010071007,44,10,71,7,16.0
59,115049073042,115,49,73,42,
60,155026074013,155,26,74,13,
61,93034076007,93,34,76,7,-14.5
62,63019079017,63,19,79,17,
63,46019084010,46,19,84,10,1.0
64,126034150014,126,34,150,14,
65,104031089003,104,31,89,3,-21.0
66,122028153012,122,28,153,12,
67,91030025014,91,30,25,14,
68,88027099019,88,27,99,19,-0.0
69,102031100019,102,31,100,19,2.0
70,97043103007,97,43,103,7,-18.0
71,53031108006,53,31,108,6,
72,24045107027,24,45,107,27,8.0
73,7014111010,7,14,111,10,-14.0
74,114035005018,114,35,5,18,-9.0
75,6052116010,6,52,116,10,-16.0
76,157021159014,157,21,159,14,
77,160013154007,160,13,154,7,
78,124020048017,124,20,48,17,
79,45017158013,45,17,158,13,
80,128032121018,128,32,121,18,4.0
81,81037130020,81,37,130,20,-31.0
82,90003121000,90,3,121,0,-4.0
83,3019049010,3,19,49,10,-13.0
84,108040011000,108,40,11,0,
85,12028050021,12,28,50,21,
86,79023015021,79,23,15,21,
87,162028131007,162,28,131,7,-10.0
88,17065118008,17,65,118,8,
89,19014005013,19,14,5,13,5.0
90,4031133014,4,31,133,14,
91,87038021007,87,38,21,7,-30.0
92,151029137022,151,29,137,22,5.0
93,103042025000,103,42,25,0,-14.0
94,95017027003,95,17,27,3,-10.0
95,69031029010,69,31,29,10,
96,144028028007,144,28,28,7,
97,163021140000,163,21,140,0,
98,71034033014,71,34,33,14,-10.0
99,39038132012,39,38,132,12,
100,22013035003,22,13,35,3,4.0
101,32027038006,32,27,38,6,-11.0
102,142023136006,142,23,136,6,-11.0
103,59012040007,59,12,40,7,-5.0
104,145041074006,145,41,74,6,
105,45023044012,45,23,44,12,-3.0
106,126020047003,126,20,47,3,-17.0
107,53035147013,53,35,147,13,
108,124014055003,124,14,55,3,
109,80027062013,80,27,62,13,-20.0
110,75049060007,75,49,60,7,
111,64007058003,64,7,58,3,-11.0
112,61025078007,61,25,78,7,-2.0
113,18017068010,18,17,68,10,
114,107028073021,107,28,73,21,-13.0
115,104023076010,104,23,76,10,-25.0
116,7038077007,7,38,77,7,-24.0
117,54027085024,54,27,85,24,-20.0
118,84034150000,84,34,150,0,
119,138032152013,138,32,152,13,-5.0
120,63016088013,63,16,88,13,5.0
121,66042089010,66,42,89,10,-15.0
122,153024008020,153,24,8,20,
123,97021043000,97,21,43,0,-17.0
124,92028099006,92,28,99,6,20.0
125,52020051017,52,20,51,17,
126,42017100014,42,17,100,14,-5.0
127,101038155016,101,38,155,16,
128,98021110003,98,21,110,3,
129,82023111021,82,23,111,21,-6.0
130,14013105012,14,13,105,12,3.0
131,114031129013,114,31,129,13,-9.0
132,65029120009,65,29,120,9,-21.0
133,157014009007,157,14,9,7,13.0
134,127014024010,127,14,24,10,4.0
135,134012159003,134,12,159,3,
136,125024010021,125,24,10,21,10.0
137,6033160021,6,33,160,21,
138,122047161003,122,47,161,3,
139,158021115017,158,21,115,17,
140,128017056013,128,17,56,13,5.0
141,130017001010,130,17,1,10,
142,73027001010,73,27,1,10,
143,8026018023,8,26,18,23,
144,3028120007,3,28,120,7,-24.0
145,134034004020,134,34,4,20,
146,7027064013,7,27,64,13,-3.0
147,103010010007,103,10,10,7,-3.0
148,127024006021,127,24,6,21,7.0
149,79030011027,79,30,11,27,
150,75056014014,75,56,14,14,-16.0
151,62010015007,62,10,15,7,-6.0
152,9023131017,9,23,131,17,-10.0
153,17041024020,17,41,24,20,-10.0
154,135034137010,135,34,137,10,-7.0
155,128049025003,128,49,25,3,
156,139018047017,139,18,47,17,
157,27029121024,27,29,121,24,-1.0
158,140014055000,140,14,55,0,
159,65028032007,65,28,32,7,-2.0
160,5037132016,5,37,132,16,
161,163031159027,163,31,159,27,
162,143033142019,143,33,142,19,1.0
163,68040144007,68,40,144,7,
164,100021043007,100,21,43,7,-4.0
165,45028048019,45,28,48,19,
166,46021049016,46,21,49,16,-4.0
167,115032147031,115,32,147,31,
168,66034053003,66,34,53,3,
169,105043050007,105,43,50,7,
170,56034069009,56,34,69,9,5.0
171,58028038015,58,28,38,15,9.0
172,104014059007,104,14,59,7,-7.5
173,60018028012,60,18,28,12,
174,61021070016,61,21,70,16,-20.0
175,88015078014,88,15,78,14,7.0
176,51034076011,51,34,76,11,
177,80024099019,80,24,99,19,-4.0
178,97028081024,97,28,81,24,-5.0
179,63042085012,63,42,85,12,-10.0
180,86030071024,86,30,71,24,4.0
181,54028089014,54,28,89,14,-15.0
182,21010090000,21,10,90,0,
183,35024095000,35,24,95,0,-9.0
184,91023082016,91,23,82,16,7.0
185,154036111034,154,36,111,34,
186,92027019024,92,27,19,24,
187,98017153010,98,17,153,10,
188,93020101009,93,20,101,9,-10.0
189,158035155031,158,35,155,31,
190,29028108024,29,28,108,24,
191,12028107015,12,28,107,15,-10.0
192,44020114007,44,20,114,7,10.0
193,116042077000,116,42,77,0,-4.5
194,40035117007,40,35,117,7,
195,126017084003,126,17,84,3,2.0
196,122030125014,122,30,125,14,-8.0
197,145014160014,145,14,160,14,
198,129021124010,129,21,124,10,-17.0
199,116038118010,116,38,118,10,
200,17032117026,17,32,117,26,
201,46017008016,46,17,8,16,
202,125015004014,125,15,4,14,
203,101028007024,101,28,7,24,10.0
204,9027142013,9,27,142,13,-4.0
205,71017010003,71,17,10,3,-19.0
206,6026126007,6,26,126,7,2.0
207,40024012003,40,24,12,3,-2.0
208,133031163028,133,31,163,28,
209,140017134013,140,17,134,13,
