,Hash,W,W Pts,L,L Pts,Line
160,90028007024,90,28,7,24,-0.0
161,99042006028,99,42,6,28,-7.0
162,51035002030,51,35,2,30,-7.0
163,127042041000,127,42,41,0,-30.5
164,67042030035,67,42,30,35,-3.0
165,100052110017,100,52,110,17,-17.0
166,108038018017,108,38,18,17,-14.0
167,107033106007,107,33,106,7,-27.5
168,85034091030,85,34,91,30,-7.0
169,54035010021,54,35,10,21,-17.0
170,119032118013,119,32,118,13,-3.0
171,66045043028,66,45,43,28,-2.5
172,114059074013,114,59,74,13,-44.5
173,122017038010,122,17,38,10,7.5
174,45038111021,45,38,111,21,3.0
175,17037067010,17,37,67,10,-23.0
176,117040092012,117,40,92,12,-10.5
177,87014121003,87,14,121,3,-6.0
178,68055088024,68,55,88,24,-4.0
179,27038109031,27,38,109,31,-13.5
180,16041026012,16,41,26,12,1.5
181,11031108024,11,31,108,24,-1.5
182,69048018014,69,48,18,14,-24.0
183,48032124014,48,32,124,14,-2.0
184,29055075031,29,55,75,31,12.5
185,33048014034,33,48,14,34,-24.5
186,120052112024,120,52,112,24,-20.0
187,42050060014,42,50,60,14,-28.5
188,101048093017,101,48,93,17,-17.0
189,66041008019,66,41,8,19,-22.5
190,44023063007,44,23,63,7,-2.5
191,25059118042,25,59,118,42,-13.5
192,35044054041,35,44,54,41,-3.0
193,126031005013,126,31,5,13,-9.5
194,3025064000,3,25,64,0,-14.5
195,84055019016,84,55,19,16,-38.5
196,6062097041,6,62,97,41,-4.5
197,9035050016,9,35,50,16,3.5
198,105045007033,105,45,7,33,-14.5
199,81035078021,81,35,78,21,-4.5
200,13060098007,13,60,98,7,-29.0
201,59049096021,59,49,96,21,-18.5
202,22056125007,22,56,125,7,-29.5
203,41026102024,41,26,102,24,7.5
204,110031052014,110,31,52,14,12.5
205,40059119028,40,59,119,28,2.0
206,15031002014,15,31,2,14,-15.0
207,85044024017,85,44,24,17,-12.0
208,95028113025,95,28,113,25,-7.0
209,32024049007,32,24,49,7,-12.0
210,99055127017,99,55,127,17,-9.5
211,106042130021,106,42,130,21,11.0
212,123019070007,123,19,70,7,4.0
213,89018030014,89,18,30,14,-14.5
214,103031094024,103,31,94,24,-17.0
215,72045001042,72,45,1,42,-12.5
216,128030082021,128,30,82,21,20.0
217,80031129024,80,31,129,24,-7.5
218,115056073042,115,56,73,42,1.5
219,91026074016,91,26,74,16,-16.5
220,34042039037,34,42,39,37,-17.5
221,104031045030,104,31,45,30,-7.5
222,123031052010,123,31,52,10,-8.0
223,114034116027,114,34,116,27,-6.5
224,17031117014,17,31,117,14,6.5
225,91051072044,91,51,72,44,-6.0
226,70028001010,70,28,1,10,-13.5
227,62026044014,62,26,44,14,2.0
228,53030102007,53,30,102,7,-34.0
229,108047124020,108,47,124,20,-23.5
230,16042028014,16,42,28,14,-13.5
231,3045037003,3,45,37,3,-53.5
232,14048009027,14,48,9,27,-12.0
233,18021060009,18,21,60,9,-3.0
234,11048121027,11,48,121,27,3.0
235,33063056000,33,63,56,0,-17.0
236,59045038030,59,45,38,30,-7.0
237,22049100014,22,49,100,14,-14.5
238,125028069013,125,28,69,13,8.0
239,71039042019,71,39,42,19,-8.0
240,55034119010,55,34,119,10,-15.0
241,110024076021,110,24,76,21,3.0
242,84057024016,84,57,24,16,-40.5
243,35034103031,35,34,103,31,-14.0
244,32030007010,32,30,7,10,-13.0
245,54059065026,54,59,65,26,-9.0
246,89030111027,89,30,111,27,3.0
247,122027075017,122,27,75,17,-9.0
248,81020101017,81,20,101,17,-9.5
249,96026021020,96,26,21,20,12.0
250,82033047029,82,33,47,29,-14.0
251,66051120028,66,51,120,28,-2.0
252,61042063013,61,42,63,13,-19.0
253,113024058017,113,24,58,17,-10.0
254,90055093052,90,55,93,52,-4.5
255,34061041014,34,61,41,14,-28.0
256,51048106024,51,48,106,24,-11.0
257,109034094033,109,34,94,33,-3.5
258,73066074017,73,66,74,17,-11.0
259,127044019022,127,44,19,22,-2.0
260,99031126028,99,31,126,28,-9.5
261,68038048024,68,38,48,24,-9.0
262,10030064022,10,30,64,22,3.0
263,95035049028,95,35,49,28,-21.5
264,31024098023,31,24,98,23,16.5
265,15028057007,15,28,57,7,-27.0
266,30037112023,30,37,112,23,4.0
267,107054046016,107,54,46,16,-17.0
268,29024067017,29,24,67,17,-7.5
269,79043002003,79,43,2,3,-3.0
270,78037006034,78,37,6,34,6.5
271,12073128042,12,73,128,42,-29.0
