,Hash,W,W Pts,L,L Pts,Line
0,97024122013,97,24,122,13,-16.0
1,28037016034,28,37,16,34,-6.0
2,116041105021,116,41,105,21,-9.5
3,14019011011,14,19,11,11,-17.0
4,101048077045,101,48,77,45,-5.5
5,6041118009,6,41,118,9,-24.5
6,127021073017,127,21,73,17,-3.0
7,90019062014,90,19,62,14,3.0
8,121044102014,121,44,102,14,-16.0
9,128056029023,128,56,29,23,-28.0
10,22037125030,22,37,125,30,-11.5
11,80027021006,80,27,21,6,-13.0
12,44039048007,44,39,48,7,-31.0
13,61043060010,61,43,60,10,-13.0
14,86048002010,86,48,2,10,-15.5
15,129034113006,129,34,113,6,-23.0
16,95031120006,95,31,120,6,-3.0
17,112056012014,112,56,12,14,-14.0
18,46021111003,46,21,111,3,-3.0
19,10031052000,10,31,52,0,-34.5
20,19056001014,19,56,1,14,-14.0
21,3048117017,3,48,117,17,-26.0
22,81040015024,81,40,15,24,-33.0
23,24027025024,24,27,25,24,-4.5
24,82031114020,82,31,114,20,1.5
25,109017055015,109,17,55,15,14.0
26,56023068020,56,23,68,20,-18.5
27,70027027012,70,27,27,12,-7.0
28,43041018010,43,41,18,10,-10.0
29,58020064013,58,20,64,13,6.0
30,66052008020,66,52,8,20,-35.5
31,7063074013,7,63,74,13,-21.0
32,104065076000,104,65,76,0,-26.0
33,42052141013,42,52,141,13,
34,65028110007,65,28,110,7,-6.5
35,54022085021,54,22,85,21,-18.0
36,107027093013,107,27,93,13,-26.5
37,13065041007,13,65,41,7,-29.5
38,63063108021,63,63,108,21,-11.0
39,17020078017,17,20,78,17,6.0
40,99043092003,99,43,92,3,-19.0
41,30035039028,30,35,39,28,25.0
42,88051100000,88,51,100,0,-12.5
43,53028049000,53,28,49,0,-10.0
44,89010040007,89,10,40,7,5.0
45,34035126016,34,35,126,16,-2.0
46,103042115017,103,42,115,17,-16.5
47,50038072021,50,38,72,21,-6.5
48,109024066014,109,24,66,14,10.0
49,59016033010,59,16,33,10,-1.5
50,13053085034,13,53,85,34,-7.5
51,114035042017,114,35,42,17,-3.0
52,129018115003,129,18,115,3,-16.0
53,122063124000,122,63,124,0,-24.5
54,26022027020,26,22,27,20,-13.5
55,62024018007,62,24,18,7,-25.5
56,6030077021,6,30,77,21,1.5
57,98021071017,98,21,71,17,14.0
58,44017045010,44,17,45,10,-25.0
59,10043065014,10,43,65,14,-13.0
60,14021086007,14,21,86,7,1.5
61,53052009021,53,52,9,21,-23.0
62,88059011007,88,59,11,7,-29.0
63,78028061020,78,28,61,20,13.0
64,121056075024,121,56,75,24,-20.5
65,80024055021,80,24,55,21,-16.0
66,24020127012,24,20,127,12,3.0
67,43030084024,43,30,84,24,20.5
68,99037017010,99,37,17,10,-3.5
69,35020095016,35,20,95,16,-8.5
70,56045102022,56,45,102,22,-26.0
71,100037016017,100,37,16,17,-16.5
72,32049028010,32,49,28,10,-38.0
73,128045113020,128,45,113,20,-20.0
74,87024079003,87,24,79,3,-18.0
75,21045060026,21,45,60,26,2.5
76,125031029017,125,31,29,17,-17.5
77,46063108014,46,63,108,14,-3.0
78,81063040013,81,63,40,13,-35.5
79,82038111021,82,38,111,21,-20.0
80,101044093000,101,44,93,0,-23.0
81,34045047021,34,45,47,21,13.5
82,38028022024,38,28,22,24,7.0
83,105031130000,105,31,130,0,-11.5
84,73027107024,73,27,107,24,4.0
85,97049025000,97,49,25,0,-24.5
86,104022007020,104,22,7,20,-11.0
87,3028064007,3,28,64,7,-11.0
88,116023005006,116,23,5,6,-12.5
89,67031002024,67,31,2,24,7.0
90,19041074014,19,41,74,14,-32.0
91,50024051020,50,24,51,20,-14.0
92,30020076013,30,20,76,13,7.5
93,54053008003,54,53,8,3,-40.5
94,117014041007,117,14,41,7,-10.5
95,110039141019,110,39,141,19,
96,14027026007,14,27,26,7,-8.0
97,61024091021,61,24,91,21,-21.0
98,42030124027,42,30,124,27,-9.5
99,90029048021,90,29,48,21,-12.5
100,86037113013,86,37,113,13,-21.5
101,122041027017,122,41,27,17,-25.0
102,128019056016,128,19,56,16,-6.5
103,49051043032,49,51,43,32,-2.0
104,64026120023,64,26,120,23,-7.0
105,35013055003,35,13,55,3,-18.5
106,59048050000,59,48,50,0,-31.0
107,100019021007,100,19,21,7,1.0
108,77020046017,77,20,46,17,-2.0
109,66048011000,66,48,11,0,-26.0
110,45048068041,45,48,68,41,-2.0
111,60040079020,60,40,79,20,-18.0
112,121051002000,121,51,2,0,-31.0
113,80022069014,80,22,69,14,-2.5
114,10010054009,10,10,54,9,-2.0
115,81031084007,81,31,84,7,-27.0
116,129009005007,129,9,5,7,-10.5
117,85017073007,85,17,73,7,-12.5
118,108042028032,108,42,28,32,-7.0
119,75034038013,75,34,38,13,9.5
120,33034112007,33,34,112,7,-24.5
121,78031062024,78,31,62,24,-3.0
122,105027022006,105,27,22,6,2.0
123,107070101035,107,70,101,35,-6.0
124,95034096003,95,34,96,3,-14.0
125,70029111000,70,29,111,0,0.0
126,82059093007,82,59,93,7,-34.5
127,114037126031,114,37,126,31,0.0
128,103030032028,103,30,32,28,-3.0
129,89041039029,89,41,39,29,-1.0
130,40035009021,40,35,9,21,-15.0
131,71024087017,71,24,87,17,-4.0
132,72038016013,72,38,16,13,-14.5
133,13047118031,13,47,118,31,-28.5
134,63034025016,63,34,25,16,-4.0
135,97042017010,97,42,17,10,-26.0
136,1027115010,1,27,115,10,6.5
137,6044044007,6,44,44,7,-1.0
138,47040051020,47,40,51,20,-31.0
139,30027067020,30,27,67,20,1.5
140,24052076021,24,52,76,21,-18.0
141,127049041008,127,49,41,8,-24.0
142,7049052020,7,49,52,20,-29.0
143,58047008035,58,47,8,35,-23.0
144,116048117006,116,48,117,6,-20.0
145,74022109018,74,22,109,18,10.0
146,102038141007,102,38,141,7,
147,2024048019,2,24,48,19,7.0
148,59038040013,59,38,40,13,-28.0
149,68034015017,68,34,15,17,2.5
150,13028017027,13,28,17,27,-20.5
151,61030044017,61,30,44,17,-13.5
152,125017014014,125,17,14,14,-1.0
153,88038042030,88,38,42,30,-21.0
154,26040009003,26,40,9,3,-23.0
155,62030043020,62,30,43,20,-2.5
156,69017122016,69,17,122,16,8.5
157,32020049003,32,20,49,3,-17.5
158,70029120026,70,29,120,26,-7.5
159,53034075000,53,34,75,0,-7.5
160,107031046030,107,31,46,30,-5.5
161,130037064032,130,37,64,32,4.5
162,116049001035,116,49,1,35,-22.0
163,78038126003,78,38,126,3,-11.0
164,121031100010,121,31,100,10,-27.0
165,33041022022,33,41,22,22,-18.0
166,127020005019,127,20,5,19,-3.5
167,129016086003,129,16,86,3,-3.0
168,56055027021,56,55,27,21,-17.0
169,108045102017,108,45,102,17,-8.0
170,21024029019,21,24,29,19,-12.5
171,112035058028,112,35,58,28,2.5
172,97031099028,97,31,99,28,-22.0
173,7027003010,7,27,3,10,-5.5
174,79034016000,79,34,16,0,-13.0
175,98032110014,98,32,110,14,-13.0
176,96045101044,96,45,101,44,9.5
177,104035089013,104,35,89,13,-31.0
178,103042050017,103,42,50,17,-23.5
179,93036092013,93,36,92,13,-1.5
180,11041124014,11,41,124,14,4.0
181,54051065000,54,51,65,0,-31.0
182,91027072010,91,27,72,10,-15.0
183,63043077017,63,43,77,17,-14.5
184,6027085014,6,27,85,14,-7.5
185,12037076014,12,37,76,14,3.5
186,84048041010,84,48,41,10,-35.0
187,8028052021,8,28,52,21,5.5
188,51024067017,51,24,67,17,1.5
189,95017109007,95,17,109,7,-13.5
190,73038074003,73,38,74,3,-7.5
191,117031115021,117,31,115,21,13.0
192,55033060025,55,33,60,25,-6.5
193,26029087017,26,29,87,17,-5.5
194,70024001021,70,24,1,21,1.0
195,116028073007,116,28,73,7,-10.0
196,59027038003,59,27,38,3,-14.0
197,129024042007,129,24,42,7,-14.5
198,61035043014,61,35,43,14,-19.0
199,69027125021,69,27,125,21,-11.0
200,44038062016,44,38,62,16,-7.5
201,71014046008,71,14,46,8,-11.5
202,32045007030,32,45,7,30,-7.5
203,79028049016,79,28,49,16,14.0
204,18024048021,18,24,48,21,-2.0
205,101021009017,101,21,9,17,-17.0
206,100041090031,100,41,90,31,-6.0
207,58041040014,58,41,40,14,-12.0
208,15070102016,15,70,102,16,-8.0
209,88041078016,88,41,78,16,-2.0
210,95020003003,95,20,3,3,1.5
211,35045054016,35,45,54,16,-3.0
212,53059029007,53,59,29,7,-31.5
213,17031025021,17,31,25,21,2.5
214,33038075016,33,38,75,16,-27.5
215,6028084013,6,28,84,13,2.5
216,19049085007,19,49,85,7,-6.5
217,68049002019,68,49,2,19,-17.5
218,99027126013,99,27,126,13,-14.0
219,16048113020,16,48,113,20,7.5
220,108052011014,108,52,11,14,-17.5
221,120031065013,120,31,65,13,-12.0
222,50028034021,50,28,34,21,14.0
223,82036045007,82,36,45,7,-17.5
224,104044012014,104,44,12,14,-39.5
225,66017024009,66,17,24,9,-8.0
226,81028107013,81,28,107,13,-24.0
227,98027096020,98,27,96,20,-6.5
228,112030021027,112,30,21,27,1.0
229,122019128013,122,19,128,13,-3.0
230,77033080027,77,33,80,27,11.0
231,63016086007,63,16,86,7,-16.5
