,Hash,W,W Pts,L,L Pts,Line
0,86041005007,86,41,5,7,-4.5
1,78048046013,78,48,46,13,-17.0
2,33041050007,33,41,50,7,-34.5
3,69023104020,69,23,104,20,8.5
4,59023080012,59,23,80,12,5.0
5,56006102000,56,6,102,0,-5.5
6,100035108012,100,35,108,12,-13.5
7,115026076003,115,26,76,3,2.0
8,62027084020,62,27,84,20,-9.5
9,14030012029,14,30,12,29,-4.5
10,38049070014,38,49,70,14,-19.0
11,71042044007,71,42,44,7,-23.5
12,104069099017,104,69,99,17,-11.0
13,121020075017,121,20,75,17,2.5
14,63033079007,63,33,79,7,-22.0
15,3028120017,3,28,120,17,-16.5
16,35038117007,35,38,117,7,-27.5
17,86070002024,86,70,2,24,-44.5
18,53056049028,53,56,49,28,-3.5
19,60028077003,60,28,77,3,-3.5
20,29030128023,29,30,128,23,6.0
21,42041008003,42,41,8,3,-13.5
22,114038013007,114,38,13,7,-29.0
23,87030015010,87,30,15,10,-7.0
24,61026078022,61,26,78,22,-7.5
25,66031112028,66,31,112,28,-23.0
26,116027127007,116,27,127,7,1.5
27,85028072013,85,28,72,13,1.0
28,19021090007,19,21,90,7,-18.0
29,55013022010,55,13,22,10,-2.0
30,88047113013,88,47,113,13,-17.0
31,32055124026,32,55,124,26,-36.5
32,43021011009,43,21,11,9,-23.0
33,25041024014,25,41,24,14,13.5
34,21041048003,21,41,48,3,-18.5
35,65040067007,65,40,67,7,-34.5
36,103042130017,103,42,130,17,-24.0
37,69010095000,69,10,95,0,-8.5
38,7026093000,7,26,93,0,-14.5
39,64003058000,64,3,58,0,-14.0
40,40028089003,40,28,89,3,-2.0
41,54029092021,54,29,92,21,-25.5
42,82024051007,82,24,51,7,-34.0
43,105037050017,105,37,50,17,-14.5
44,118013073010,118,13,73,10,-4.5
45,97062039007,97,62,39,7,-27.0
46,5035101031,5,35,101,31,-13.5
47,98048110014,98,48,110,14,-10.0
48,6031107013,6,31,107,13,-6.5
49,17035126028,17,35,126,28,-4.0
50,128043060027,128,43,60,27,-5.0
51,77017101007,77,17,101,7,8.0
52,125034009015,125,34,9,15,-2.5
53,129050011010,129,50,11,10,-36.5
54,86020087017,86,20,87,17,-35.0
55,61037089003,61,37,89,3,-25.0
56,82048111009,82,48,111,9,-9.5
57,3037040010,3,37,40,10,-14.0
58,62051028007,62,51,28,7,-32.0
59,122031112010,122,31,112,10,-25.0
60,75042043030,75,42,43,30,0.0
61,25038072033,25,38,72,33,-17.0
62,29027027009,29,27,27,9,-4.5
63,71045019000,71,45,19,0,-30.0
64,88028078023,88,28,78,23,-5.0
65,42038091010,42,38,91,10,4.0
66,24063092035,24,63,92,35,-23.0
67,22033121014,22,33,121,14,5.5
68,120034068031,120,34,68,31,-17.0
69,84047118028,84,47,118,28,-20.5
70,35024095009,35,24,95,9,-14.5
71,32058113027,32,58,113,27,-36.0
72,70048048028,70,48,48,28,-17.5
73,110053093019,110,53,93,19,-3.0
74,85046034023,85,46,34,23,-3.0
75,2017016010,2,17,16,10,-19.0
76,64038008014,64,38,8,14,-32.0
77,10030041023,10,30,41,23,-10.5
78,45017044010,45,17,44,10,-4.0
79,115027012024,115,27,12,24,13.0
80,47040102000,47,40,102,0,-34.0
81,100047018007,100,47,18,7,-30.5
82,33041038035,33,41,38,35,-18.0
83,63035052000,63,35,52,0,-25.0
84,54052076000,54,52,76,0,-34.0
85,104038090021,104,38,90,21,-21.0
86,107038051017,107,38,51,17,-23.0
87,80042114020,80,42,114,20,-10.0
88,65013058010,65,13,58,10,-14.0
89,5034067019,5,34,67,19,-42.5
90,74035073028,74,35,73,28,6.5
91,99054127017,99,54,127,17,-6.5
92,17034025013,17,34,25,13,-7.5
93,14014070010,14,14,70,10,-7.0
94,88058018016,88,58,18,16,-37.0
95,77015027012,77,15,27,12,8.5
96,56033128000,56,33,128,0,6.5
97,49044043035,49,44,43,35,7.5
98,81041012010,81,41,12,10,-12.0
99,120037064034,120,37,64,34,16.5
100,104018089013,104,18,89,13,-26.0
101,108023011010,108,23,11,10,-6.5
102,60035028014,60,35,28,14,-24.0
103,71020098013,71,20,98,13,-27.0
104,47040118007,47,40,118,7,-33.0
105,62023078013,62,23,78,13,6.5
106,2025102015,2,25,102,15,1.0
107,1031126021,1,31,126,21,4.0
108,24051046017,24,51,46,17,-16.5
109,87030048023,87,30,48,23,-32.0
110,33042069011,33,42,69,11,-28.0
111,80040079016,80,40,79,16,-43.0
112,86027059023,86,27,59,23,-3.0
113,97024091021,97,24,91,21,-22.5
114,84072072010,84,72,72,10,-16.0
115,41028127017,41,28,127,17,-3.0
116,10041054007,10,41,54,7,9.0
117,50029003028,50,29,3,28,13.0
118,110048009028,110,48,9,28,-13.0
119,44024068000,44,24,68,0,-14.5
