,Hash,W,W Pts,L,L Pts,Line
0,77024081000,77,24,81,0,-5.0
1,100034129000,100,34,129,0,-8.0
2,21034111024,21,34,111,24,-8.5
3,79031048007,79,31,48,7,
4,18044068010,18,44,68,10,
5,124034102014,124,34,102,14,
6,80024130010,80,24,130,10,-28.0
7,46024112000,46,24,112,0,
8,69032100031,69,32,100,31,24.0
9,128042055031,128,42,55,31,
10,122059090019,122,59,90,19,-21.0
11,35038008007,35,38,8,7,
12,71059002014,71,59,2,14,
13,49038053024,49,38,53,24,3.0
14,60027011010,60,27,11,10,
15,3042040017,3,42,40,17,-16.5
16,1014041010,1,14,41,10,
17,59045012014,59,45,12,14,-14.0
18,87045051013,87,45,51,13,
19,127037114034,127,37,114,34,-0.0
20,25045072013,25,45,72,13,
21,32021098006,32,21,98,6,-27.0
22,82021045014,82,21,45,14,3.0
23,64024113023,64,24,113,23,
24,65013058010,65,13,58,10,-10.0
25,103052107017,103,52,107,17,-21.5
26,50030015023,50,30,15,23,
27,120029076012,120,29,76,12,
28,117021116014,117,21,116,14,
29,39017063003,39,17,63,3,13.5
30,6041074010,6,41,74,10,
31,10028121017,10,28,121,17,-2.0
32,84016005009,84,16,5,9,3.0
33,91045070031,91,45,70,31,-4.5
34,102028014021,102,28,14,21,12.0
35,75023043006,75,23,43,6,-27.0
36,128024029017,128,24,29,17,-7.0
37,65035049027,65,35,49,27,-2.5
38,62042124010,62,42,124,10,
39,55035009025,55,35,9,25,
40,24031025021,24,31,25,21,-14.5
41,129028013024,129,28,13,24,
42,46017101010,46,17,101,10,-10.0
43,78017038013,78,17,38,13,-20.0
44,116027053021,116,27,53,21,4.0
45,19035040003,19,35,40,3,1.5
46,15028060021,15,28,60,21,
47,125027077020,125,27,77,20,14.0
48,86034087017,86,34,87,17,-32.0
49,99028092012,99,28,92,12,-30.0
50,81036100034,81,36,100,34,10.5
51,103030114024,103,30,114,24,-15.0
52,126042017020,126,42,17,20,-6.0
53,85033076007,85,33,76,7,
54,130056045010,130,56,45,10,-12.0
55,72031115014,72,31,115,14,
56,32082018006,32,82,18,6,
57,79021056014,79,21,56,14,
58,95033113031,95,33,113,31,
59,69045027014,69,45,27,14,-8.0
60,7028052016,7,28,52,16,-22.5
61,108036088022,108,36,88,22,
62,104048090014,104,48,90,14,-38.0
63,98024042007,98,24,42,7,-3.5
64,64023093015,64,23,93,15,-4.5
65,58028112007,58,28,112,7,
66,66044028024,66,44,28,24,
67,47047068007,47,47,68,7,
68,1041089012,1,41,89,12,4.5
69,110031021017,110,31,21,17,9.0
70,33014097007,33,14,97,7,-14.0
71,54055118003,54,55,118,3,-35.5
72,73061074024,73,61,74,24,
73,82031051007,82,31,51,7,
74,12037034035,12,37,34,35,0.0
75,3020120000,3,20,120,0,-14.0
76,22019069017,22,19,69,17,1.0
77,61027024003,61,27,24,3,-1.0
78,33050056007,33,50,56,7,-31.0
79,14031128024,14,31,128,24,6.0
80,77024027020,77,24,27,20,-17.0
81,10019064009,10,19,64,9,-19.0
82,46015066007,46,15,66,7,-3.0
83,18044013026,18,44,13,26,
84,62051058021,62,51,58,21,-19.0
85,86052102010,86,52,102,10,-37.0
86,35031095015,35,31,95,15,-6.5
87,80044015013,80,44,15,13,
88,60049002020,60,49,2,20,
89,43033011006,43,33,11,6,
90,44054111016,44,54,111,16,-22.0
91,1025115024,1,25,115,24,-21.0
92,71038113024,71,38,113,24,
93,53026042014,53,26,42,14,-6.5
94,6023059012,6,23,59,12,10.0
95,55042048017,55,42,48,17,
96,88028078017,88,28,78,17,18.0
97,126036091003,126,36,91,3,-21.0
98,114066104003,114,66,104,3,10.0
99,84024072020,84,24,72,20,
100,29025125024,29,25,125,24,-13.0
101,124021068013,124,21,68,13,
102,75028099017,75,28,99,17,-13.0
103,122031100003,122,31,100,3,-2.5
104,127028097021,127,28,97,21,6.0
105,129056092010,129,56,92,10,-17.0
106,108038028035,108,38,28,35,
107,82035034000,82,35,34,0,-6.5
108,63053045029,63,53,45,29,-6.0
109,50017052016,50,17,52,16,-9.5
110,70036090007,70,36,90,7,-19.0
111,47023079020,47,23,79,20,
112,107059051014,107,59,51,14,
113,93031007009,93,31,7,9,6.5
114,87035040024,87,35,40,24,1.5
115,89030110024,89,30,110,24,-3.5
116,73038118020,73,38,118,20,-16.5
117,54024065009,54,24,65,9,-12.5
118,25035117024,25,35,117,24,
119,116032101018,116,32,101,18,-4.0
120,5024112010,5,24,112,10,
121,130035039006,130,35,39,6,-12.0
122,87021059017,87,21,59,17,16.0
123,14035090021,14,35,90,21,-14.5
124,38028125026,38,28,125,26,-7.0
125,75040056014,75,40,56,14,-22.0
126,86057053021,86,57,53,21,-20.5
127,88028011014,88,28,11,14,
128,61038012003,61,38,12,3,-25.5
129,129036091010,129,36,91,10,-8.5
130,127035042022,127,35,42,22,-9.5
131,35042052003,35,42,52,3,-28.5
132,49049043007,49,49,43,7,2.5
133,89040077034,89,40,77,34,6.5
134,7017003016,7,17,3,16,18.5
135,62023078007,62,23,78,7,3.0
136,95026029000,95,26,29,0,3.0
137,80028005020,80,28,5,20,-17.5
138,33035022028,33,35,22,28,-20.0
139,44063045020,44,63,45,20,-25.0
140,71027126014,71,27,126,14,2.5
141,32033103020,32,33,103,20,-3.0
142,84043034040,84,43,34,40,-16.5
143,130030092010,130,30,92,10,-28.0
144,99027085024,99,27,85,24,-11.5
145,66042111021,66,42,111,21,-4.5
146,105066051000,105,66,51,0,
147,48041028038,48,41,28,38,
148,98035072019,98,35,72,19,
149,100030110019,100,30,110,19,-20.5
150,122023102013,122,23,102,13,-22.0
151,19040081036,19,40,81,36,-4.5
152,108023124013,108,23,124,13,
153,27020009017,27,20,9,17,6.5
154,15031002028,15,31,2,28,
155,50056018028,50,56,18,28,
156,113041041010,113,41,41,10,
157,21034046007,21,34,46,7,-4.0
158,63020058017,63,20,58,17,1.0
159,69041068014,69,41,68,14,
160,10031054028,10,31,54,28,6.0
161,76030107027,76,30,107,27,
162,70046093016,70,46,93,16,1.0
163,120040101016,120,40,101,16,-7.0
164,1024025000,1,24,25,0,13.5
165,116056118003,116,56,118,3,-25.5
166,73025117022,73,25,117,22,
167,17013006010,17,13,6,10,7.5
168,115025039015,115,25,39,15,-4.0
169,125019069018,125,19,69,18,4.5
170,27026070017,27,26,70,17,9.5
171,80031066010,80,31,66,10,-15.5
172,75048121020,75,48,121,20,-15.5
173,88021077009,88,21,77,9,-3.0
174,44038042010,44,38,42,10,-28.0
175,122050008000,122,50,8,0,
176,28031018024,28,31,18,24,
177,60038009014,60,38,9,14,
178,79031124007,79,31,124,7,
179,32055049028,32,55,49,28,-19.5
180,24020130019,24,20,130,19,-13.0
181,55042011016,55,42,11,16,
182,129027043026,129,27,43,26,-13.0
183,47058015000,47,58,15,0,
184,17019093016,17,19,93,16,-12.5
185,114040005027,114,40,5,27,-8.5
186,61021078014,61,21,78,14,-14.0
187,105036076010,105,36,76,10,
188,128028059017,128,28,59,17,9.0
189,6013085010,6,13,85,10,-10.5
190,127058013000,127,58,13,0,
191,3027098013,3,27,98,13,-7.0
192,21024014006,21,24,14,6,1.5
193,56024102021,56,24,102,21,-1.0
194,10041113014,10,41,113,14,
195,40045063043,40,45,63,43,6.0
196,81035053014,81,35,53,14,-9.0
197,7017050013,7,17,50,13,
198,82038052007,82,38,52,7,-21.5
199,108031072013,108,31,72,13,
200,97027019017,97,27,19,17,-3.0
201,65037095017,65,37,95,17,2.5
202,64015120003,64,15,120,3,-2.0
203,38023022020,38,23,22,20,-1.0
204,54056002000,54,56,2,0,
205,104038089031,104,38,89,31,-14.0
206,112042051007,112,42,51,7,
207,118024074016,118,24,74,16,
208,1024091018,1,24,91,18,-7.5
209,99058084049,99,58,84,49,-8.5
210,34027116013,34,27,116,13,9.0
211,17042117035,17,42,117,35,
212,100056029000,100,56,29,0,-13.5
213,80023044007,80,23,44,7,-4.0
214,33047059000,33,47,59,0,-19.5
215,102017087013,102,17,87,13,6.5
216,128048090000,128,48,90,0,-27.0
217,121021125013,121,21,125,13,-9.0
218,10023095006,10,23,95,6,-7.5
219,32056007007,32,56,7,7,-34.0
220,60024122017,60,24,122,17,
221,62031063010,62,31,63,10,-25.0
222,103031064017,103,31,64,17,-25.0
223,22039118007,22,39,118,7,-35.0
224,35047065000,35,47,65,0,-11.0
225,15035068010,15,35,68,10,
226,71056047026,71,56,47,26,-20.0
227,105016024010,105,16,24,10,3.0
228,113059048043,113,59,48,43,
229,66045045021,66,45,45,21,-17.5
230,54007120006,54,7,120,6,-15.5
231,61037043000,61,37,43,0,-20.0
232,46020081017,46,20,81,17,3.5
233,86041042006,86,41,42,6,-25.5
234,89042111024,89,42,111,24,-11.0
235,82042104016,82,42,104,16,8.5
236,38042014014,38,42,14,14,-7.0
237,25063039000,25,63,39,0,-24.0
238,114066040010,114,66,40,10,-23.5
239,99033078015,99,33,78,15,-0.0
240,85026092012,85,26,92,12,-18.0
241,127024084013,127,24,84,13,-7.5
242,56016027010,56,16,27,10,-3.5
243,98042053024,98,42,53,24,-15.0
244,41030076017,41,30,76,17,
245,79047028007,79,47,28,7,
246,126026006014,126,26,6,14,-15.0
247,124021011013,124,21,11,13,
248,49040003034,49,40,3,34,6.5
249,2053018014,2,53,18,14,
250,21020058017,21,20,58,17,-12.5
251,51041008038,51,41,8,38,
252,107035012014,107,35,12,14,-4.0
253,129026077025,129,26,77,25,-3.5
254,110041009000,110,41,9,0,-6.5
255,50041019034,50,41,19,34,
256,75031101010,75,31,101,10,-26.0
257,73022093015,73,22,93,15,-7.0
258,97035115021,97,35,115,21,-25.5
259,5031091028,5,31,91,28,-10.0
260,100050090003,100,50,90,3,-28.0
261,1010070007,1,10,70,7,0.0
262,122017014007,122,17,14,7,-19.0
263,33051027027,33,51,27,27,-32.0
264,38027069017,38,27,69,17,-5.0
265,61023077006,61,23,77,6,-24.0
266,95038049024,95,38,49,24,-1.5
267,103038035013,103,38,35,13,-9.0
268,86031080027,86,31,80,27,-7.0
269,108041018010,108,41,18,10,
270,121021022007,121,21,22,7,6.0
271,124034015021,124,34,15,21,
272,128031056014,128,31,56,14,-9.5
273,75030125012,75,30,125,12,-22.0
274,105056045017,105,56,45,17,-30.5
275,10049050013,10,49,50,13,
276,62038043006,62,38,43,6,-19.0
277,129031042007,129,31,42,7,-14.0
278,47041066011,47,41,66,11,-11.0
279,118033111018,118,33,111,18,14.0
280,89027017014,89,27,17,14,2.5
