,Hash,W,W Pts,L,L Pts,Line
0,25035121029,25,35,121,29,0.0
1,129023034021,129,23,34,21,-10.0
2,80045107021,80,45,107,21,-6.0
3,69034073014,69,34,73,14,-13.5
4,71048006010,71,48,6,10,-22.0
5,33038045031,33,38,45,31,-22.5
6,122063008007,122,63,8,7,-37.0
7,68042125041,68,42,125,41,-0.0
8,17042100021,17,42,100,21,-3.0
9,34016091014,34,16,91,14,-17.0
10,81037111000,81,37,111,0,-37.5
11,61031126029,61,31,126,29,-6.5
12,86027113024,86,27,113,24,-14.0
13,44057002021,44,57,2,21,-21.0
14,45045046003,45,45,46,3,-22.0
15,3039067034,3,39,67,34,-17.0
16,25019024014,25,19,24,14,9.5
17,62056028007,62,56,28,7,-37.0
18,127031072007,127,31,72,7,-25.5
19,1052077003,1,52,77,3,-2.0
20,66033042020,66,33,42,20,7.5
21,33040121019,33,40,121,19,-30.0
22,19070012022,19,70,12,22,-5.5
23,103047130007,103,47,130,7,-31.5
24,38045120003,38,45,120,3,-20.5
25,27023029016,27,23,29,16,14.0
26,32051112003,32,51,112,3,-31.5
27,84036065013,84,36,65,13,-12.0
28,70038093007,70,38,93,7,10.5
29,14024026016,14,24,26,16,-32.0
30,71031109016,71,31,109,16,-32.0
31,92033008014,92,33,8,14,-1.5
32,105031051007,105,31,51,7,-29.5
33,64031052003,64,31,52,3,-30.0
34,95034074024,95,34,74,24,-23.5
35,60027075021,60,27,75,21,6.0
36,87027079014,87,27,79,14,-21.5
37,35031022028,35,31,22,28,-7.5
38,50039082036,50,39,82,36,-0.0
39,78022056000,78,22,56,0,-1.0
40,40024089010,40,24,89,10,6.5
41,104027076000,104,27,76,0,-34.0
42,13038041021,13,38,41,21,-23.0
43,129027115007,129,27,115,7,-5.0
44,116023117003,116,23,117,3,-12.5
45,122026054008,122,26,54,8,-6.5
46,49022053017,49,22,53,17,13.0
47,21036101029,21,36,101,29,-3.0
48,97024010017,97,24,10,17,-7.5
49,85035102003,85,35,102,3,-11.0
50,17035039032,17,35,39,32,-11.5
51,38031026014,38,31,26,14,-23.0
52,69065070019,69,65,70,19,-16.5
53,80051048017,80,51,48,17,-28.5
54,105014087012,105,14,87,12,-3.5
55,98023042020,98,23,42,20,-6.5
56,44029060024,44,29,60,24,-6.0
57,61035124012,61,35,124,12,-22.5
58,129034128017,129,34,128,17,-13.0
59,64038058016,64,38,58,16,-10.0
60,78024088017,78,24,88,17,-4.5
61,18032130020,18,32,130,20,-3.5
62,62027089010,62,27,89,10,-32.0
63,101048077024,101,48,77,24,-5.0
64,22033050013,22,33,50,13,-10.0
65,49077118017,49,77,118,17,-19.5
66,1038073031,1,38,73,31,-5.5
67,84028034024,84,28,34,24,-18.0
68,14034099027,14,34,99,27,-11.0
69,126034092010,126,34,92,10,-29.5
70,81037003027,81,37,3,27,-12.5
71,127049041014,127,49,41,14,-27.0
72,59041032016,59,41,32,16,2.5
73,56044002014,56,44,2,14,-21.0
74,53040027003,53,40,27,3,-18.5
75,108065028013,108,65,28,13,-21.5
76,125027029022,125,27,29,22,-5.0
77,19034074013,19,34,74,13,-13.5
78,66041011006,66,41,11,6,-16.5
79,24034091014,24,34,91,14,-22.0
80,7041013014,7,41,13,14,-8.0
81,71044117013,71,44,117,13,-32.5
82,103026067003,103,26,67,3,-23.0
83,107024093014,107,24,93,14,-22.0
84,16034090011,16,34,90,11,8.0
85,8021111019,8,21,111,19,5.5
86,112027109026,112,27,109,26,-1.5
87,96037068006,96,37,68,6,-7.5
88,47068052000,47,68,52,0,-39.0
89,121034095021,121,34,95,21,4.5
90,63035051011,63,35,51,11,-16.0
91,75030100022,75,30,100,22,5.0
92,116040043013,116,40,43,13,-15.5
93,110034040013,110,34,40,13,3.0
94,6046113013,6,46,113,13,-4.0
95,115031046020,115,31,46,20,-14.5
96,114030025019,114,30,25,19,-7.0
97,122047055021,122,47,55,21,-12.0
98,42059008007,42,59,8,7,-32.5
99,22024038019,22,24,38,19,1.5
100,19046062022,19,46,62,22,13.5
101,129024068021,129,24,68,21,-22.5
102,10031120006,10,31,120,6,-21.5
103,77026027021,77,26,27,21,-6.5
104,69032125013,69,32,125,13,-13.5
105,88028124024,88,28,124,24,-18.0
106,78025061023,78,25,61,23,5.5
107,63031108021,63,31,108,21,-8.0
108,13035130013,13,35,130,13,-6.0
109,84058041021,84,58,41,21,-32.5
110,80025127007,80,25,127,7,-7.0
111,107042064028,107,42,64,28,-3.0
112,97040024003,97,40,24,3,3.5
113,35013095007,35,13,95,7,-6.0
114,72031017028,72,31,17,28,13.0
115,45036044031,45,36,44,31,2.0
116,32034079006,32,34,79,6,-41.5
117,18024002017,18,24,2,17,0.0
118,15051066028,15,51,66,28,4.0
119,7042096003,7,42,96,3,-14.0
120,101017093006,101,17,93,6,-17.5
121,3033076007,3,33,76,7,-20.0
122,114038082024,114,38,82,24,-6.5
123,29024110020,29,24,110,20,-9.0
124,85047115017,85,47,115,17,-16.5
125,59044102021,59,44,102,21,-37.5
126,90044009000,90,44,9,0,4.0
127,128035021032,128,35,21,32,4.5
128,49027043017,49,27,43,17,-19.0
129,50053111009,50,53,111,9,-23.0
130,98033058014,98,33,58,14,-12.0
131,87026112020,87,26,112,20,-8.5
132,81068118000,81,68,118,0,-44.0
133,26024016003,26,24,16,3,-2.0
134,33037056010,33,37,56,10,-18.5
135,86040071007,86,40,71,7,4.5
136,40036051017,40,36,51,17,-9.0
137,54033060007,54,33,60,7,-12.0
138,104052075021,104,52,75,21,-13.0
139,73023012000,73,23,12,0,-9.0
140,6039091028,6,39,91,28,-6.0
141,25036053033,25,36,53,33,-2.5
142,99063092026,99,63,92,26,-17.5
143,5023116017,5,23,116,17,3.0
144,10042065014,10,42,65,14,-2.5
145,55026113021,55,26,113,21,-11.0
146,77049070040,77,49,70,40,3.0
147,26037079019,26,37,79,19,-6.0
148,87023090003,87,23,90,3,-23.5
149,61010116007,61,10,116,7,-11.0
150,129031005010,129,31,5,10,-6.0
151,86049050017,86,49,50,17,-13.5
152,64045120038,64,45,120,38,-23.5
153,22030011007,22,30,11,7,-28.0
154,53045009014,53,45,9,14,-29.0
155,49044067022,49,44,67,22,-5.5
156,60027048020,60,27,48,20,-11.5
157,125024088021,125,24,88,21,10.0
158,92038042035,92,38,42,35,23.5
159,121048002029,121,48,2,29,-23.5
160,78021062017,78,21,62,17,3.0
161,44048117007,44,48,117,7,-21.5
162,24031114017,24,31,114,17,12.0
163,80023021019,80,23,21,19,-20.0
164,32030103013,32,30,103,13,5.0
165,38028017019,38,28,17,19,-11.5
166,47027097020,47,27,97,20,-2.0
167,69051107048,69,51,107,48,1.0
168,72031089021,72,31,89,21,-7.0
169,63041016017,63,41,16,17,-30.5
170,1023019021,1,23,19,21,9.5
171,43039018029,43,39,18,29,-5.5
172,41048091038,41,48,91,38,7.5
173,56045028003,56,45,28,3,-35.0
174,85059034019,85,59,34,19,-13.5
175,8033052021,8,33,52,21,2.5
176,33048027017,33,48,27,17,-45.0
177,3020098007,3,20,98,7,-7.0
178,45042109012,45,42,109,12,-16.5
