,Hash,W,W Pts,L,L Pts,Line
0,5033025017,5,33,25,17,-19.0
1,145019139012,145,19,139,12,
2,116034147010,116,34,147,10,
3,73034050000,73,34,50,0,
4,148006111003,148,6,111,3,
5,51017052013,51,17,52,13,
6,158014154000,158,14,154,0,
7,76035118000,76,35,118,0,
8,29031159006,29,31,159,6,
9,74023160013,74,23,160,13,
10,3030038006,3,30,38,6,-14.0
11,125030004023,125,30,4,23,
12,5022127007,5,22,127,7,-7.5
13,60027011003,60,27,11,3,
14,17018105017,17,18,105,17,13.0
15,19017006009,19,17,6,9,11.5
16,69034029020,69,34,29,20,
17,15032028006,15,32,28,6,
18,22021163000,22,21,163,0,
19,90028143000,90,28,143,0,-8.5
20,40024114016,40,24,114,16,0.0
21,62033042016,62,33,42,16,-24.0
22,43030044026,43,30,44,26,-2.5
23,145028160009,145,28,160,9,
24,12020146007,12,20,146,7,
25,58014065013,58,14,65,13,10.5
26,139014074013,139,14,74,13,
27,82025076007,82,25,76,7,-0.0
28,61049077007,61,49,77,7,-32.0
29,63024079010,63,24,79,10,-21.5
30,84033024019,84,33,24,19,7.5
31,73035085016,73,35,85,16,-1.5
32,118031150007,118,31,150,7,
33,93035089017,93,35,89,17,-23.0
34,121031153000,121,31,153,0,-4.0
35,97021107007,97,21,107,7,-11.0
36,75028095000,75,28,95,0,-2.5
37,66045091015,66,45,91,15,-20.5
38,33017098014,33,17,98,14,
39,110033099010,110,33,99,10,2.5
40,154017051007,154,17,51,7,
41,80031100008,80,31,100,8,-13.5
42,158010155006,158,10,155,6,
43,102038128016,102,38,128,16,-3.5
44,55031108014,55,31,108,14,
45,111024001007,111,24,1,7,-11.0
46,115035132014,115,35,132,14,
47,116027039023,116,27,39,23,
48,92048117048,92,48,117,48,-1.5
49,56024156020,56,24,156,20,-20.0
50,122015053014,122,15,53,14,4.5
51,88041129020,88,41,129,20,-19.5
52,18010124000,18,10,124,0,
53,157007161003,157,7,161,3,4.0
54,126038130002,126,38,130,2,-23.0
55,129038001000,129,38,1,0,-19.0
56,52018008017,52,18,8,17,
57,122041004032,122,41,4,32,
58,33031006003,33,31,6,3,-6.5
59,108031011014,108,31,11,14,
60,45038015010,45,38,15,10,
61,19010005007,19,10,5,7,7.5
62,98024021006,98,24,21,6,
63,70026134007,70,26,134,7,
64,161028135015,161,28,135,15,-8.5
65,9026026010,9,26,26,10,
66,7036025003,7,36,25,3,-20.5
67,102043139021,102,43,139,21,
68,27028029014,27,28,29,14,
69,79020028007,79,20,28,7,
70,68021140014,68,21,140,14,
71,40014032010,40,14,32,10,-10.5
72,81021044006,81,21,44,6,-29.0
73,87024046000,87,24,46,0,-19.5
74,10026047018,10,26,47,18,-14.0
75,59024053012,59,24,53,12,-8.0
76,54044024000,54,44,24,0,0.0
77,133024050007,133,24,50,7,
78,56019022000,56,19,22,0,3.0
79,60015049014,60,15,49,14,7.0
80,64038058034,64,38,58,34,-3.5
81,66014042006,66,14,42,6,-16.5
82,78012061010,78,12,61,10,6.5
83,107017073007,107,17,73,7,-16.0
84,74014118013,74,14,118,13,
85,80021063017,80,21,63,17,-13.0
86,62041084017,62,41,84,17,-13.5
87,114031088021,114,31,88,21,6.5
88,157017153007,157,17,153,7,5.5
89,86045090010,86,45,90,10,-20.0
90,97042085005,97,42,85,5,-23.5
91,99045092029,99,45,92,29,-14.5
92,93027101007,93,27,101,7,-18.0
93,111028051020,111,28,51,20,
94,100024128014,100,24,128,14,-14.5
95,76019155014,76,19,155,14,
96,103028014016,103,28,14,16,-12.5
97,89021110017,89,21,110,17,11.0
98,12017105007,12,17,105,7,4.0
99,126041116007,126,41,116,7,-21.0
