,Hash,W,W Pts,L,L Pts,Line
0,53045074024,53,45,74,24,-20.5
1,71021101007,71,21,101,7,-30.0
2,129026121017,129,26,121,17,-10.0
3,17070110035,17,70,110,35,-11.0
4,81041075027,81,41,75,27,-21.0
5,38013100007,38,13,100,7,-7.5
6,34024024022,34,24,24,22,9.5
7,102045070026,102,45,70,26,-16.5
8,2031079029,2,31,79,29,5.5
9,108038063007,108,38,63,7,-4.5
10,90031016015,90,31,16,15,-14.5
11,68020096017,68,20,96,17,-20.0
12,7014115010,7,14,115,10,-5.0
13,67037120028,67,37,120,28,7.5
14,127036041007,127,36,41,7,-9.0
15,5023091010,5,23,91,10,1.0
16,59033086007,59,33,86,7,-14.0
17,33055027013,33,55,27,13,-30.5
18,14034128010,14,34,128,10,-4.5
19,56023075007,56,23,75,7,3.0
20,53036049010,53,36,49,10,-4.0
21,35045008017,35,45,8,17,-35.5
22,122052026010,122,52,26,10,-46.5
23,22021113013,22,21,113,13,-19.5
24,44051048000,44,51,48,0,-27.0
25,61031060013,61,31,60,13,-25.0
26,24041025014,24,41,25,14,-4.0
27,42044019017,42,44,19,17,2.5
28,103033100009,103,33,100,9,-14.5
29,114020003017,114,20,3,17,3.0
30,32049055014,32,49,55,14,-28.0
31,97021092010,97,21,92,10,-14.5
32,125021029019,125,21,29,19,16.0
33,10030011000,10,30,11,0,-23.0
34,98017082009,98,17,82,9,-10.5
35,104041074007,104,41,74,7,-35.0
36,95032013013,95,32,13,13,-19.5
37,71042109014,71,42,109,14,-53.0
38,15020066013,15,20,66,13,13.0
39,84031129028,84,31,129,28,-10.0
40,81044001003,81,44,1,3,-19.0
41,73026118006,73,26,118,6,-3.0
42,54048110017,54,48,110,17,-21.5
43,89021040014,89,21,40,14,3.0
44,50036093006,50,36,93,6,-5.0
45,116023117019,116,23,117,19,-10.0
46,101019076005,101,19,76,5,-20.0
47,17052072007,17,52,72,7,-27.0
48,88019021014,88,19,21,14,-8.0
49,34044085024,34,44,85,24,3.5
50,65030058010,65,30,58,10,-17.5
51,69035043014,69,35,43,14,-6.5
52,105028130020,105,28,130,20,-15.0
