,Hash,W,W Pts,L,L Pts,Line
0,60014011013,60,14,11,13,4.0
1,90038016003,90,38,16,3,-32.0
2,54045065000,54,45,65,0,-20.0
3,48023045014,48,23,45,14,3.5
4,115023117016,115,23,117,16,-6.5
5,85024116007,85,24,116,7,-6.0
6,111035052017,111,35,52,17,-3.5
7,70030102019,70,30,102,19,-21.0
8,126042100012,126,42,100,12,-3.0
9,128062124024,128,62,124,24,-24.0
10,122017029007,122,17,29,7,-28.0
11,59031055003,59,31,55,3,-18.0
12,62055112018,62,55,112,18,-24.0
13,26045027014,26,45,27,14,-4.5
14,130023121003,130,23,121,3,3.0
15,71052072010,71,52,72,10,-21.0
16,64023058021,64,23,58,21,-2.5
17,44016068003,44,16,68,3,-12.5
18,84048040027,84,48,40,27,-17.0
19,129042127021,129,42,127,21,-14.5
20,38033078003,38,33,78,3,1.0
21,66040042034,66,40,42,34,-5.5
22,114045099017,114,45,99,17,-16.5
23,14038125028,14,38,125,28,-5.5
24,17020005007,17,20,5,7,-3.5
25,2022009014,2,22,9,14,-6.0
26,113025069023,113,25,69,23,8.0
27,101027012000,101,27,12,0,-21.0
28,35035082014,35,35,82,14,-6.5
29,46052018007,46,52,18,7,-7.5
30,24031025028,24,31,25,28,-2.5
31,87027028003,87,27,28,3,-20.5
32,88052108024,88,52,108,24,-6.0
33,10023047013,10,23,47,13,-13.0
34,15032063031,15,32,63,31,14.5
35,19045103031,19,45,103,31,-7.0
36,118010073006,118,10,73,6,3.5
37,6045092003,6,45,92,3,-16.5
38,97038041010,97,38,41,10,-46.5
39,86059031000,86,59,31,0,-36.5
40,104021008013,104,21,8,13,-39.5
41,81079076010,81,79,76,10,-40.0
42,95028051014,95,28,51,14,-29.0
43,7046109026,7,46,109,26,-23.5
44,30027067014,30,27,67,14,-2.5
45,32049123003,32,49,123,3,
46,107049093009,107,49,93,9,-9.0
47,22024033018,22,24,33,18,3.5
48,21034085003,21,34,85,3,3.0
49,53058067042,53,58,67,42,-41.0
50,90041070024,90,41,70,24,-16.5
51,128048055023,128,48,55,23,-25.5
52,77036072031,77,36,72,31,-11.0
53,71020125017,71,20,125,17,-9.0
54,81051059013,81,51,59,13,-11.0
55,63041060035,63,41,60,35,-8.5
56,16042102007,16,42,102,7,3.5
57,80020002002,80,20,2,2,-28.0
58,121024027013,121,24,27,13,-18.0
59,3024120010,3,24,120,10,-4.0
60,18052108031,18,52,108,31,-3.0
61,62028015017,62,28,15,17,-18.0
62,12042089017,12,42,89,17,-7.5
63,130032117018,130,32,117,18,-25.0
64,47034092014,47,34,92,14,-20.0
65,19034025028,19,34,25,28,-14.0
66,66038064025,66,38,64,25,-6.0
