,Hash,W,W Pts,L,L Pts,Line
0,71044086006,71,44,86,6,-5.5
1,40045089014,40,45,89,14,-14.0
2,102017100006,102,17,100,6,-3.0
3,1034025013,1,34,25,13,-6.0
4,19019105017,19,19,105,17,6.0
5,49031018014,49,31,18,14,
6,121038027030,121,38,27,30,7.0
7,33047029046,33,47,29,46,
8,147028047020,147,28,47,20,
9,93024053006,93,24,53,6,
10,32028059003,32,28,59,3,-3.5
11,58037064017,58,37,64,17,
12,75024095008,75,24,95,8,-14.0
13,68037046034,68,37,46,34,
14,118020074009,118,20,74,9,
15,128055079003,128,55,79,3,
16,5050085006,5,50,85,6,-24.0
17,150021084015,150,21,84,15,
18,87013103003,87,13,103,3,-4.0
19,98032153003,98,32,153,3,
20,111034091009,111,34,91,9,
21,65014110009,65,14,110,9,-8.0
22,35019114008,35,19,114,8,-2.0
23,73017116007,73,17,116,7,
24,15035034027,15,35,34,27,
25,12040017036,12,40,17,36,1.0
26,91028019014,91,28,19,14,
27,21014086003,21,14,86,3,
28,14031022016,14,31,22,16,5.5
29,62023024017,62,23,24,17,-10.0
30,39034025000,39,34,25,0,
31,43015027010,43,15,27,10,1.0
32,97019032019,97,19,32,19,-7.0
33,33040054035,33,40,54,35,5.0
34,132025147019,132,25,147,19,
35,3020038007,3,20,38,7,-18.5
36,66028042018,66,28,42,18,-2.5
37,44051045010,44,51,45,10,-6.5
38,101016046016,101,16,46,16,-2.5
39,100022048010,100,22,48,10,
40,49031047012,49,31,47,12,-1.0
41,56021120014,56,21,120,14,-4.5
42,75024058010,75,24,58,10,-23.0
43,59029040007,59,29,40,7,4.5
44,95024060003,95,24,60,3,
45,63021089017,63,21,89,17,-3.0
46,110027064023,110,27,64,23,-3.0
47,121027070016,121,27,70,16,-2.0
48,29022069016,29,22,69,16,
49,78052088006,78,52,88,6,-9.0
50,129037068009,129,37,68,9,
51,103031073006,103,31,73,6,
52,79017153010,79,17,153,10,
53,81027099014,81,27,99,14,-12.0
54,80031084006,80,31,84,6,-23.5
55,128048150007,128,48,150,7,
56,10024098003,10,24,98,3,-8.5
57,87035102000,87,35,102,0,-16.0
58,1028107013,1,28,107,13,-1.5
59,7017111014,7,17,111,14,-10.0
60,92031115026,92,31,115,26,
61,5038116000,5,38,116,0,
62,6039117012,6,39,117,12,
63,126034077000,126,34,77,0,-16.0
64,61020127017,61,20,127,17,-15.5
65,125013122006,125,13,122,6,11.0
66,11025160021,11,25,160,21,
67,71056130020,71,56,130,20,
68,130014001007,130,14,1,7,
69,5045127006,5,45,127,6,-7.0
70,53031009007,53,31,9,7,
71,114026006026,114,26,6,26,-4.0
72,11031079014,11,31,79,14,
73,12020118006,12,20,118,6,
74,14042090022,14,42,90,22,-7.5
75,17063015028,17,63,15,28,
76,24031025003,24,31,25,3,
77,110034033028,110,34,33,28,11.5
78,132025117024,132,25,117,24,
79,22016035016,22,16,35,16,1.5
80,120029045026,120,29,45,26,-11.5
81,49024043013,49,24,43,13,-3.5
82,32017145013,32,17,145,13,
83,44042086034,44,42,86,34,-2.5
84,147023039021,147,23,39,21,
85,54024089010,54,24,89,10,-20.5
86,62028078023,62,28,78,23,18.5
87,75048060017,75,48,60,17,
88,126025061024,126,25,61,24,-4.5
89,3040064000,3,40,64,0,-19.0
90,129021066020,129,21,66,20,2.0
91,65038070010,65,38,70,10,-13.5
92,71084063013,71,84,63,13,-28.0
93,7017073000,7,17,73,0,
94,100035077000,100,35,77,0,-7.0
95,80024081014,80,24,81,14,6.5
96,82027021017,82,27,21,17,
97,59035088000,59,35,88,0,-13.5
98,97033085010,97,33,85,10,-22.5
99,95031027024,95,31,27,24,4.0
100,116027091024,116,27,91,24,
101,19030092009,19,30,92,9,
102,42017099007,42,17,99,7,-6.5
103,47020101003,47,20,101,3,-3.0
104,104020010007,104,20,10,7,2.0
105,108031153006,108,31,153,6,
106,115028150007,115,28,150,7,
107,122017058010,122,17,58,10,
108,46057160006,46,57,160,6,
109,124014144013,124,14,144,13,
110,128031056021,128,31,56,21,1.5
111,82034105015,82,34,105,15,3.5
112,3044120024,3,44,120,24,-12.5
113,64013007010,64,13,7,10,10.0
114,10037103014,10,37,103,14,-2.0
115,108043011007,108,43,11,7,
116,17046001028,17,46,1,28,-3.0
117,53031021023,53,31,21,23,
118,18032124014,18,32,124,14,
119,45021025017,45,21,25,17,
120,79031028014,79,31,28,14,
121,32035065012,32,35,65,12,-3.5
122,34034150014,34,34,150,14,
123,5027132010,5,27,132,10,
124,22041038014,22,41,38,14,-13.0
125,116028039025,116,28,39,25,
126,84015040014,84,15,40,14,10.5
127,42020062010,42,20,62,10,1.0
128,144036139017,144,36,139,17,
129,46026097020,46,26,97,20,21.0
130,15017060014,15,17,60,14,
131,61038129021,61,38,129,21,-7.5
132,59020078000,59,20,78,0,-0.0
133,68038048007,68,38,48,7,
134,73031074010,73,31,74,10,
135,77010043008,77,10,43,8,13.5
136,44020080014,44,20,80,14,3.0
137,24038085014,24,38,85,14,-12.5
138,86023102018,86,23,102,18,-8.0
139,56013087007,56,13,87,7,4.0
140,88032063020,88,32,63,20,-4.5
141,100017090013,100,17,90,13,-6.0
142,35031095013,35,31,95,13,-14.0
143,91041118033,91,41,118,33,
144,92023099010,92,23,99,10,
145,93021101017,93,21,101,17,-13.0
146,89022051021,89,22,51,21,
147,107026012011,107,26,12,11,7.0
148,49026110014,49,26,110,14,-2.0
149,81028111018,81,28,111,18,
150,71042114010,71,42,114,10,-17.5
151,127041115028,127,41,115,28,
152,66017117010,66,17,117,10,
153,121026069014,121,26,69,14,7.0
154,54040126014,54,40,126,14,-2.0
155,125031153006,125,31,153,6,
156,6044160014,6,44,160,14,
