,Hash,W,W Pts,L,L Pts,Line
0,95007069003,95,7,69,3,5.0
1,116035117017,116,35,117,17,-21.0
2,13019084009,13,19,84,9,-3.0
3,15031109014,15,31,109,14,7.5
4,76020011010,76,20,11,10,15.0
5,111037110013,111,37,110,13,-14.0
6,80031070027,80,31,70,27,-22.0
7,86031002007,86,31,2,7,-29.0
8,61031124007,61,31,124,7,-13.0
9,26023079016,26,23,79,16,-3.5
10,78035072000,78,35,72,0,-14.5
11,82024035010,82,24,35,10,-5.5
12,49042060000,49,42,60,0,-16.5
13,17014081013,17,14,81,13,23.0
14,66037042009,66,37,42,9,7.0
15,112044089024,112,44,89,24,-5.5
16,12024125021,12,24,125,21,2.5
17,63023100020,63,23,100,20,-7.0
18,9027028017,9,27,28,17,3.5
19,129028068020,129,28,68,20,-16.5
20,88052108031,88,52,108,31,-10.0
21,99039127013,99,39,127,13,-17.0
22,10037050013,10,37,50,13,-13.5
23,105041073006,105,41,73,6,-14.5
24,3034122024,3,34,122,24,-6.5
25,41021074006,41,21,74,6,2.5
26,16023118017,16,23,118,17,10.5
27,19052056013,19,52,56,13,-21.0
28,97056092003,97,56,92,3,-34.0
29,5019018006,5,19,18,6,-14.5
30,114033091014,114,33,91,14,-18.5
31,54031126023,54,31,126,23,-18.0
32,71049030003,71,49,30,3,-23.5
33,22037067014,22,37,67,14,-18.5
34,104059052020,104,59,52,20,-43.0
35,103063123007,103,63,123,7,-31.0
36,64045058014,64,45,58,14,-17.5
37,25023024017,25,23,24,17,11.0
38,21047090015,21,47,90,15,4.5
39,59038033034,59,38,33,34,6.0
40,38030022027,38,30,22,27,-5.0
41,108054024038,108,54,24,38,3.5
42,75012026010,75,12,26,10,-6.0
43,128035029020,128,35,29,20,-5.5
44,86028100007,86,28,100,7,-29.0
45,122052055010,122,52,55,10,-20.0
46,18029062027,18,29,62,27,14.5
47,77027028024,77,27,28,24,-21.5
48,44035045003,44,35,45,3,-6.5
49,10049065024,10,49,65,24,-15.5
50,27035009019,27,35,9,19,-2.5
51,129034034031,129,34,34,31,-7.5
52,125024099017,125,24,99,17,-3.0
53,35041095037,35,41,95,37,-7.0
54,114019103015,114,19,103,15,11.0
55,17054110003,17,54,110,3,-18.5
56,84038088036,84,38,88,36,-13.0
57,104041130010,104,41,130,10,-33.0
58,70032050014,70,32,50,14,-7.5
59,61038078034,61,38,78,34,3.5
60,126042041023,126,42,41,23,-21.0
