,Hash,W,W Pts,L,L Pts,Line
0,61018121017,61,18,121,17,-8.0
1,80038014006,80,38,14,6,-3.0
2,11017060015,11,17,60,15,
3,50028015021,50,28,15,21,
4,71064082021,71,64,82,21,-27.0
5,98045068013,98,45,68,13,
6,45036079021,45,36,79,21,
7,3033120025,3,33,120,25,-14.0
8,93017007014,93,17,7,14,7.0
9,126023006020,126,23,6,20,-12.0
10,12037111005,12,37,111,5,-10.0
11,1038017012,1,38,17,12,4.0
12,91033019009,91,33,19,9,5.0
13,46023021018,46,23,21,18,-15.5
14,24043129007,24,43,129,7,-2.0
15,33070027026,33,70,27,26,-25.5
16,103027029007,103,27,29,7,-16.0
17,28049002029,28,49,2,29,
18,32045040021,32,45,40,21,-46.0
19,53013049010,53,13,49,10,-5.0
20,105033054017,105,33,54,17,-15.5
21,56029110010,56,29,110,10,-8.0
22,65028058018,65,28,58,18,-11.5
23,114031059008,114,31,59,8,4.5
24,61038042014,61,38,42,14,-1.0
25,10046064013,10,46,64,13,-17.0
26,34031052017,34,31,52,17,-19.0
27,66028076007,66,28,76,7,-18.5
28,77017078015,77,17,78,15,27.0
29,84027116020,84,27,116,20,-7.0
30,5041150009,5,41,150,9,
31,88026128024,88,26,128,24,10.0
32,35042095023,35,42,95,23,-3.5
33,99047092033,99,47,92,33,
34,72038051014,72,38,51,14,
35,100020075009,100,20,75,9,6.5
36,47034102007,47,34,102,7,-23.0
37,104038039017,104,38,39,17,-11.0
38,89038115000,89,38,115,0,
39,74045118017,74,45,118,17,
40,8021117017,8,21,117,17,
41,87017127013,87,17,127,13,3.0
42,14020122014,14,20,122,14,2.5
43,5020038019,5,20,38,19,-14.0
44,115028008023,115,28,8,23,
45,15017066010,15,17,66,10,
46,24042025014,24,42,25,14,-18.0
47,29027100024,29,27,100,24,6.0
48,87066028030,87,66,28,30,
49,32042049007,32,42,49,7,-27.0
50,34025019024,34,25,19,24,5.5
51,33045022026,33,45,22,26,-20.5
52,103030035027,103,30,35,27,-12.5
53,101027045010,101,27,45,10,-14.5
54,84034042031,84,34,42,31,-3.5
55,46027076010,46,27,76,10,-19.5
56,47023021021,47,23,21,21,-13.0
57,53034068021,53,34,68,21,
58,54034065016,54,34,65,16,5.0
59,50019040007,50,19,40,7,
60,61024058007,61,24,58,7,-20.5
61,60039048000,60,39,48,0,
62,70033093002,70,33,93,2,13.0
63,56032075018,56,32,75,18,9.0
64,78035088028,78,35,88,28,-9.0
65,71050062010,71,50,62,10,-18.0
66,72045074024,72,45,74,24,
67,111024082023,111,24,82,23,2.0
68,150023085010,150,23,85,10,
69,27024090014,27,24,90,14,-4.5
70,7051095021,7,51,95,21,-2.0
71,81038091022,81,38,91,22,-13.0
72,97045092007,97,45,92,7,
73,3024098020,3,24,98,20,-14.0
74,99027116020,99,27,116,20,-2.5
75,128024102013,128,24,102,13,-23.0
76,86024107023,86,24,107,23,-21.0
77,114023017009,114,23,17,9,-10.5
78,6045118020,6,45,118,20,-25.0
79,121029069024,121,29,69,24,-5.5
80,110035125009,110,35,125,9,-1.0
81,43024124010,43,24,124,10,
82,1034130010,1,34,130,10,-10.0
83,46038101020,46,38,101,20,-3.5
84,108031124021,108,31,124,21,
85,15050002012,15,50,2,12,
86,42009005007,42,9,5,7,-3.0
87,7020003019,7,20,3,19,7.5
88,54012010006,54,12,10,6,6.5
89,71077006028,71,77,6,28,-27.5
90,63031011007,63,31,11,7,
91,21016122000,21,16,122,0,14.5
92,22029125014,22,29,125,14,-19.5
93,29030018017,29,30,18,17,
94,25027001020,25,27,1,20,6.5
95,27023009021,27,23,9,21,-9.5
96,121041038014,121,41,38,14,-14.5
97,130052039006,130,52,39,6,-7.5
98,97045040010,97,45,40,10,-36.5
99,44027045010,44,27,45,10,-12.5
100,79028048028,79,28,48,28,
101,49017043010,49,17,43,10,14.0
102,95068050021,95,68,50,21,
103,62030053007,62,30,53,7,2.0
104,60030077028,60,30,77,28,
105,61023014013,61,23,14,13,-6.5
106,107041066014,107,41,66,14,-13.5
107,65030012021,65,30,12,21,6.0
108,90027070017,90,27,70,17,-14.5
109,33077069017,33,77,69,17,-27.0
110,24066052014,24,66,52,14,-38.5
111,68018092017,68,18,92,17,
112,35040074013,35,40,74,13,
113,84038114031,84,38,114,31,5.0
114,76030085027,76,30,85,27,14.0
115,34056150024,34,56,150,24,
116,104038087027,104,38,87,27,-11.0
117,17031091019,17,31,91,19,-3.5
118,98024117021,98,24,117,21,
119,81024093010,81,24,93,10,-28.5
120,58033051019,58,33,51,19,
121,86066102014,86,66,102,14,-33.0
122,32062103037,32,62,103,37,-8.0
123,110017089015,110,17,89,15,17.5
124,105052111009,105,52,111,9,-29.0
125,28051115006,28,51,115,6,
126,116036073009,116,36,73,9,3.0
127,78041120000,78,41,120,0,-19.0
128,80030126020,80,30,126,20,-7.5
129,99024129024,99,24,129,24,3.0
130,56031128017,56,31,128,17,3.0
131,75017053010,75,17,53,10,-4.5
132,77030001006,77,30,1,6,3.0
133,47067002000,47,67,2,0,
134,50028008025,50,28,8,25,
135,126021009013,126,21,9,13,-26.5
136,12014069000,12,14,69,0,1.0
137,18022015016,18,22,15,16,
138,60023021016,60,23,21,16,
139,56041027028,56,41,27,28,-5.5
140,42007029000,42,7,29,0,-7.5
141,116025034021,116,25,34,21,-0.0
142,64018035010,64,18,35,10,6.0
143,46020040013,46,20,40,13,-22.0
144,128045048006,128,45,48,6,
145,49035095030,49,35,95,30,13.5
146,88035062035,88,35,62,35,-3.0
147,7027058020,7,27,58,20,-10.0
148,122013059007,122,13,59,7,10.0
149,100027063017,100,27,63,17,-7.5
150,103052065014,103,52,65,14,-11.0
151,66031052022,66,31,52,22,-14.0
152,73036074024,73,36,74,24,
153,81051076010,81,51,76,10,-33.0
154,28031079020,28,31,79,20,
155,80054087014,80,54,87,14,-10.5
156,130045082025,130,45,82,25,-8.5
157,6020085011,6,20,85,11,-11.0
158,71049150007,71,49,150,7,
159,86059090034,86,59,90,34,-21.0
160,54052089007,54,52,89,7,-12.5
161,97031005010,97,31,5,10,-6.5
162,19040092007,19,40,92,7,
163,43027098026,43,27,98,26,-2.5
164,129042093000,129,42,93,0,-20.0
165,99028084021,99,28,84,21,9.5
166,68025051024,68,25,51,24,
167,101016120003,101,16,120,3,-2.5
168,78055104027,78,55,104,27,-7.0
169,108049072035,108,49,72,35,
170,24029105021,24,29,105,21,-4.0
171,127024114015,127,24,114,15,6.0
172,45057115030,45,57,115,30,
173,39042118021,39,42,118,21,-13.0
174,121022022003,121,22,22,3,-5.5
175,125030070007,125,30,70,7,8.5
176,11010124000,11,10,124,0,
177,38031056003,38,31,56,3,1.0
178,91030072027,91,30,72,27,
179,1027073024,1,27,73,24,-5.0
180,63055008007,63,55,8,7,
181,3031035000,3,31,35,0,-3.0
182,7035120007,7,35,120,7,-8.0
183,10042049021,10,42,49,21,-17.0
184,97031006000,97,31,6,0,-20.5
185,88035011013,88,35,11,13,
186,62025014021,62,25,14,21,3.5
187,15037102031,15,37,102,31,
188,17028025021,17,28,25,21,3.5
189,5020019015,5,20,19,15,-6.0
190,22043069022,22,43,69,22,-2.0
191,2016018013,2,16,18,13,
192,24038081017,24,38,81,17,-3.0
193,114045034021,114,45,34,21,-11.0
194,39058115030,39,58,115,30,
195,77031043007,77,31,43,7,-3.0
196,53017058007,53,17,58,7,3.5
197,95020054020,95,20,54,20,7.5
198,61038060019,61,38,60,19,
199,32028064010,32,28,64,10,-28.5
200,70030027009,70,30,27,9,12.0
201,80045078026,80,45,78,26,-6.0
202,52034065032,52,34,65,32,22.0
203,47044068000,47,44,68,0,
204,44059074021,44,59,74,21,
205,75062079000,75,62,79,0,
206,103031082000,103,31,82,0,-33.0
207,9021089021,9,21,89,21,2.5
208,100027090017,100,27,90,17,-2.5
209,104035093010,104,35,93,10,-22.5
210,108045021031,108,45,21,31,
211,12009107007,12,9,107,7,-2.0
212,98045110000,98,45,110,0,-17.0
213,50027111023,50,27,111,23,
214,116034118021,116,34,118,21,-19.0
215,92032117030,92,32,117,30,
216,122026087016,122,26,87,16,-2.5
217,126026085016,126,26,85,16,-7.5
218,71035127021,71,35,127,21,-28.5
219,121035125017,121,35,125,17,-32.0
220,129017086009,129,17,86,9,15.0
221,124052048006,124,52,48,6,
222,29023128020,29,23,128,20,-3.0
