,Hash,W,W Pts,L,L Pts,Line
0,26038016000,26,38,16,0,-18.5
1,84038040024,84,38,40,24,-10.0
2,21028028026,21,28,28,26,-12.5
3,120024125020,120,24,125,20,10.5
4,95024113015,95,24,113,15,-18.5
5,6063102016,6,63,102,16,-26.0
6,127038041026,127,38,41,26,-29.5
7,63041111010,63,41,111,10,-14.0
8,43020018013,43,20,18,13,-10.5
9,116027005024,116,27,5,24,-9.5
10,129056015042,129,56,15,42,-5.0
11,77038079014,77,38,79,14,-14.5
12,121031124019,121,31,124,19,-32.5
13,44056011000,44,56,11,0,-38.5
14,62049048014,62,49,48,14,-18.5
15,80034060014,80,34,60,14,-17.0
16,61033068017,61,33,68,17,-18.0
17,86023096013,86,23,96,13,-24.5
18,29024027021,29,24,27,21,1.5
19,103017112010,103,17,112,10,-24.0
20,42033090030,42,33,90,30,-1.5
21,24031025028,24,31,25,28,-8.0
22,78042087021,78,42,87,21,4.5
23,35048013013,35,48,13,13,-6.5
24,56023070020,56,23,70,20,-7.5
25,32032130014,32,32,130,14,-22.5
26,1020126017,1,20,126,17,1.5
27,101017081010,101,17,81,10,27.0
28,38023010014,38,23,10,14,6.5
29,14020017003,14,20,17,3,-5.0
30,22025105024,22,25,105,24,-0.0
31,12028093023,12,28,93,23,-4.5
32,114044091021,114,44,91,21,-8.5
33,97063039017,97,63,39,17,-31.0
34,66044008017,66,44,8,17,-25.5
35,3026067007,3,26,67,7,-22.5
36,46030030019,46,30,30,19,-19.5
37,104060051003,104,60,51,3,-38.5
38,47035031021,47,35,31,21,-34.5
39,118034074017,118,34,74,17,-11.0
40,128015100007,128,15,100,7,1.5
41,53031049024,53,31,49,24,-22.0
42,122020069016,122,20,69,16,-5.5
43,73024115022,73,24,115,22,-14.5
44,64010058006,64,10,58,6,1.5
45,33010059007,33,10,59,7,2.5
46,82023030003,82,23,30,3,-16.5
47,79016087010,79,16,87,10,14.0
48,127055072021,127,55,72,21,-10.0
49,47021055019,47,21,55,19,-9.5
50,78017061010,78,17,61,10,7.0
51,22028056024,22,28,56,24,1.0
52,86042021024,86,42,21,24,-19.5
53,129065102000,129,65,102,0,-34.0
54,122045027000,122,45,27,0,-20.5
55,14044009007,14,44,9,7,-28.5
56,10028065000,10,28,65,0,-16.0
57,81031111015,81,31,111,15,-31.0
58,42040092019,42,40,92,19,-16.5
59,88049002024,88,49,2,24,-35.0
60,18038060037,18,38,60,37,24.5
61,77038068037,77,38,68,37,-3.0
62,63056025024,63,56,25,24,-12.5
63,100031016000,100,31,16,0,-24.0
64,62042039014,62,42,39,14,-29.5
65,19056126017,19,56,126,17,-10.5
66,45023044003,45,23,44,3,7.5
67,38027075021,38,27,75,21,-12.0
68,35017095015,35,17,95,15,-17.0
69,99041070038,99,41,70,38,-3.0
70,32041050003,32,41,50,3,-29.0
71,85030013027,85,30,13,27,-5.0
72,73045066035,73,45,66,35,8.5
73,71031125003,71,31,125,3,-7.5
74,120028007024,120,28,7,24,11.5
75,1041091029,1,41,91,29,-5.5
76,108056124023,108,56,124,23,-23.0
77,15040011031,15,40,11,31,-28.5
78,3030098021,3,30,98,21,-12.0
79,104025080022,104,25,80,22,1.0
80,116031117007,116,31,117,7,-24.0
81,54035006031,54,35,6,31,-1.0
82,93021101010,93,21,101,10,16.0
83,114063089021,114,63,89,21,-24.0
84,24039074000,24,39,74,0,-24.0
85,115034041031,115,34,41,31,-11.5
86,130038052000,130,38,52,0,-18.0
87,76014067007,76,14,67,7,4.5
88,28031051010,28,31,51,10,-4.5
89,112027109007,112,27,109,7,-7.5
90,107056031003,107,56,31,3,-33.0
91,101023116020,101,23,116,20,2.5
92,118044040041,118,44,40,41,-11.5
93,121027100024,121,27,100,24,-8.5
94,53063085027,53,63,85,27,-12.5
95,61055028000,61,55,28,0,-30.0
96,128031056019,128,31,56,19,4.5
97,105066093008,105,66,93,8,-29.0
98,120031064023,120,31,64,23,-4.0
99,108042102017,108,42,102,17,-30.0
100,86040018003,86,40,18,3,-23.0
101,10063011003,10,63,11,3,-37.0
102,12020009010,12,20,9,10,-4.5
103,125044029034,125,44,29,34,-15.0
104,33028014017,33,28,14,17,-1.0
105,62044078041,62,44,78,41,7.0
106,80027091006,80,27,91,6,-27.0
107,114041081024,114,41,81,24,-6.5
108,71007087006,71,7,87,6,-9.0
109,3037095014,3,37,95,14,-1.0
110,122045079000,122,45,79,0,-34.0
111,126034041006,126,34,41,6,-13.0
