,Hash,W,W Pts,L,L Pts,Line
0,47042019028,47,42,19,28,-27.5
1,68020056013,68,20,56,13,8.0
2,59048050009,59,48,50,9,-28.0
3,48041002038,48,41,2,38,12.5
4,116040117020,116,40,117,20,-18.0
5,17024038013,17,24,38,13,-4.0
6,115028108018,115,28,108,18,1.5
7,125032014028,125,32,14,28,10.5
8,86023102010,86,23,102,10,-23.0
9,121027027000,121,27,27,0,-14.0
10,35030022000,35,30,22,0,-3.5
11,129024128017,129,24,128,17,-5.5
12,61045018007,61,45,18,7,-34.0
13,44021060003,44,21,60,3,-9.0
14,66022042015,66,22,42,15,-4.0
15,26034043010,26,34,43,10,-6.0
16,64020120014,64,20,120,14,-13.0
17,3040096017,3,40,96,17,-14.5
18,62026124021,62,26,124,21,-14.0
19,63049111010,63,49,111,10,-33.0
20,127025041000,127,25,41,0,-26.0
21,71017082007,71,17,82,7,-7.5
22,103024034006,103,24,34,6,-19.0
23,32065092003,32,65,92,3,-23.5
24,97023010000,97,23,10,0,4.0
25,19034098002,19,34,98,2,-3.5
26,90024016010,90,24,16,10,-10.0
27,77028046020,77,28,46,20,-7.0
28,107058093010,107,58,93,10,-23.0
29,112024012019,112,24,12,19,-8.5
30,95014051007,95,14,51,7,-23.5
31,81037076003,81,37,76,3,-30.0
32,105026008011,105,26,8,11,-29.0
33,47041109005,47,41,109,5,-37.5
34,24042025035,24,42,25,35,2.0
35,33037075000,33,37,75,0,-16.5
36,80028126009,80,28,126,9,-9.0
37,40048089014,40,48,89,14,-3.0
38,54049052007,54,49,52,7,-34.5
39,84042065034,84,42,65,34,-2.5
40,5042118007,5,42,118,7,-21.5
41,122049113028,122,49,113,28,-20.5
42,53040049024,53,40,49,24,7.0
43,104066074007,104,66,74,7,-29.0
44,21040029003,21,40,29,3,-8.0
45,101038110035,101,38,110,35,-5.5
46,98017112012,98,17,112,12,-2.5
47,34016085014,34,16,85,14,8.5
48,14027086014,14,27,86,14,9.0
49,80016091013,80,16,91,13,-30.5
50,61050040003,61,50,40,3,-27.5
51,129048002031,129,48,2,31,-24.0
52,44056016007,44,56,16,7,-34.0
53,125038069024,125,38,69,24,9.0
54,58044064034,58,44,64,34,8.0
55,71031117007,71,31,117,7,-32.0
56,15027088026,15,27,88,26,12.0
57,1022077021,1,22,77,21,-7.0
58,26048009021,26,48,9,21,-16.5
59,35029067010,35,29,67,10,-29.0
60,100049075047,100,49,75,47,-1.0
61,45048079020,45,48,79,20,-18.5
62,78029127026,78,29,127,26,-6.0
63,63048109007,63,48,109,7,-27.0
64,62044090028,62,44,90,28,-19.0
65,95031121007,95,31,121,7,3.0
66,38017010003,38,17,10,3,9.0
67,24016114014,24,16,114,14,-2.5
68,84031072023,84,31,72,23,-22.0
69,126038043013,126,38,43,13,-25.5
70,66035011007,66,35,11,7,-15.0
71,103034055024,103,34,55,24,-20.5
72,25023019021,25,23,19,21,2.5
73,87043048003,87,43,48,3,-28.5
74,128048029007,128,48,29,7,-10.0
75,7045111013,7,45,111,13,-36.5
76,46046115024,46,46,115,24,10.0
77,82048130024,82,48,130,24,-22.0
78,105028116026,105,28,116,26,-9.5
79,101017070003,101,17,70,3,-21.5
80,107042073028,107,42,73,28,-13.5
81,33035056010,33,35,56,10,-15.0
82,81020003013,81,20,3,13,-7.5
83,59038032033,59,38,32,33,-14.0
84,97035017018,97,35,17,18,-21.5
85,50034051003,50,34,51,3,-4.0
86,76052012014,76,52,12,14,-14.0
87,54059005013,54,59,5,13,-11.5
88,99031092010,99,31,92,10,-10.0
89,116031019024,116,31,19,24,-0.0
90,108024055017,108,24,55,17,6.0
91,53030100020,53,30,100,20,3.0
92,87042011021,87,42,11,21,-30.5
93,21015128013,21,15,128,13,6.5
