,Hash,W,W Pts,L,L Pts,Line
0,71023105014,71,23,105,14,-8.5
1,130024017014,130,24,17,14,3.0
2,97034014007,97,34,14,7,-5.5
3,1029025023,1,29,25,23,-8.0
4,68007002006,68,7,2,6,
5,5024085013,5,24,85,13,-14.5
6,128062015014,128,62,15,14,
7,49018018007,49,18,18,7,
8,27031077021,27,31,77,21,-9.0
9,34068073021,34,68,73,21,
10,59031033000,59,31,33,0,4.0
11,51024132009,51,24,132,9,
12,39027044024,39,27,44,24,20.0
13,111035047009,111,35,47,9,-15.0
14,56027053016,56,27,53,16,-13.0
15,65021050014,65,21,50,14,
16,64024058006,64,24,58,6,-1.5
17,28024060017,28,24,60,17,
18,95031075010,95,31,75,10,-14.0
19,7063150014,7,63,150,14,
20,114059091006,114,59,91,6,-24.5
21,92051074000,92,51,74,0,
22,100031102021,100,31,102,21,-18.5
23,35028103017,35,28,103,17,-4.0
24,11013108003,11,13,108,3,
25,54027105000,54,27,105,0,-3.5
26,12027115003,12,27,115,3,
27,71063117013,71,63,117,13,
28,22040122007,22,40,122,7,-20.5
29,127044042007,127,44,42,7,4.0
30,124024129014,124,24,129,14,
31,17047104006,17,47,104,6,4.0
32,130044053009,130,44,53,9,-8.0
33,48032002012,48,32,2,12,
34,3037102000,3,37,102,0,-15.0
35,11034015010,11,34,15,10,
36,12027046014,12,27,46,14,-18.0
37,14041021007,14,41,21,7,-19.0
38,27031103026,27,31,103,26,2.0
39,122027029016,122,27,29,16,2.0
40,32027064015,32,27,64,15,-9.0
41,24045034003,24,45,34,3,
42,128045132010,128,45,132,10,
43,39031025023,39,31,25,23,4.5
44,40060050000,40,60,50,0,
45,6021042016,6,21,42,16,-19.0
46,43041089014,43,41,89,14,-14.0
47,44045047010,44,45,47,10,-33.0
48,10020049010,10,20,49,10,-16.0
49,84049147000,84,49,147,0,
50,82052060020,82,52,60,20,
51,78019061017,78,19,61,17,-2.5
52,120024065020,120,24,65,20,-5.0
53,114041071028,114,41,71,28,1.0
54,73036074034,73,36,74,34,-3.0
55,81028075000,81,28,75,0,-23.5
56,85041092027,85,41,92,27,9.0
57,19030150007,19,30,150,7,
58,86042121014,86,42,121,14,-2.5
59,90017062013,90,17,62,13,18.0
60,97024099020,97,24,99,20,-13.0
61,33049098013,33,49,98,13,-32.0
62,80026100009,80,26,100,9,-2.5
63,35038101010,35,38,101,10,-14.5
64,5035107019,5,35,107,19,-8.5
65,45030110013,45,30,110,13,7.5
66,7030111026,7,30,111,26,-19.5
67,66035117021,66,35,117,21,
68,126020088006,126,20,88,6,-11.5
69,127041063009,127,41,63,9,-1.0
70,124031108009,124,31,108,9,
71,91039001036,91,39,1,36,7.5
72,81028005010,81,28,5,10,-23.0
73,126031009017,126,31,9,17,-20.5
74,12035045000,12,35,45,0,-4.0
75,86023014020,86,23,14,20,-8.0
76,101049015012,101,49,15,12,
77,85017019016,85,17,19,16,5.0
78,18027002016,18,27,2,16,
79,24024044021,24,24,44,21,5.5
80,6028025017,6,28,25,17,-14.5
81,95017029000,95,17,29,0,-23.0
82,33024022021,33,24,22,21,-2.5
83,132020115010,132,20,115,10,
84,35042065035,35,42,65,35,-14.0
85,121017038016,121,17,38,16,-6.5
86,40031066007,40,31,66,7,1.0
87,10056046007,10,56,46,7,-38.0
88,28021048014,28,21,48,14,
89,110020047016,110,20,47,16,-21.0
90,43036049015,43,36,49,15,-7.0
91,114056147003,114,56,147,3,
92,54034103009,54,34,103,9,-3.5
93,130038050006,130,38,50,6,
94,128055056024,128,55,56,24,-20.0
95,53029058018,53,29,58,18,6.0
96,59031061030,59,31,61,30,-7.0
97,63035060003,63,35,60,3,
98,7021064013,7,21,64,13,-10.0
99,78020062003,78,20,62,3,0.0
100,68019129017,68,19,129,17,
101,104047073000,104,47,73,0,-34.5
102,34041074000,34,41,74,0,
103,1062077027,1,62,77,27,-16.0
104,88033079010,88,33,79,10,
105,87042080010,87,42,80,10,-3.5
106,84043127028,84,43,127,28,4.0
107,99031091010,99,31,91,10,-12.5
108,39036092027,39,36,92,27,
109,102012070007,102,12,70,7,-2.0
110,42035116024,42,35,116,24,-5.5
111,17031118027,17,31,118,27,-10.5
112,120031090030,120,31,90,30,3.0
113,98035122013,98,35,122,13,-1.0
114,69014125006,69,14,125,6,-1.0
115,2030073028,2,30,73,28,
116,71047006016,71,47,6,16,-21.5
117,107036012006,107,36,12,6,2.0
118,101031014017,101,31,14,17,-1.0
119,108034015005,108,34,15,5,
120,21034060018,21,34,60,18,
121,22030038013,22,30,38,13,-14.0
122,5055028000,5,55,28,0,
123,95023035010,95,23,35,10,-2.0
124,39048116020,39,48,116,20,-3.0
125,44010045003,44,10,45,3,-24.0
126,66028043028,66,28,43,28,6.5
127,19052046021,19,52,46,21,-22.0
128,49038048014,49,38,48,14,
129,53038075034,53,38,75,34,14.0
130,80036054033,80,36,54,33,8.0
131,33030062007,33,30,62,7,-15.5
132,110020058019,110,20,58,19,-4.0
133,32017065000,32,17,65,0,-16.5
134,56030069026,56,30,69,26,2.0
135,63031068020,63,31,68,20,
136,117032074020,117,32,74,20,
137,9023077007,9,23,77,7,-13.5
138,115026079018,115,26,79,18,
139,97023081007,97,23,81,7,1.5
140,24028085021,24,28,85,21,-18.5
141,132013150010,132,13,150,10,
142,78052088007,78,52,88,7,-21.0
143,51041089016,51,41,89,16,-11.5
144,90021086016,90,21,86,16,12.0
145,126035092031,126,35,92,31,
146,98045029042,98,45,29,42,3.5
147,84007099003,84,7,99,3,-5.5
148,10038103006,10,38,103,6,-14.0
149,82052105015,82,52,105,15,-1.5
150,118027111024,118,27,111,24,1.0
151,3044120010,3,44,120,10,-16.5
152,27038121034,27,38,121,34,-7.0
153,100035122000,100,35,122,0,-16.0
154,61019125009,61,19,125,9,-19.0
155,59023129003,59,23,129,3,-41.0
156,128031087010,128,31,87,10,1.0
157,130048001045,130,48,1,45,-1.5
158,17038117003,17,38,117,3,
159,3031049027,3,31,49,27,-11.0
160,124037015010,124,37,15,10,
161,90038021009,90,38,21,9,-16.0
162,24027025023,24,27,25,23,-11.0
163,27017120015,27,17,120,15,0.0
164,85021034010,85,21,34,10,
165,33048110028,33,48,110,28,-27.0
166,130035132016,130,35,132,16,
167,40027012024,40,27,12,24,-4.5
168,81035045007,81,35,45,7,-35.0
169,42031080012,42,31,80,12,13.0
170,43048077017,43,48,77,17,-20.5
171,62010044010,62,10,44,10,-3.0
172,18031048007,18,31,48,7,
173,98030053023,98,30,53,23,-5.5
174,32019054006,32,19,54,6,1.0
175,50031047028,50,31,47,28,
176,100020056009,100,20,56,9,-14.5
177,11045060014,11,45,60,14,
178,61062129014,61,62,129,14,-21.0
179,88014063010,88,14,63,10,-0.0
180,35036064012,35,36,64,12,-14.0
181,59055066000,59,55,66,0,-27.0
182,58031065010,58,31,65,10,3.5
183,10047075021,10,47,75,21,-24.0
184,69014038006,69,14,38,6,1.5
185,1063073014,1,63,73,14,-37.0
186,74042046029,74,42,46,29,
187,84034091013,84,34,91,13,-9.5
188,150022147010,150,22,147,10,
189,86045102009,86,45,102,9,-13.0
190,14034087031,14,34,87,31,4.0
191,97038005015,97,38,5,15,-7.0
192,19021092014,19,21,92,14,
193,78042099014,78,42,99,14,-13.5
194,51048029036,51,48,29,36,-2.0
195,7053101010,7,53,101,10,-6.5
196,104020089013,104,20,89,13,-17.5
197,79024108014,79,24,108,14,
198,105050107015,105,50,107,15,-7.5
199,82056111035,82,56,111,35,-17.0
200,114024126017,114,24,126,17,-13.0
201,71048115006,71,48,115,6,
202,118038116028,118,38,116,28,-12.5
203,127052103024,127,52,103,24,3.0
204,128022122010,128,22,122,10,-22.5
205,54007010006,54,7,10,6,1.0
206,11031048020,11,31,48,20,
207,127044019013,127,44,19,13,-7.0
208,86035021009,86,35,21,9,-26.5
209,22010121007,22,10,121,7,-13.0
210,18020028006,18,20,28,6,
211,17042025007,17,42,25,7,-13.5
212,34023132010,34,23,132,10,
213,56013038008,56,13,38,8,-3.5
214,117031147024,117,31,147,24,
215,61017062003,61,17,62,3,-12.0
216,58017032011,58,17,32,11,22.5
217,64022003012,64,22,3,12,17.0
218,66052047021,66,52,47,21,-15.0
219,1034070024,1,34,70,24,-20.0
220,125042075024,125,42,75,24,-6.0
221,78030087020,78,30,87,20,-6.0
222,71063046010,71,63,46,10,-49.0
223,108033068020,108,33,68,20,
224,63028077028,63,28,77,28,-16.0
225,15042079000,15,42,79,0,
226,43041080007,43,41,80,7,-6.5
227,81028104013,81,28,104,13,-17.5
228,82041024021,82,41,24,21,-2.5
229,97042084014,97,42,84,14,-14.5
230,114038085021,114,38,85,21,-27.5
231,42020088000,42,20,88,0,-6.5
232,101021089010,101,21,89,10,-17.5
233,100034090020,100,34,90,20,-7.0
234,95026122024,95,26,122,24,-21.5
235,99044092012,99,44,92,12,
236,98038110013,98,38,110,13,1.0
237,50019051016,50,19,51,16,
238,7031107010,7,31,107,10,-13.5
239,53009111003,53,9,111,3,3.0
240,105030040016,105,30,40,16,-1.0
241,115030150016,115,30,150,16,
242,116033073027,116,33,73,27,-18.0
243,118042039025,118,42,39,25,6.0
244,35041120022,35,41,120,22,-16.0
245,126010006000,126,10,6,0,-2.5
246,44031129006,44,31,129,6,-22.0
247,124041060018,124,41,60,18,
248,128030029010,128,30,29,10,-20.5
249,130055091027,130,55,91,27,-12.5
250,1056116049,1,56,116,49,-11.5
251,10042002000,10,42,2,0,
252,3028103020,3,28,103,20,-7.0
253,7027104024,7,27,104,24,-6.0
254,99024006003,99,24,6,3,-7.5
255,105028012014,105,28,12,14,-13.0
256,18021015003,18,21,15,3,
257,24021046009,24,21,46,9,-34.0
