,Hash,W,W Pts,L,L Pts,Line
0,5042119032,5,42,119,32,-23.0
1,27037110007,27,37,110,7,24.5
2,31015113014,31,15,113,14,-12.5
3,39028024020,39,28,24,20,
4,79045041028,79,45,41,28,10.5
5,82024018013,82,24,18,13,-10.5
6,95017075013,95,17,75,13,0.5
7,101023063017,101,23,63,17,
8,116024061017,116,24,61,17,2.0
9,123014120012,123,14,120,12,0.0
10,12056093021,12,56,93,21,-1.5
11,13016126013,13,16,126,13,-9.5
12,20023037020,20,23,37,20,
13,62037124024,62,37,124,24,-3.5
14,3035129017,3,35,129,17,5.5
15,7048118013,7,48,118,13,3.5
16,10031053024,10,31,53,24,-3.5
17,17033071028,17,33,71,28,
18,32061074013,32,61,74,13,
19,33059106016,33,59,106,16,15.0
20,35051052014,35,51,52,14,1.5
21,42052048003,42,52,48,3,
22,49040051033,49,40,51,33,
23,65034098016,65,34,98,16,
24,69049109021,69,49,109,21,
25,68038115030,68,38,115,30,
26,77016099006,77,16,99,6,-20.0
27,78038104003,78,38,104,3,26.0
28,81041002003,81,41,2,3,7.0
29,83038028034,83,38,28,34,
30,97055008006,97,55,8,6,22.0
31,102027086010,102,27,86,10,
32,103059015030,103,59,15,30,7.5
33,105038006017,105,38,6,17,18.0
34,111047030044,111,47,30,44,
35,114034121016,114,34,121,16,0.0
36,128044036000,128,44,36,0,
37,55041088031,55,41,88,31,
38,80042122024,80,42,122,24,4.5
39,123041050038,123,41,50,38,0.5
40,59044030020,59,44,30,20,6.5
41,116024117014,116,24,117,14,-1.5
42,1037092016,1,37,92,16,16.5
43,3037067010,3,37,67,10,-7.5
44,5044072020,5,44,72,20,14.5
45,15048056027,15,48,56,27,-28.5
46,17035013024,17,35,13,24,-13.5
47,19035091007,19,35,91,7,14.5
48,22041004010,22,41,4,10,
49,24048057014,24,48,57,14,20.0
50,26022009017,26,22,9,17,-2.0
51,28048130029,28,48,130,29,-31.0
52,32031029024,32,31,29,24,-13.5
53,33034096014,33,34,96,14,-8.5
54,35031120014,35,31,120,14,-4.0
55,36043124017,36,43,124,17,-31.0
56,37034074032,37,34,74,32,-6.5
57,38065110010,38,65,110,10,24.5
58,40034053031,40,34,53,31,-16.5
59,43036031022,43,36,31,22,5.5
60,44031045017,44,31,45,17,11.0
61,47030119003,47,30,119,3,10.5
62,49026095022,49,26,95,22,-11.0
63,54021065019,54,21,65,19,-1.5
64,58055046023,58,55,46,23,20.0
65,61035085007,61,35,85,7,13.5
66,62031084028,62,31,84,28,-2.0
67,63023025020,63,23,25,20,-2.0
68,64073034021,64,73,34,21,19.5
69,66027008020,66,27,8,20,-3.0
70,71048094009,71,48,94,9,11.5
71,78034121027,78,34,121,27,-5.5
72,79021055010,79,21,55,10,-14.0
73,80038039000,80,38,39,0,-3.0
74,81031103024,81,31,103,24,5.0
75,86027016014,86,27,16,14,-4.5
76,87024002007,87,24,2,7,4.5
77,97059041009,97,59,41,9,5.0
78,93031076013,93,31,76,13,12.0
79,99031113007,99,31,113,7,4.0
80,100030125017,100,30,125,17,9.0
81,102034021026,102,34,21,26,-14.0
82,104042089028,104,42,89,28,-0.5
83,105056011023,105,56,11,23,2.0
84,107069118020,107,69,118,20,29.0
85,108016007012,108,16,7,12,-27.0
86,111040073021,111,40,73,21,-25.5
87,114037115003,114,37,115,3,1.5
88,127037090034,127,37,90,34,
89,129058060000,129,58,60,0,27.0
90,22020053017,22,20,53,17,-2.0
91,6034073010,6,34,73,10,-1.5
92,33014014000,33,14,14,0,5.5
93,11028028017,11,28,28,17,6.5
94,16033030015,16,33,30,15,-20.5
95,19045104044,19,45,104,44,-4.0
96,21037060033,21,37,60,33,-17.0
97,24027025024,24,27,25,24,0.0
98,32014049009,32,14,49,9,1.5
99,35052095020,35,52,95,20,17.0
100,43038123035,43,38,123,35,0.5
101,44027087024,44,27,87,24,-1.0
102,47039050033,47,39,50,33,-4.0
103,54045010021,54,45,10,21,17.5
104,56035096017,56,35,96,17,12.0
105,58044015041,58,44,15,41,-0.5
106,59036071033,59,36,71,33,-0.5
107,61028115007,61,28,115,7,-11.5
108,62035001021,62,35,1,21,-10.5
109,67073020014,67,73,20,14,
110,63010048007,63,10,48,7,-21.0
111,64043003037,64,43,3,37,-14.5
112,66009026006,66,9,26,6,-18.5
113,70045029021,70,45,29,21,19.5
114,75048042014,75,48,42,14,27.5
115,69038083014,69,38,83,14,6.5
116,77019027010,77,19,27,10,-12.5
117,78030038022,78,30,38,22,-9.0
118,80020068013,80,20,68,13,-27.0
119,81052111038,81,52,111,38,-18.0
120,82069119014,82,69,119,14,29.0
121,84061037028,84,61,37,28,-9.5
122,85035092021,85,35,92,21,7.5
123,86028090003,86,28,90,3,16.0
124,89038076024,89,38,76,24,6.5
125,94034091027,94,34,91,27,-24.5
126,98056106050,98,56,106,50,-7.5
127,99041097031,99,41,97,31,-20.0
128,100030018027,100,30,18,27,-5.0
129,102025057023,102,25,57,23,-11.0
130,105044072027,105,44,72,27,-14.5
131,101056093037,101,56,93,37,-18.0
132,107035007024,107,35,7,24,-21.0
133,118050074047,118,50,74,47,0.0
134,108030045023,108,30,45,23,-0.5
135,114024017023,114,24,17,23,-15.5
136,116045034024,116,45,34,24,9.0
137,122051088024,122,51,88,24,21.5
138,125017009014,125,17,9,14,-4.0
139,126031117017,126,31,117,17,7.0
140,127031130014,127,31,130,14,-9.0
141,129028109003,129,28,109,3,-4.5
142,58053021046,58,53,21,46,-1.0
143,13056121014,13,56,121,14,42.0
144,99042085024,99,42,85,24,4.0
145,2035051014,2,35,51,14,-28.5
146,3034052000,3,34,52,0,-3.0
147,4049083000,4,49,83,0,41.5
148,9058028036,9,58,28,36,20.5
149,12070089017,12,70,89,17,20.0
150,14017068014,14,17,68,14,-0.5
151,15035088028,15,35,88,28,2.5
152,19030126024,19,30,126,24,5.0
153,25033119031,25,33,119,31,-7.0
154,27034038020,27,34,38,20,-21.5
155,29035122028,29,35,122,28,-17.0
156,32028103027,32,28,103,27,-2.0
157,30017020007,30,17,20,7,
158,36044041020,36,44,41,20,8.0
159,40059106014,40,59,106,14,27.5
160,42027067025,42,27,67,25,-1.5
161,43031125024,43,31,125,24,3.5
162,44062076016,44,62,76,16,20.5
163,49021066013,49,21,66,13,5.0
164,54034100024,54,34,100,24,-13.5
165,50027031017,50,27,31,17,-4.0
166,55036048029,55,36,48,29,0.5
167,61031017000,61,31,17,0,24.0
168,62030018010,62,30,18,10,-6.0
169,63027079024,63,27,79,24,-4.5
170,64027120016,64,27,120,16,-16.0
171,65017010009,65,17,10,9,-9.0
172,70028026018,70,28,26,18,3.0
173,71036098028,71,36,98,28,-12.5
174,72024016021,72,24,16,21,-6.0
175,73038130028,73,38,130,28,6.0
176,69063094013,69,63,94,13,32.5
177,77024011019,77,24,11,19,-12.5
178,78062057027,78,62,57,27,7.0
179,80038124012,80,38,124,12,-8.0
180,82030104027,82,30,104,27,0.0
181,86037091021,86,37,91,21,1.5
182,90027046014,90,27,46,14,-0.5
183,92049034023,92,49,34,23,20.5
184,95031113014,95,31,113,14,2.5
185,97042006014,97,42,6,14,23.5
186,105028007021,105,28,7,21,0.5
187,101055107052,101,55,107,52,-2.0
188,108037008007,108,37,8,7,26.0
189,114056005030,114,56,5,30,26.0
190,116062084020,116,62,84,20,-52.0
191,128045056006,128,45,56,6,22.5
192,123056060014,123,56,60,14,22.0
193,129028039000,129,28,39,0,3.5
194,21034059023,21,34,59,23,-18.0
195,17030026013,17,30,26,13,2.5
196,58024096017,58,24,96,17,0.0
197,102037020003,102,37,20,3,
198,3038035010,3,38,35,10,-29.0
199,4031130013,4,31,130,13,-8.0
200,6038114023,6,38,114,23,-28.0
201,7024103020,7,24,103,20,-10.0
202,8049041035,8,49,41,35,-8.0
203,10035092021,10,35,92,21,-7.5
