,Hash,W,W Pts,L,L Pts,Line
0,104023007017,104,23,7,17,-0.0
1,68016147009,68,16,147,9,
2,25021001009,25,21,1,9,-7.0
3,18021011017,18,21,11,17,
4,153020015017,153,20,15,17,
5,73025017021,73,25,17,21,13.0
6,128041021027,128,41,21,27,-8.0
7,86054135010,86,54,135,10,-23.5
8,29035027010,29,35,27,10,7.0
9,124037028000,124,37,28,0,
10,33016054000,33,16,54,0,0.0
11,132039034025,132,39,34,25,
12,75035163013,75,35,163,13,
13,35016103015,35,16,103,15,4.0
14,3026038003,3,26,38,3,-20.0
15,145013139010,145,13,139,10,
16,148020158017,148,20,158,17,
17,59024053010,59,24,53,10,-6.0
18,65034058007,65,34,58,7,-8.0
19,51014074012,51,14,74,12,
20,76031155014,76,31,155,14,
21,42035077009,42,35,77,9,-10.0
22,95037150000,95,37,150,0,
23,78031088010,78,31,88,10,-3.0
24,160031154014,160,31,154,14,
25,98017110014,98,17,110,14,7.0
26,99035084025,99,35,84,25,-4.0
27,105023064020,105,23,64,20,-2.0
28,107035118007,107,35,118,7,-17.0
29,49017117010,49,17,117,10,-16.5
30,56007156003,56,7,156,3,-15.0
31,159016157014,159,16,157,14,
32,122016125007,122,16,125,7,6.0
33,69042161000,69,42,161,0,-21.5
34,126050001007,126,50,1,7,-25.0
35,10010101007,10,10,101,7,-7.0
36,11018068017,11,18,68,17,
37,12042146007,12,42,146,7,-11.0
38,87014014006,87,14,14,6,-24.0
39,32041019013,32,41,19,13,4.0
40,111031021013,111,31,21,13,
41,4017134014,4,17,134,14,
42,18015060014,18,15,60,14,
43,114056024014,114,56,24,14,-13.0
44,28018015016,28,18,15,16,
45,122035140007,122,35,140,7,
46,115035034006,115,35,34,6,
47,9028143007,9,28,143,7,-4.0
48,6029040013,6,29,40,13,6.0
49,44016043007,44,16,43,7,6.0
50,84007046007,84,7,46,7,-8.0
51,55017048007,55,17,48,7,
52,54021047000,54,21,47,0,-11.0
53,81029049007,81,29,49,7,-18.0
54,33052053000,33,52,53,0,-21.0
55,65031050011,65,31,50,11,
56,148020108017,148,20,108,17,
57,42020062017,42,20,62,17,-3.0
58,64061058007,64,61,58,7,-10.0
