,Hash,W,W Pts,L,L Pts,Line
0,14031018024,14,31,18,24,-11.0
1,11038028020,11,38,28,20,-4.5
2,16009102003,16,9,102,3,-6.5
3,77021060003,77,21,60,3,-6.0
4,63044048000,63,44,48,0,-15.0
5,45045108043,45,45,108,43,-9.0
6,95015065000,95,15,65,0,-6.5
7,118034091027,118,34,91,27,2.5
8,67007031006,67,7,31,6,-9.0
9,34028072019,34,28,72,19,-13.0
10,61027120007,61,27,120,7,-27.0
11,80035068012,80,35,68,12,-17.5
12,86034002016,86,34,2,16,-18.0
13,62027041017,62,27,41,17,-29.0
14,129035015014,129,35,15,14,-11.5
15,128042055010,128,42,55,10,-21.5
16,84048099010,84,48,99,10,-12.0
17,90021075016,90,21,75,16,3.5
18,71049050010,71,49,50,10,-25.0
19,126035092029,126,35,92,29,-21.0
20,3025039017,3,25,39,17,-15.5
21,130038117007,130,38,117,7,-12.5
22,103035019018,103,35,19,18,3.0
23,70028029023,70,28,29,23,-11.5
24,43039124020,43,39,124,20,-8.5
25,114031116010,114,31,116,10,-3.0
26,32034098007,32,34,98,7,-19.5
27,125020100010,125,20,100,10,-14.0
28,107035093003,107,35,93,3,-25.0
29,81024112017,81,24,112,17,-23.5
30,87038121013,87,38,121,13,-6.0
31,10040127014,10,40,127,14,-15.0
32,78014038010,78,14,38,10,-7.5
33,97050007014,97,50,7,14,-8.5
34,40031089030,40,31,89,30,-14.5
35,5016017013,5,16,17,13,-6.5
36,22054030006,22,54,30,6,-29.0
37,8014009006,8,14,9,6,4.0
38,104056076007,104,56,76,7,-40.5
39,54045051003,54,45,51,3,-29.5
40,64028058025,64,28,58,25,-3.0
41,101017012007,101,17,12,7,-7.5
42,53059049028,53,59,49,28,-22.5
43,33013059010,33,13,59,10,4.0
44,13042085014,13,42,85,14,-8.0
45,87033021015,87,33,21,15,-8.5
46,122035075010,122,35,75,10,-14.0
47,90033042000,90,33,42,0,-11.0
48,2020069017,2,20,69,17,8.5
49,61041018017,61,41,18,17,-28.0
50,125014027013,125,14,27,13,-21.0
51,66034064007,66,34,64,7,-10.5
52,10034065000,10,34,65,0,-22.0
53,88038060031,88,38,60,31,-19.0
54,53062102000,53,62,102,0,-40.5
55,9017048014,9,17,48,14,-6.5
56,3013120010,3,13,120,10,-14.0
57,79035068023,79,35,68,23,20.0
58,121013130012,121,13,130,12,-7.5
59,62052028020,62,52,28,20,-26.0
60,114026089016,114,26,89,16,-27.5
61,14034022033,14,34,22,33,1.0
62,44020100013,44,20,100,13,-16.0
63,81037126020,81,37,126,20,-17.0
64,78041086017,78,41,86,17,-9.0
65,17049111024,17,49,111,24,-5.5
66,25014024010,25,14,24,10,0.0
67,15048016040,15,48,16,40,-21.0
68,32042113000,32,42,113,0,-23.0
69,92035099034,92,35,99,34,10.5
70,54045005003,54,45,5,3,-17.0
71,43024011023,43,24,11,23,-3.5
72,7020117000,7,20,117,0,-28.5
73,124031108010,124,31,108,10,10.5
74,45016115010,45,16,115,10,-14.5
75,103031001030,103,31,1,30,-20.0
76,127056041010,127,56,41,10,-18.5
77,40045110007,40,45,110,7,-13.5
78,112017029012,112,17,29,12,-6.0
79,19042063017,19,42,63,17,-8.5
80,35018095000,35,18,95,0,-3.0
81,80024104007,80,24,104,7,2.5
82,73034074028,73,34,74,28,-5.0
83,107038118035,107,38,118,35,-7.0
84,84031034024,84,31,34,24,-3.0
85,6052072021,6,52,72,21,-17.0
86,33024109017,33,24,109,17,-26.0
87,47045030000,47,45,30,0,-23.5
88,56024067010,56,24,67,10,-24.0
89,96021031020,96,21,31,20,-20.0
90,82035008007,82,35,8,7,-12.0
91,46021052019,46,21,52,19,-26.5
92,105051051007,105,51,51,7,-22.0
93,76024093006,76,24,93,6,5.0
94,128045056024,128,45,56,24,-17.5
95,108037046031,108,37,46,31,-4.5
96,44027045017,44,27,45,17,-13.0
97,14030017023,14,30,17,23,-7.0
98,100031042021,100,31,42,21,3.5
99,63062102000,63,62,102,0,-42.0
100,80037021007,80,37,21,7,-28.5
101,122036027000,122,36,27,0,-35.0
102,125024026013,125,24,26,13,6.0
103,124017121010,124,17,121,10,9.5
104,47023055007,47,23,55,7,-9.0
105,90024079007,90,24,79,7,-17.0
106,88038011028,88,38,11,28,-16.0
107,18024002021,18,24,2,21,2.0
108,48016060014,48,16,60,14,14.0
109,77014028006,77,14,28,6,-17.5
110,96024113017,96,24,113,17,-3.0
111,129014091000,129,14,91,0,-12.5
112,13017130010,13,17,130,10,-8.5
113,62038087023,62,38,87,23,2.5
114,32021103020,32,21,103,20,-5.0
115,127017012015,127,17,12,15,-13.5
116,61047078021,61,47,78,21,6.5
117,84034081033,84,34,81,33,-6.0
118,53031059007,53,31,59,7,-4.0
119,126021034020,126,21,34,20,2.0
