,Hash,W,W Pts,L,L Pts,Line
0,1023009006,1,23,9,6,13.5
1,1027025024,1,27,25,24,-10.5
2,1028013014,1,28,13,14,-26.5
3,1030070021,1,30,70,21,-12.5
4,1035073031,1,35,73,31,-3.5
5,1038124024,1,38,124,24,-16.0
6,1045072038,1,45,72,38,4.0
7,1048037038,1,48,37,38,-2.0
8,1048115021,1,48,115,21,22.0
9,2021087010,2,21,87,10,-31.5
10,2029060019,2,29,60,19,-5.0
11,2030057006,2,30,57,6,16.0
12,2031028006,2,31,28,6,-1.0
13,3014007013,3,14,7,13,-8.5
14,3020054013,3,20,54,13,0.5
15,3025065020,3,25,65,20,-4.5
16,3033128023,3,33,128,23,-13.0
17,3034103020,3,34,103,20,-6.0
18,3041030000,3,41,30,0,-1.0
19,3042032021,3,42,32,21,7.0
20,3042066013,3,42,66,13,14.5
21,3052098012,3,52,98,12,-6.0
22,3055010044,3,55,10,44,1.0
23,3059105000,3,59,105,0,46.5
24,4031052029,4,31,52,29,
25,4035051016,4,35,51,16,
26,4037008032,4,37,8,32,
27,4044037000,4,44,37,0,
28,4045041028,4,45,41,28,
29,4053109014,4,53,109,14,
30,5026119023,5,26,119,23,-4.5
31,5027126026,5,27,126,26,-8.0
32,5031084024,5,31,84,24,-28.5
33,5035072028,5,35,72,28,-13.0
34,5038024020,5,38,24,20,-0.5
35,5042006035,5,42,6,35,5.0
36,5042116010,5,42,116,10,-37.5
37,5049019045,5,49,19,45,-3.5
38,5058115013,5,58,115,13,
39,5059127037,5,59,127,37,19.5
40,6019116016,6,19,116,16,-3.5
41,6024126010,6,24,126,10,10.5
42,6026099010,6,26,99,10,-19.5
43,6036027031,6,36,27,31,-2.5
44,6038024024,6,38,24,24,-2.5
45,6038097034,6,38,97,34,-16.5
46,6052127031,6,52,127,31,6.5
47,6055078031,6,55,78,31,21.0
48,6058073023,6,58,73,23,10.5
49,7017054000,7,17,54,0,15.5
50,7030064000,7,30,64,0,-33.0
51,7031104007,7,31,104,7,17.0
52,7045112017,7,45,112,17,3.0
53,7049107028,7,49,107,28,21.0
54,7052068014,7,52,68,14,24.5
55,8021117014,8,21,117,14,4.5
56,8028052014,8,28,52,14,3.5
57,8044041028,8,44,41,28,0.0
58,8045094010,8,45,94,10,24.0
59,8052037010,8,52,37,10,31.5
60,8068074035,8,68,74,35,9.5
61,9033011024,9,33,11,24,6.5
62,9035026021,9,35,26,21,-18.5
63,9047016039,9,47,16,39,5.0
64,10020047014,10,20,47,14,-1.5
65,10035064031,10,35,64,31,-5.0
66,10041054007,10,41,54,7,27.0
67,10042095035,10,42,95,35,-11.0
68,10045007021,10,45,7,21,7.0
69,10045050017,10,45,50,17,-5.0
70,10059092013,10,59,92,13,12.0
71,11032018029,11,32,18,29,-13.5
72,11035002021,11,35,2,21,-17.5
73,11041015024,11,41,15,24,-27.0
74,11045028030,11,45,28,30,-3.0
75,12028104007,12,28,104,7,6.5
76,12038047027,12,38,47,27,4.0
77,12045093000,12,45,93,0,12.0
78,12048081014,12,48,81,14,-40.0
79,12048107046,12,48,107,46,-25.0
80,12049045028,12,49,45,28,0.0
81,12049082028,12,49,82,28,-11.5
82,12060046014,12,60,46,14,11.0
83,12061101058,12,61,101,58,-4.0
84,12063016021,12,63,16,21,8.5
85,13028034014,13,28,34,14,-10.0
86,13034051009,13,34,51,9,7.5
87,13037025024,13,37,25,24,5.0
88,13037034027,13,37,34,27,-8.0
89,13038005030,13,38,5,30,-10.5
90,13038026021,13,38,26,21,2.0
91,13038091029,13,38,91,29,-5.0
92,13050117019,13,50,117,19,21.0
93,13051072046,13,51,72,46,2.0
94,13055017030,13,55,17,30,18.5
95,13060073049,13,60,73,49,-7.5
96,13063130014,13,63,130,14,35.0
97,14023125017,14,23,125,17,-7.5
98,14028100007,14,28,100,7,10.0
99,14030057007,14,30,57,7,5.5
100,14030069014,14,30,69,14,-18.5
101,14033122031,14,33,122,31,-5.0
102,14037097031,14,37,97,31,-23.0
103,15027002010,15,27,2,10,-20.5
104,15030048020,15,30,48,20,-4.0
105,15031079013,15,31,79,13,17.0
106,15033094028,15,33,94,28,-8.5
107,15036016035,15,36,16,35,-2.0
108,15045043042,15,45,43,42,-11.0
